CF1,f11,MAE1,MAE2,pred,date,countries
"[[43  7]
 [18 19]]",0.6889746785163879,133.38888549804688,140.0,"[9.60603141784668, 8.567883491516113, 10.752189636230469, 10.266839981079102, 10.091901779174805, 10.366924285888672, 8.853782653808594, 8.522525787353516, 8.634529113769531, 11.079763412475586, 10.300323486328125, 11.0611572265625, 9.741872787475586, 9.854574203491211, 9.637702941894531, 9.519683837890625, 9.428577423095703, 9.61070442199707, 9.769447326660156, 8.363021850585938, 9.291313171386719, 9.793292999267578, 10.362533569335938, 9.750694274902344, 9.501657485961914, 10.847135543823242, 10.587137222290039, 10.446443557739258, 10.266839981079102, 9.624231338500977, 9.62757682800293, 9.454523086547852, 9.452056884765625, 9.733354568481445, 10.518241882324219, 9.709047317504883]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[43  7]
 [17 20]]",0.7034090757369995,108.88888549804688,112.0,"[25.382822036743164, 23.19196319580078, 24.162782669067383, 12.628310203552246, 12.204174041748047, 22.491559982299805, 14.48715591430664, 18.29161262512207, 12.016990661621094, 6.837898254394531, 14.82390022277832, 6.843587875366211, 19.863779067993164, 24.8950252532959, 20.792295455932617, 25.926719665527344, 13.656003952026367, 14.85700798034668, 28.102420806884766, 13.251348495483398, 7.66380500793457, 29.178380966186523, 26.518795013427734, 25.284486770629883, 11.895332336425781, 14.87663745880127, 15.753396987915039, 22.354480743408203, 12.628310203552246, 24.664583206176758, 19.35352897644043, 16.359020233154297, 23.80832862854004, 7.401466369628906, 14.032744407653809, 24.346590042114258]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[43  7]
 [13 24]]",0.7586015462875366,89.83333587646484,98.0,"[29.965131759643555, 26.357290267944336, 29.89493751525879, 12.30237102508545, 14.096290588378906, 22.682477951049805, 22.910573959350586, 23.368152618408203, 16.451684951782227, 4.738118648529053, 12.494547843933105, 4.456179618835449, 26.41658592224121, 29.90077781677246, 27.649662017822266, 29.93425941467285, 24.192880630493164, 25.257177352905273, 31.65730857849121, 19.895830154418945, 8.541967391967773, 32.246395111083984, 30.52028465270996, 29.89158058166504, 11.244279861450195, 15.175207138061523, 28.702180862426758, 29.238245010375977, 12.30237102508545, 29.226337432861328, 20.26515769958496, 17.045520782470703, 28.25322151184082, 11.84501838684082, 12.857419967651367, 29.233848571777344]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[41  9]
 [13 24]]",0.7370879054069519,78.94444274902344,84.0,"[29.331436157226562, 32.43019485473633, 25.413026809692383, 3.666232109069824, 3.9974348545074463, 9.731913566589355, 20.924358367919922, 32.45458221435547, 18.890100479125977, 1.5648815631866455, 2.5383780002593994, 1.5111494064331055, 20.1098690032959, 32.250885009765625, 16.986677169799805, 31.673166275024414, 14.007905960083008, 13.836723327636719, 30.634885787963867, 23.68019676208496, 4.831475257873535, 32.233665466308594, 29.20551109313965, 32.175750732421875, 5.000461578369141, 3.217564821243286, 6.599084854125977, 17.53028678894043, 3.666232109069824, 32.471397399902344, 13.435829162597656, 7.414022445678711, 33.23541259765625, 4.217757225036621, 2.9844772815704346, 32.53274154663086]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[40 10]
 [ 6 31]]",0.8141025900840759,71.19999694824219,70.0,"[26.930744171142578, 27.594860076904297, 26.72658920288086, 3.023470401763916, 5.028306007385254, 11.237035751342773, 25.36511993408203, 27.097015380859375, 18.19908905029297, 2.4813199043273926, 2.743086814880371, 2.441084146499634, 23.171602249145508, 26.698232650756836, 23.757110595703125, 27.084012985229492, 24.604883193969727, 24.58298110961914, 27.113750457763672, 24.183162689208984, 2.82077956199646, 27.223148345947266, 27.182842254638672, 26.829923629760742, 3.0763144493103027, 3.7484967708587646, 22.73650550842285, 22.37387466430664, 3.023470401763916, 26.873619079589844, 13.49738883972168, 26.939006805419922, 5.140045166015625, 2.7820277214050293, 26.766096115112305]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[41  9]
 [10 27]]",0.7758036255836487,57.599998474121094,56.0,"[24.455913543701172, 25.810272216796875, 23.532142639160156, 3.084280252456665, 11.097757339477539, 6.4775190353393555, 18.42526626586914, 24.516559600830078, 14.893235206604004, -1.8460602760314941, 2.981793165206909, -3.0740699768066406, 18.60038185119629, 23.45846176147461, 16.92374610900879, 24.597026824951172, 15.624259948730469, 15.518210411071777, 24.319828033447266, 20.725128173828125, 3.0765132904052734, 24.50484848022461, 24.35428237915039, 23.57858657836914, 3.242894172668457, 3.1040103435516357, 9.806280136108398, 17.075740814208984, 3.084280252456665, 23.599369049072266, 9.306793212890625, 23.631908416748047, 3.7011022567749023, 3.026181936264038, 23.50128936767578]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[40 10]
 [ 2 35]]",0.8616119027137756,44.400001525878906,42.0,"[24.34244728088379, 24.494518280029297, 24.41192626953125, 5.752895355224609, 17.445491790771484, 8.822620391845703, 20.979618072509766, 23.767099380493164, 14.695140838623047, 3.9745099544525146, 5.174943923950195, 3.7014870643615723, 20.092491149902344, 24.151084899902344, 19.984439849853516, 24.466121673583984, 20.3384952545166, 20.436325073242188, 24.679595947265625, 20.355607986450195, 5.801064491271973, 24.83319664001465, 24.809467315673828, 24.258499145507812, 5.837563514709473, 5.888733863830566, 17.824317932128906, 19.62473487854004, 5.752895355224609, 24.222867965698242, 10.662710189819336, 24.172462463378906, 6.332821369171143, 5.424142837524414, 24.135164260864258]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[39 11]
 [ 2 35]]",0.8502581715583801,33.09090805053711,28.0,"[27.603397369384766, 27.38711166381836, 5.950596809387207, 20.43022918701172, 9.74031925201416, 24.823543548583984, 27.1805477142334, 17.14067268371582, -10.755722999572754, 3.344865083694458, -13.051619529724121, 23.216402053833008, 27.328853607177734, 23.48401641845703, 27.52627182006836, 24.29244041442871, 24.33938217163086, 27.639245986938477, 23.770156860351562, 5.903587341308594, 27.735143661499023, 27.668529510498047, 27.39924430847168, 6.143037796020508, 6.284670829772949, 21.987152099609375, 5.950596809387207, 27.389118194580078, 12.011872291564941, 27.37895393371582, 6.939933776855469, 5.404827117919922, 27.33164405822754]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[38 12]
 [ 2 35]]",0.8388888835906982,21.0,14.0,"[23.730192184448242, 23.915266036987305, 6.7820210456848145, 19.7710018157959, 10.724154472351074, 22.857515335083008, 23.24858856201172, 15.623703002929688, -0.49826526641845703, 5.892969608306885, -1.8115906715393066, 21.928152084350586, 23.789445877075195, 23.184146881103516, 23.92217254638672, 22.73662757873535, 22.83983612060547, 24.11393165588379, 21.65110206604004, 6.580945014953613, 24.216796875, 24.126562118530273, 23.835554122924805, 6.843599319458008, 7.02963924407959, 6.7820210456848145, 23.78365135192871, 12.18886661529541, 23.710397720336914, 7.495650768280029, 6.342296600341797, 23.746002197265625]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[38 12]
 [ 2 35]]",0.8388888835906982,11.199999809265137,14.0,"[23.731294631958008, 23.720508575439453, 6.598074913024902, 19.51211166381836, 8.6491060256958, 22.060861587524414, 22.836519241333008, 13.26839828491211, 4.733891487121582, 5.837209701538086, 4.417809963226318, 23.624465942382812, 23.07579231262207, 23.95694351196289, 21.8043155670166, 21.97214698791504, 24.311735153198242, 21.53594398498535, 5.758328437805176, 24.4979305267334, 24.15413475036621, 23.77605438232422, 6.4936628341674805, 7.087089538574219, 6.598074913024902, 23.694547653198242, 9.355140686035156, 23.57771110534668, 6.852058410644531, 6.246229648590088]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
