CF1,f11,MAE1,MAE2,pred,date,countries
"[[81  0]
 [ 0  6]]",1.0,86.80000305175781,84.0,"[15.130728721618652, 17.837560653686523, 14.448420524597168, 15.785387992858887, 16.45861053466797]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,86.80000305175781,84.0,"[10.064420700073242, 11.41042709350586, 9.7650146484375, 10.369197845458984, 10.698389053344727]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,70.0,56.0,"[12.522107124328613, 14.049280166625977, 12.143143653869629, 12.88917064666748, 13.268985748291016]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,42.0,28.0,"[17.669321060180664, 30.523908615112305, 15.108099937438965, 20.41645622253418, 23.511354446411133]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,30.799999237060547,28.0,"[18.722272872924805, 27.11033058166504, 16.76642417907715, 20.702468872070312, 22.803302764892578]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,16.799999237060547,14.0,"[17.757606506347656, 38.46993637084961, 13.23678207397461, 22.530757904052734, 27.71627426147461]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,14.0,14.0,"[16.794790267944336, 26.262130737304688, 14.409041404724121, 19.171297073364258, 21.611553192138672]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,18.66666603088379,14.0,"[40.98042297363281, 26.77273178100586, 32.491783142089844]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,0.0,0.0,[36.305030822753906],2021-03-29T00:00:00.000000000,['Panama']
"[[81  0]
 [ 0  6]]",1.0,28.0,28.0,[45.49708938598633],2021-04-12T00:00:00.000000000,['Panama']
"[[81  0]
 [ 0  6]]",1.0,14.0,14.0,[26.25616455078125],2021-04-26T00:00:00.000000000,['Panama']
"[[81  0]
 [ 0  6]]",1.0,-1,-1,"[[0.9882027506828308], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.9801837801933289], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.9877380132675171], [0.9880544543266296], [0.0011954812798649073], [0.9877354502677917], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.9877353310585022], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073], [0.0011954812798649073]]",2021-05-10T00:00:00.000000000,[]
