CF1,f11,MAE1,MAE2,pred,date,countries
"[[51  0]
 [35  1]]",0.3992897868156433,110.25,119.0,"[10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 53.349159240722656, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094, 10.231101989746094]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [28  8]]",0.5741258859634399,79.33333587646484,77.0,"[20.86717414855957, 7.812336444854736, 19.178647994995117, 25.81500244140625, 7.812336444854736, 7.812336444854736, 7.812336444854736, 7.812336444854736, 11.432035446166992, 7.812336444854736, 7.812336444854736, 7.812336444854736, 32.566444396972656, 7.812336444854736, 7.812336444854736, 7.812336444854736, 7.812336444854736, 7.812336444854736, 7.812336444854736, 7.812336444854736, 7.812336444854736, 7.812336444854736, 7.812336444854736, 7.812336444854736, 11.432035446166992, 31.069374084472656, 7.812336444854736, 29.34543228149414, 7.812336444854736, 7.812336444854736, 7.812336444854736, 7.812336444854736, 7.812336444854736, 7.812336444854736, 7.812336444854736, 7.812336444854736]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [ 6 30]]",0.9267676472663879,65.0,70.0,"[34.5815544128418, 14.225664138793945, 34.5815544128418, 34.5815544128418, 15.802553176879883, 14.220819473266602, 14.23642349243164, 9.372986793518066, 34.5815544128418, 9.372986793518066, 15.814825057983398, 17.632619857788086, 34.5815544128418, 14.220819473266602, 19.989282608032227, 14.222116470336914, 9.372986793518066, 14.232297897338867, 14.222013473510742, 14.222013473510742, 14.221067428588867, 9.372986793518066, 14.220819473266602, 9.372986793518066, 34.5815544128418, 34.5815544128418, 9.372986793518066, 34.5815544128418, 14.221525192260742, 14.222384452819824, 18.58173179626465, 14.220819473266602, 14.222879409790039, 15.9131441116333, 14.220819473266602]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [ 5 31]]",0.9393220543861389,51.47058868408203,49.0,"[26.459640502929688, 34.773780822753906, 24.40475082397461, 30.41396713256836, 34.773780822753906, 34.773780822753906, 34.773780822753906, 7.621646404266357, 10.521397590637207, 7.621646404266357, 34.773780822753906, 34.773780822753906, 34.773780822753906, 34.773780822753906, 34.773780822753906, 7.621646404266357, 34.773780822753906, 34.773780822753906, 34.773780822753906, 34.773780822753906, 7.621646404266357, 34.773780822753906, 7.621646404266357, 10.521397590637207, 32.61532974243164, 32.42376708984375, 32.0487060546875, 34.773780822753906, 34.773780822753906, 34.773780822753906, 34.773780822753906, 34.773780822753906, 34.773780822753906, 34.773780822753906]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [ 5 31]]",0.9393220543861389,51.05882263183594,56.0,"[46.78790283203125, 11.221822738647461, 46.78790283203125, 46.78790283203125, 13.333927154541016, 17.01728057861328, 11.59213638305664, 19.283021926879883, 46.78790283203125, 19.283021926879883, 13.344703674316406, 14.747536659240723, 17.01728057861328, 23.7628231048584, 11.28825855255127, 19.283021926879883, 11.191909790039062, 11.312755584716797, 11.312755584716797, 15.498302459716797, 19.283021926879883, 17.01728057861328, 19.283021926879883, 46.78790283203125, 46.78790283203125, 46.78790283203125, 46.78790283203125, 13.231071472167969, 11.280197143554688, 18.482589721679688, 17.01728057861328, 11.267229080200195, 13.430355072021484, 17.01728057861328]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [ 5 31]]",0.9393220543861389,34.79411697387695,21.0,"[34.1018180847168, 44.63906478881836, 28.981149673461914, 42.77516555786133, 44.63906478881836, 44.63906478881836, 44.63906478881836, 14.497340202331543, 12.83263111114502, 14.497340202331543, 44.63906478881836, 44.63906478881836, 44.63906478881836, 44.63906478881836, 44.63906478881836, 14.497340202331543, 44.63906478881836, 44.63906478881836, 44.63906478881836, 44.63906478881836, 14.497340202331543, 44.63906478881836, 14.497340202331543, 12.83263111114502, 46.712158203125, 43.17344284057617, 45.792755126953125, 44.63906478881836, 44.63906478881836, 44.63906478881836, 44.63906478881836, 44.63906478881836, 44.63906478881836, 44.63906478881836]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [ 5 31]]",0.9393220543861389,38.60606002807617,42.0,"[47.12861633300781, 6.897974014282227, 47.12861633300781, 47.12861633300781, 11.292826652526855, 26.404325485229492, 8.743256568908691, 26.158369064331055, 47.12861633300781, 26.158369064331055, 11.307121276855469, 14.55228328704834, 26.404325485229492, 25.742265701293945, 13.32424259185791, 26.158369064331055, 7.914251804351807, 14.141875267028809, 14.141875267028809, 23.268423080444336, 26.158369064331055, 26.404325485229492, 26.158369064331055, 47.12861633300781, 47.12861633300781, 47.12861633300781, 47.12861633300781, 18.4144344329834, 11.320856094360352, 17.696044921875, 26.404325485229492, 11.420151710510254, 26.404325485229492]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [ 7 29]]",0.9140437841415405,28.84848403930664,21.0,"[28.659608840942383, 50.016929626464844, 20.755788803100586, 41.186153411865234, 50.016929626464844, 50.016929626464844, 50.016929626464844, 22.117536544799805, 22.117536544799805, 22.117536544799805, 50.016929626464844, 50.016929626464844, 50.016929626464844, 50.016929626464844, 50.016929626464844, 22.117536544799805, 50.016929626464844, 50.016929626464844, 50.016929626464844, 50.016929626464844, 22.117536544799805, 50.016929626464844, 22.117536544799805, 22.117536544799805, 46.651493072509766, 48.893836975097656, 45.34636688232422, 50.016929626464844, 50.016929626464844, 50.016929626464844, 50.016929626464844, 50.016929626464844, 50.016929626464844]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [11 25]]",0.8611634969711304,25.66666603088379,28.0,"[48.57571792602539, 2.027078866958618, 48.57571792602539, 48.57571792602539, 2.2346596717834473, 31.819398880004883, 31.819398880004883, 48.57571792602539, 31.819398880004883, 2.2666730880737305, 6.774408340454102, 31.819398880004883, 21.09347915649414, 31.819398880004883, 0.6695597767829895, 17.62274932861328, 17.62274932861328, 28.270259857177734, 31.819398880004883, 31.819398880004883, 31.819398880004883, 48.57571792602539, 48.57571792602539, 48.57571792602539, 48.57571792602539, 22.66807746887207, 14.231047630310059, 11.442791938781738, 31.819398880004883, 31.819398880004883]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[51  0]
 [ 7 29]]",0.9140437841415405,17.96666717529297,21.0,"[37.88870620727539, 54.766048431396484, 31.076894760131836, 48.198246002197266, 54.766048431396484, 54.766048431396484, 44.79438400268555, 44.79438400268555, 44.79438400268555, 54.766048431396484, 54.766048431396484, 54.766048431396484, 54.766048431396484, 44.79438400268555, 54.766048431396484, 54.766048431396484, 54.766048431396484, 54.766048431396484, 44.79438400268555, 54.766048431396484, 44.79438400268555, 44.79438400268555, 52.383995056152344, 53.950992584228516, 51.41382598876953, 54.766048431396484, 54.766048431396484, 54.766048431396484, 54.766048431396484, 54.766048431396484]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
