CF1,f11,MAE1,MAE2,pred,date,countries
"[[50  0]
 [ 0 37]]",1.0,133.38888549804688,140.0,"[12.776159286499023, 12.776914596557617, 12.777788162231445, 12.790380477905273, 12.779804229736328, 12.788021087646484, 12.763530731201172, 12.76687240600586, 12.763396263122559, 12.791150093078613, 12.792287826538086, 12.79167366027832, 12.783539772033691, 12.772383689880371, 12.78236198425293, 12.774264335632324, 12.763025283813477, 12.779914855957031, 12.776716232299805, 12.77450942993164, 12.762676239013672, 12.773727416992188, 12.77634048461914, 12.773792266845703, 12.77104663848877, 12.784589767456055, 12.781801223754883, 12.776715278625488, 12.768810272216797, 12.765607833862305, 12.769660949707031, 12.790939331054688, 12.769006729125977, 12.792625427246094, 12.791465759277344, 12.771730422973633]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 0 37]]",1.0,119.38888549804688,126.0,"[12.772706985473633, 12.736135482788086, 12.693864822387695, 12.127005577087402, 12.596184730529785, 12.217049598693848, 13.378774642944336, 13.21865177154541, 13.385231018066406, 12.101333618164062, 12.067562103271484, 12.085111618041992, 12.417202949523926, 12.954748153686523, 12.47308349609375, 12.8642578125, 13.403030395507812, 12.590798377990723, 12.74573802947998, 12.852445602416992, 13.419843673706055, 12.890151023864746, 12.763984680175781, 12.886960983276367, 13.018899917602539, 12.368175506591797, 12.499910354614258, 12.745823860168457, 13.125984191894531, 13.279176712036133, 13.08527946472168, 12.10815715789795, 13.116569519042969, 12.058655738830566, 12.091434478759766, 12.986108779907227]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 0 37]]",1.0,101.11111450195312,112.0,"[12.528427124023438, 12.240409851074219, 11.901288986206055, 6.822959899902344, 11.092584609985352, 7.656217575073242, 16.528594970703125, 15.617850303649902, 16.563114166259766, 6.598859786987305, 6.324776649475098, 6.463503837585449, 9.5227632522583, 13.885860443115234, 10.024763107299805, 13.227176666259766, 16.657384872436523, 11.046987533569336, 12.316520690917969, 13.138833999633789, 16.74525260925293, 13.418943405151367, 12.460186004638672, 13.395456314086914, 14.333072662353516, 9.074045181274414, 10.261998176574707, 12.317195892333984, 15.042291641235352, 15.974549293518066, 14.778251647949219, 6.657402992248535, 14.981821060180664, 6.258394241333008, 6.51556396484375, 14.106549263000488]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 0 37]]",1.0,75.83333587646484,84.0,"[25.223264694213867, 24.125263214111328, 22.74561882019043, 7.5792622566223145, 19.08823585510254, 8.210906028747559, 34.856815338134766, 33.383201599121094, 34.904361724853516, 7.328863620758057, 6.916556358337402, 7.145139694213867, 12.108354568481445, 29.54677391052246, 14.520492553710938, 27.617664337158203, 35.03136444091797, 18.909313201904297, 24.42188262939453, 27.3353214263916, 35.14600372314453, 28.210956573486328, 24.96912384033203, 28.139694213867188, 30.68878746032715, 9.823847770690918, 15.60297966003418, 24.42451286315918, 32.244773864746094, 34.012325286865234, 31.700361251831055, 7.399768352508545, 32.12359619140625, 6.785241603851318, 7.219506740570068, 30.126577377319336]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 0 37]]",1.0,60.0,56.0,"[32.09680938720703, 31.07050895690918, 29.74489402770996, 8.246012687683105, 26.015012741088867, 9.03332233428955, 40.3477783203125, 39.37832260131836, 40.37704849243164, 7.940578460693359, 7.450057029724121, 7.719886779785156, 17.22089958190918, 36.19595718383789, 20.121335983276367, 34.37907409667969, 40.454505920410156, 25.7788028717041, 31.35036849975586, 34.10460662841797, 40.52349090576172, 34.94892883300781, 31.861600875854492, 34.880985260009766, 37.21927261352539, 14.313876152038574, 21.36998176574707, 31.352846145629883, 38.54092025756836, 39.80569839477539, 38.08893585205078, 38.441375732421875, 7.2977294921875, 7.808836936950684, 36.72072982788086]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 0 37]]",1.0,43.20000076293945,42.0,"[37.19865417480469, 36.150508880615234, 34.76911544799805, 7.954343318939209, 31.11302375793457, 8.65477466583252, 43.96247100830078, 43.31771469116211, 43.980533599853516, 7.684563636779785, 7.261577606201172, 7.492175102233887, 21.088531494140625, 40.85853958129883, 24.641298294067383, 39.321380615234375, 44.027774810791016, 30.881351470947266, 36.43819046020508, 39.08305740356445, 44.0690803527832, 39.81127166748047, 36.96012878417969, 39.75325393676758, 41.688289642333984, 17.976612091064453, 26.283052444458008, 36.440738677978516, 42.70969009399414, 43.61166763305664, 42.3677864074707, 42.635128021240234, 7.134530067443848, 7.5693864822387695, 41.2877311706543]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 0 37]]",1.0,30.399999618530273,28.0,"[39.6253662109375, 38.76806640625, 37.6168098449707, 7.673544406890869, 34.50094223022461, 8.246824264526367, 44.428306579589844, 44.109432220458984, 44.435306549072266, 7.454211711883545, 7.119724750518799, 7.300055980682373, 24.915128707885742, 42.466060638427734, 28.620981216430664, 41.30820846557617, 44.45277404785156, 34.29628372192383, 39.004817962646484, 41.123477935791016, 44.4669303894043, 41.68395233154297, 39.43161392211914, 41.6397590637207, 43.05966567993164, 21.33283805847168, 30.14220428466797, 39.00692367553711, 43.74320602416992, 44.2678108215332, 43.5218391418457, 43.6956901550293, 7.023612976074219, 7.361613750457764, 42.77649688720703]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 0 37]]",1.0,17.393939971923828,14.0,"[46.25617599487305, 45.27186965942383, 8.144954681396484, 42.22903060913086, 13.879627227783203, 50.672027587890625, 50.485042572021484, 50.67525863647461, 7.919821262359619, 7.585693359375, 7.764408588409424, 32.980411529541016, 49.283973693847656, 36.60837936401367, 48.365291595458984, 50.68288803100586, 42.023685455322266, 46.4567756652832, 48.21565628051758, 50.688507080078125, 48.66732406616211, 46.81648635864258, 48.63197708129883, 49.737850189208984, 28.868328094482422, 38.0050163269043, 50.23666000366211, 50.584014892578125, 50.07892990112305, 50.20321273803711, 7.492071628570557, 7.826195240020752, 49.52322006225586]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 1 36]]",0.9882001876831055,19.6875,14.0,"[44.54791259765625, 43.60234069824219, 7.870877265930176, 40.63746643066406, 11.72565746307373, 48.551021575927734, 48.420799255371094, 48.55252456665039, 7.662025451660156, 7.358616828918457, 7.519397735595703, 31.40579605102539, 47.381874084472656, 34.9671745300293, 46.5391845703125, 48.555519104003906, 40.43558883666992, 44.739593505859375, 46.400054931640625, 48.557010650634766, 46.81855010986328, 45.08226776123047, 46.78594207763672, 47.7878532409668, 27.131881713867188, 48.21892547607422, 48.495113372802734, 48.085052490234375, 48.19073486328125, 7.276768684387207, 7.5758771896362305, 47.59703063964844]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 1 36]]",0.9882001876831055,17.733333587646484,14.0,"[38.87083435058594, 37.932579040527344, 7.294925689697266, 34.951805114746094, 7.853520393371582, 42.37374496459961, 42.54130935668945, 41.83426284790039, 7.089756011962891, 6.795151710510254, 6.950045585632324, 41.61427688598633, 29.21253204345703, 40.81434631347656, 42.62477111816406, 34.74714279174805, 39.060020446777344, 40.6805419921875, 42.62270736694336, 41.081809997558594, 39.39736557006836, 41.05064392089844, 40.886226654052734, 21.466941833496094, 42.37406921386719, 42.596195220947266, 42.2573127746582, 42.34980010986328, 6.718633651733398, 7.005231857299805]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
