CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  0]
 [ 9  1]]",0.5633017420768738,89.5999984741211,98.0,"[10.818183898925781, 10.818183898925781, 10.818183898925781, 20.286117553710938, 10.818183898925781, 10.818183898925781, 10.818183898925781, 10.818183898925781, 10.818183898925781, 10.818183898925781]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,70.0,70.0,"[25.05451774597168, 22.72836685180664, 18.231250762939453, 24.206424713134766, 25.09886932373047, 18.178449630737305, 26.825138092041016, 24.321815490722656, 20.179031372070312]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,48.22222137451172,42.0,"[32.17739486694336, 27.933605194091797, 14.292532920837402, 31.017709732055664, 32.228492736816406, 14.20083236694336, 33.685665130615234, 31.197811126708984, 19.493083953857422]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,38.88888931274414,28.0,"[35.97867202758789, 32.04973220825195, 13.121194839477539, 34.92723846435547, 36.02510452270508, 13.03432846069336, 37.359500885009766, 35.090599060058594, 21.827598571777344]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,29.55555534362793,28.0,"[40.88672637939453, 36.582374572753906, 15.90733528137207, 39.7750358581543, 40.934356689453125, 15.793258666992188, 42.17748260498047, 39.951019287109375, 25.1236572265625]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,18.0,14.0,"[39.022010803222656, 32.75503921508789, 11.717665672302246, 37.34181213378906, 39.09482192993164, 37.60530090332031, 19.40194320678711]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,20.0,14.0,"[30.96646499633789, 27.763687133789062, 13.318832397460938, 29.93329429626465, 31.017316818237305, 30.08131980895996, 21.951091766357422]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,14.0,14.0,"[27.610525131225586, 23.597225189208984, 9.712660789489746, 26.310861587524414, 26.518198013305664, 26.49749183654785]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[77  0]
 [ 0 10]]",1.0,10.5,14.0,"[26.294172286987305, 23.996078491210938, 15.044087409973145, 25.553255081176758]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[77  0]
 [ 0 10]]",1.0,7.0,0.0,"[25.337358474731445, 16.922304153442383]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[77  0]
 [ 0 10]]",1.0,14.0,14.0,[18.354799270629883],2022-11-07T00:00:00.000000000,['Georgia']
"[[77  0]
 [ 1  9]]",0.9704583883285522,-1,-1,"[[0.062166254967451096], [0.062166254967451096], [1.0], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [1.0], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [1.0], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [1.0], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [1.0], [0.062166254967451096], [1.0], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [1.0], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [1.0], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [0.062166254967451096], [1.0]]",2022-11-21T00:00:00.000000000,[]
