CF1,f11,MAE1,MAE2,pred,date,countries
"[[74  0]
 [12  1]]",0.5339285731315613,134.61538696289062,154.0,"[11.06989860534668, 11.06989860534668, 11.06989860534668, 11.06989860534668, 13.046608924865723, 11.06989860534668, 11.06989860534668, 11.06989860534668, 11.06989860534668, 11.06989860534668, 11.06989860534668, 11.06989860534668, 11.06989860534668]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 0 13]]",1.0,117.83333587646484,126.0,"[16.93955421447754, 16.622642517089844, 16.764080047607422, 16.967317581176758, 16.8413143157959, 16.905147552490234, 16.766244888305664, 16.868818283081055, 16.938478469848633, 16.90657615661621, 16.837528228759766, 16.915903091430664]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 0 13]]",1.0,105.0,112.0,"[15.560015678405762, 13.572602272033691, 14.307074546813965, 15.771677017211914, 14.830265998840332, 15.299339294433594, 14.320895195007324, 15.029253959655762, 15.551827430725098, 15.310080528259277, 14.803328514099121, 15.38045597076416]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 0 13]]",1.0,103.83333587646484,112.0,"[11.83581256866455, 7.627072334289551, 9.594925880432129, 11.967642784118652, 10.883380889892578, 11.597198486328125, 9.634051322937012, 11.236979484558105, 11.829693794250488, 11.608969688415527, 10.829336166381836, 11.681727409362793]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 0 13]]",1.0,81.66666412353516,84.0,"[19.449953079223633, 4.798811435699463, 8.424617767333984, 19.973764419555664, 14.978399276733398, 18.47525978088379, 8.570244789123535, 16.833572387695312, 19.425642013549805, 18.52503776550293, 14.676337242126465, 18.82825469970703]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 0 13]]",1.0,73.81818389892578,84.0,"[18.58304214477539, 3.892868995666504, 9.251260757446289, 18.927711486816406, 15.490553855895996, 17.922706604003906, 9.448144912719727, 18.566791534423828, 17.956722259521484, 15.272445678710938, 18.163414001464844]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 0 13]]",1.0,62.3636360168457,70.0,"[22.90298843383789, 3.6603479385375977, 6.728697776794434, 24.547393798828125, 12.999005317687988, 20.11737823486328, 6.817488670349121, 22.829191207885742, 20.250900268554688, 12.557698249816895, 21.084787368774414]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 1 12]]",0.9766442775726318,48.3636360168457,56.0,"[24.930442810058594, 3.0791022777557373, 6.511844635009766, 26.733924865722656, 13.692197799682617, 21.791603088378906, 6.610315799713135, 24.84837532043457, 21.943397521972656, 13.193083763122559, 22.889188766479492]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 1 12]]",0.9766442775726318,37.79999923706055,28.0,"[27.8205623626709, 2.1188316345214844, 5.995800495147705, 30.553966522216797, 13.807467460632324, 23.402908325195312, 27.699153900146484, 23.605606079101562, 13.26270866394043, 24.893617630004883]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 1 12]]",0.9766442775726318,21.0,14.0,"[29.592540740966797, 1.2980639934539795, 5.597912311553955, 33.23052215576172, 14.363504409790039, 24.395536422729492, 23.219316482543945, 24.620283126831055, 13.79693603515625, 26.07480239868164]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 1 12]]",0.9766442775726318,11.199999809265137,14.0,"[28.699235916137695, 1.3597794771194458, 5.616921901702881, 32.4343376159668, 14.644886016845703, 23.560420989990234, 15.199644088745117, 23.600122451782227, 14.11596965789795, 25.351106643676758]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 1 12]]",0.9766442775726318,5.25,0.0,"[25.245344161987305, 5.316696643829346, 25.931446075439453, 15.035622596740723, 14.171340942382812, 20.633930206298828, 14.49046802520752, 23.673236846923828]",2023-06-05T00:00:00.000000000,"['Austria', 'Costa Rica', 'France', 'Ireland', 'South Korea', 'Spain', 'Sweden', 'USA']"
