CF1,f11,MAE1,MAE2,pred,date,countries
"[[51  0]
 [35  1]]",0.3992897868156433,95.86111450195312,105.0,"[22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 23.247690200805664, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234, 22.342159271240234]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [28  8]]",0.5741258859634399,57.55555725097656,63.0,"[31.996444702148438, 34.271400451660156, 31.546737670898438, 32.99889373779297, 34.271400451660156, 34.271400451660156, 34.271400451660156, 34.271400451660156, 22.37936782836914, 34.271400451660156, 34.271400451660156, 34.271400451660156, 32.000553131103516, 34.271400451660156, 34.271400451660156, 34.271400451660156, 34.271400451660156, 34.271400451660156, 34.271400451660156, 34.271400451660156, 34.271400451660156, 34.271400451660156, 34.271400451660156, 34.271400451660156, 22.37936782836914, 33.77428436279297, 34.271400451660156, 33.541351318359375, 34.271400451660156, 34.271400451660156, 34.271400451660156, 34.271400451660156, 34.271400451660156, 34.271400451660156, 34.271400451660156, 34.271400451660156]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [14 22]]",0.818965494632721,52.20000076293945,56.0,"[43.69577407836914, 25.639667510986328, 43.69577407836914, 43.69577407836914, 33.278663635253906, 25.175731658935547, 29.819652557373047, 43.69577407836914, 43.69577407836914, 43.69577407836914, 33.29689025878906, 35.4777946472168, 43.69577407836914, 25.175731658935547, 37.39063262939453, 25.192413330078125, 43.69577407836914, 28.553298950195312, 25.19134521484375, 25.19134521484375, 25.17967987060547, 43.69577407836914, 25.175731658935547, 43.69577407836914, 43.69577407836914, 43.69577407836914, 43.69577407836914, 43.69577407836914, 25.185836791992188, 25.195056915283203, 36.33473587036133, 25.175731658935547, 25.19953155517578, 33.44071578979492, 25.175731658935547]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [27  9]]",0.5953488349914551,39.117645263671875,35.0,"[38.30225372314453, 49.1677360534668, 36.49775695800781, 41.943546295166016, 49.1677360534668, 49.1677360534668, 49.1677360534668, 49.1677360534668, 13.639986991882324, 49.1677360534668, 49.1677360534668, 49.1677360534668, 49.1677360534668, 49.1677360534668, 49.1677360534668, 49.1677360534668, 49.1677360534668, 49.1677360534668, 49.1677360534668, 49.1677360534668, 49.1677360534668, 49.1677360534668, 49.1677360534668, 13.639986991882324, 44.419776916503906, 46.80944061279297, 43.70561599731445, 49.1677360534668, 49.1677360534668, 49.1677360534668, 49.1677360534668, 49.1677360534668, 49.1677360534668, 49.1677360534668]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [14 22]]",0.818965494632721,47.764705657958984,49.0,"[47.625057220458984, 6.232824325561523, 47.625057220458984, 47.625057220458984, 17.437721252441406, 6.090496063232422, 6.380491733551025, 47.625057220458984, 47.625057220458984, 47.625057220458984, 17.502397537231445, 25.040199279785156, 6.090496063232422, 31.196510314941406, 6.143735885620117, 47.625057220458984, 6.3351616859436035, 6.140250205993652, 6.140250205993652, 6.102864742279053, 47.625057220458984, 6.090496063232422, 47.625057220458984, 47.625057220458984, 47.625057220458984, 47.625057220458984, 47.625057220458984, 6.122439861297607, 6.152402400970459, 27.861106872558594, 6.090496063232422, 6.167194366455078, 18.012142181396484, 6.090496063232422]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [27  9]]",0.5953488349914551,31.5,35.0,"[33.87818908691406, 47.54616165161133, 31.261194229125977, 38.918067932128906, 47.54616165161133, 47.54616165161133, 47.54616165161133, 47.54616165161133, 5.171525478363037, 47.54616165161133, 47.54616165161133, 47.54616165161133, 47.54616165161133, 47.54616165161133, 47.54616165161133, 47.54616165161133, 47.54616165161133, 47.54616165161133, 47.54616165161133, 47.54616165161133, 47.54616165161133, 47.54616165161133, 47.54616165161133, 5.171525478363037, 42.13043975830078, 45.86226272583008, 41.2236328125, 47.54616165161133, 47.54616165161133, 47.54616165161133, 47.54616165161133, 47.54616165161133, 47.54616165161133, 47.54616165161133]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [14 22]]",0.818965494632721,37.75757598876953,42.0,"[49.67238235473633, 6.9756927490234375, 49.67238235473633, 49.67238235473633, 11.777295112609863, 6.590531349182129, 6.870073318481445, 49.67238235473633, 49.67238235473633, 49.67238235473633, 11.86462688446045, 22.23508071899414, 6.590531349182129, 30.703266143798828, 6.877974510192871, 49.67238235473633, 6.885790824890137, 6.859532356262207, 6.859532356262207, 6.658695220947266, 49.67238235473633, 6.590531349182129, 49.67238235473633, 49.67238235473633, 49.67238235473633, 49.67238235473633, 49.67238235473633, 6.764657974243164, 6.9236650466918945, 26.142675399780273, 6.590531349182129, 12.554301261901855, 6.590531349182129]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [26 10]]",0.615828812122345,25.030303955078125,21.0,"[34.98929214477539, 44.93474578857422, 31.256816864013672, 41.768821716308594, 44.93474578857422, 44.93474578857422, 44.93474578857422, 44.93474578857422, -9.926196098327637, 44.93474578857422, 44.93474578857422, 44.93474578857422, 44.93474578857422, 44.93474578857422, 44.93474578857422, 44.93474578857422, 44.93474578857422, 44.93474578857422, 44.93474578857422, 44.93474578857422, 44.93474578857422, 44.93474578857422, 44.93474578857422, -9.926196098327637, 44.080135345458984, 42.98970413208008, 43.71174621582031, 44.93474578857422, 44.93474578857422, 44.93474578857422, 44.93474578857422, 44.93474578857422, 44.93474578857422]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [13 23]]",0.833308756351471,30.33333396911621,28.0,"[42.726104736328125, -1.2834737300872803, 42.726104736328125, 42.726104736328125, 3.7431986331939697, -2.269103765487671, 42.726104736328125, 42.726104736328125, 42.726104736328125, 3.8559038639068604, 17.895662307739258, -2.269103765487671, 28.939346313476562, 42.726104736328125, -0.6680963039398193, -1.8958613872528076, -1.8958613872528076, -2.1731069087982178, 42.726104736328125, -2.269103765487671, 42.726104736328125, 42.726104736328125, 42.726104736328125, 42.726104736328125, 42.726104736328125, -2.0255839824676514, -1.8097255229949951, 22.997753143310547, -2.269103765487671, -2.269103765487671]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[51  0]
 [26 10]]",0.615828812122345,21.233333587646484,21.0,"[42.38168716430664, 48.31523513793945, 37.908477783203125, 48.660865783691406, 48.31523513793945, 48.31523513793945, 48.31523513793945, -6.776986122131348, 48.31523513793945, 48.31523513793945, 48.31523513793945, 48.31523513793945, 48.31523513793945, 48.31523513793945, 48.31523513793945, 48.31523513793945, 48.31523513793945, 48.31523513793945, 48.31523513793945, 48.31523513793945, 48.31523513793945, -6.776986122131348, 50.067195892333984, 45.8409309387207, 50.03773880004883, 48.31523513793945, 48.31523513793945, 48.31523513793945, 48.31523513793945, 48.31523513793945]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
