CF1,f11,MAE1,MAE2,pred,date,countries
"[[50  0]
 [ 0 37]]",1.0,127.55555725097656,140.0,"[13.896738052368164, 13.966787338256836, 14.050975799560547, 15.323432922363281, 14.257865905761719, 15.142030715942383, 13.111566543579102, 13.255731582641602, 13.106529235839844, 15.365802764892578, 15.410152435302734, 15.389074325561523, 14.67164421081543, 13.588088989257812, 14.538976669311523, 13.733108520507812, 13.092927932739258, 14.269735336303711, 13.948141098022461, 13.753265380859375, 13.080459594726562, 13.68991470336914, 13.9132080078125, 13.69516372680664, 13.495235443115234, 14.789144515991211, 14.476173400878906, 13.947975158691406, 13.357894897460938, 13.196697235107422, 13.407571792602539, 15.355134963989258, 13.369117736816406, 15.418754577636719, 15.380382537841797, 13.541681289672852]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [16 21]]",0.7931034564971924,108.11111450195312,112.0,"[17.566600799560547, 17.65516471862793, 17.69948387145996, 13.888266563415527, 17.614967346191406, 15.479436874389648, 16.414215087890625, 16.64476203918457, 16.406024932861328, 13.249507904052734, 12.18670654296875, 12.777828216552734, 17.175416946411133, 17.145816802978516, 17.36540412902832, 17.349409103393555, 16.383874893188477, 17.607858657836914, 17.631860733032227, 17.376907348632812, 16.363515853881836, 17.289810180664062, 17.587671279907227, 17.297100067138672, 17.010435104370117, 16.954891204833984, 17.437358856201172, 17.63165283203125, 16.803518295288086, 16.551250457763672, 16.879247665405273, 13.430835723876953, 16.820711135864258, 11.844649314880371, 12.969088554382324, 17.078624725341797]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [16 21]]",0.7931034564971924,94.11111450195312,98.0,"[23.95542335510254, 24.195789337158203, 24.364028930664062, 13.68704605102539, 23.860782623291016, 17.181726455688477, 19.36493682861328, 20.382827758789062, 19.328596115112305, 11.921680450439453, 8.994338989257812, 10.613195419311523, 21.782949447631836, 22.544912338256836, 22.63489532470703, 23.310590744018555, 19.230220794677734, 23.820941925048828, 24.134017944335938, 23.39598274230957, 19.139728546142578, 23.122270584106445, 24.013954162597656, 23.145532608032227, 21.96935272216797, 20.91140365600586, 22.997987747192383, 24.133460998535156, 21.076547622680664, 19.97129249572754, 21.404949188232422, 12.428478240966797, 21.15125846862793, 8.06860065460205, 11.142021179199219, 22.260204315185547]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 5 32]]",0.9399585723876953,80.88888549804688,84.0,"[23.460325241088867, 22.89229393005371, 22.163503646850586, -2.6562857627868652, 20.249326705932617, 4.682552814483643, 22.518983840942383, 23.43990707397461, 22.486431121826172, -5.455468654632568, -10.011758804321289, -7.49050760269165, 14.647306442260742, 24.955638885498047, 16.62955093383789, 24.464033126831055, 22.398439407348633, 20.117652893066406, 23.05037498474121, 24.342817306518555, 22.317657470703125, 24.664316177368164, 23.343496322631836, 24.64231300354004, 24.904874801635742, 12.685283660888672, 17.499351501464844, 23.05177879333496, 24.076677322387695, 23.065509796142578, 24.380308151245117, -4.6664862632751465, 24.14563751220703, -11.458761215209961, -6.668117046356201, 25.036405563354492]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 3 34]]",0.9643101096153259,64.4000015258789,70.0,"[27.648853302001953, 27.112640380859375, 26.429542541503906, -5.9173455238342285, 24.373966217041016, 4.231570720672607, 26.675724029541016, 28.17827796936035, 26.623058319091797, -9.747259140014648, -15.882648468017578, -12.504434585571289, 17.60405731201172, 29.297433853149414, 20.083885192871094, 28.802471160888672, 26.480844497680664, 24.21392822265625, 27.25809669494629, 28.66716766357422, 26.350454330444336, 28.994369506835938, 27.525253295898438, 28.971519470214844, 29.432680130004883, 15.07125473022461, 21.143335342407227, 27.259376525878906, 29.23361587524414, 27.564332962036133, 29.5310115814209, 29.348831176757812, -17.80072021484375, -11.393285751342773, 29.365697860717773]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 1 36]]",0.9882001876831055,47.599998474121094,42.0,"[30.528310775756836, 30.100900650024414, 29.491804122924805, -3.886533498764038, 27.542478561401367, 7.055620193481445, 29.398365020751953, 30.878162384033203, 29.345922470092773, -7.838600158691406, -13.89531135559082, -10.605630874633789, 21.864763259887695, 32.22035598754883, 24.197040557861328, 31.458728790283203, 29.20462989807129, 27.419336318969727, 30.216598510742188, 31.348621368408203, 29.07550048828125, 31.690954208374023, 30.4295597076416, 31.663002014160156, 32.1019287109375, 19.084280014038086, 25.031522750854492, 30.217622756958008, 31.606061935424805, 30.293222427368164, 31.78956413269043, 31.64786720275879, -15.709278106689453, -9.498933792114258, 32.260154724121094]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 0 37]]",1.0,35.599998474121094,28.0,"[29.817392349243164, 29.06930160522461, 28.01166343688965, -20.79898452758789, 25.12155532836914, -5.485927104949951, 31.499990463256836, 32.7138671875, 31.452207565307617, -26.521581649780273, -35.622467041015625, -30.62173843383789, 14.986915588378906, 32.56763458251953, 18.80050277709961, 31.32878875732422, 31.32356834411621, 24.941184997558594, 29.295621871948242, 31.14970588684082, 31.206130981445312, 31.706560134887695, 29.657329559326172, 31.661083221435547, 33.32137680053711, 11.091304779052734, 20.427705764770508, 29.297622680664062, 33.259098052978516, 32.31813430786133, 33.329898834228516, 33.275672912597656, -38.45022964477539, -28.971363067626953, 32.94778060913086]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 0 37]]",1.0,22.484848022460938,14.0,"[34.76598358154297, 33.857940673828125, -14.684320449829102, 31.292377471923828, 2.2368836402893066, 36.773597717285156, 37.99745178222656, 36.72175979614258, -20.852397918701172, -30.405611038208008, -25.198909759521484, 22.4439754486084, 38.1571044921875, 25.794584274291992, 36.9697265625, 36.582298278808594, 31.128557205200195, 34.95799255371094, 36.79518127441406, 36.455108642578125, 37.335411071777344, 35.30942153930664, 37.291561126708984, 38.86479568481445, 18.973081588745117, 27.20494270324707, 38.52690124511719, 37.664127349853516, 38.72255325317383, 38.584800720214844, -33.299285888671875, -23.457290649414062, 38.51520919799805]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 1 36]]",0.9882001876831055,16.625,14.0,"[31.620655059814453, 30.652767181396484, -29.739551544189453, 27.886425018310547, -4.660979747772217, 35.00505447387695, 35.58545684814453, 34.985130310058594, -38.61708450317383, -51.83860778808594, -44.727928161621094, 17.747314453125, 35.03578567504883, 21.606172561645508, 33.93769073486328, 34.93151092529297, 27.708431243896484, 31.824413299560547, 33.756046295166016, 34.882598876953125, 34.3171501159668, 32.19650650024414, 34.271728515625, 35.663089752197266, 13.735469818115234, 35.99978256225586, 35.346004486083984, 36.198760986328125, 36.044952392578125, -55.66737365722656, -42.29617691040039, 35.35015106201172]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 1 36]]",0.9882001876831055,13.533333778381348,14.0,"[38.03530502319336, 36.96232986450195, -28.868236541748047, 33.366050720214844, -6.492814064025879, 37.4229736328125, 40.203914642333984, 33.63273620605469, -37.23513412475586, -50.52839279174805, -43.22682571411133, 41.55484390258789, 26.635873794555664, 40.715843200683594, 38.55434036254883, 33.117828369140625, 38.26437759399414, 40.49923324584961, 38.42406463623047, 41.17214584350586, 38.68574523925781, 41.117244720458984, 33.459068298339844, 17.542644500732422, 41.012821197509766, 39.668495178222656, 41.4105110168457, 41.10248565673828, -54.65321350097656, -40.81553268432617]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
"[[50  0]
 [ 1 36]]",0.9882001876831055,16.91666603088379,14.0,"[32.40646743774414, 31.244619369506836, -29.334623336791992, 27.508893966674805, -8.231084823608398, 37.14144515991211, 37.333553314208984, 34.385250091552734, -37.165157318115234, -49.49191665649414, -42.74059295654297, 36.90180206298828, 35.40999221801758, 36.59281921386719, 27.27226448059082, 32.65718460083008, 35.16111373901367, 36.54096984863281, 35.9382209777832, 13.98179817199707, 37.05193328857422, 37.309940338134766, 37.389469146728516, -53.28268051147461]",2021-05-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Romania', 'Spain', 'Sweden', 'USA', 'Ukraine']"
"[[50  0]
 [ 0 37]]",1.0,17.81818199157715,28.0,"[-0.7404088973999023, 35.87385940551758, -36.28032302856445, 34.73760223388672, 25.885906219482422, 37.74201202392578, 33.88290023803711, 14.136387825012207, 36.98611831665039, 35.342830657958984, -39.49811935424805]",2021-06-07T00:00:00.000000000,"['Denmark', 'France', 'Guatemala', 'Ireland', 'Lithuania', 'Mexico', 'Netherlands', 'Romania', 'Spain', 'Sweden', 'Ukraine']"
"[[50  0]
 [ 0 37]]",1.0,-1,-1,"[[0.014656283892691135], [0.014656283892691135], [1.0], [1.0], [0.014656283892691135], [0.9999994039535522], [0.014656283892691135], [1.0], [0.014656283892691135], [0.014656283892691135], [0.9999998807907104], [0.014656283892691135], [0.014656283892691135], [0.014656283892691135], [0.014656283892691135], [0.014656283892691135], [0.014656283892691135], [0.014656283892691135], [0.014656283892691135], [1.0], [0.014656283892691135], [0.014656283892691135], [0.014656283892691135], [0.014656283892691135], [1.0], [0.9999799728393555], [0.014656283892691135], [0.9999988079071045], [1.0], [0.014656283892691135], [0.014656283892691135], [1.0], [1.0], [0.014656283892691135], [1.0], [1.0], [0.9999977350234985], [1.0], [0.014656283892691135], [0.014656283892691135], [0.014656283892691135], [0.9999988079071045], [0.9999998807907104], [0.014656283892691135], [0.9999995231628418], [0.9999985694885254], [0.9999992847442627], [0.014656283892691135], [0.014656283892691135], [0.9999964237213135], [0.014656283892691135], [0.9999980926513672], [0.014656283892691135], [0.014656283892691135], [0.014656283892691135], [0.9999994039535522], [0.014656283892691135], [0.014656283892691135], [0.014656283892691135], [0.014656283892691135], [0.014656283892691135], [1.0], [0.9641063213348389], [1.0], [1.0], [0.014656283892691135], [0.014656283892691135], [1.0], [0.014656283892691135], [0.014656283892691135], [1.0], [0.014656283892691135], [0.999996542930603], [0.014656283892691135], [0.014656283892691135], [0.9999884366989136], [0.014656283892691135], [0.014656283892691135], [0.014656283892691135], [0.014656283892691135], [0.9999986886978149], [0.9999992847442627], [0.014656283892691135], [1.0], [1.0], [1.0], [0.014656283892691135]]",2021-06-21T00:00:00.000000000,[]
