CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  0]
 [10  0]]",0.4695121943950653,77.0,84.0,"[23.967334747314453, 23.967334747314453, 23.967334747314453, 23.395057678222656, 23.967334747314453, 23.967334747314453, 23.967334747314453, 23.967334747314453, 23.967334747314453, 23.967334747314453]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,56.0,56.0,"[32.36775207519531, 29.979961395263672, 28.791189193725586, 31.56578254699707, 32.40839385986328, 28.787010192871094, 33.969932556152344, 31.678239822387695, 28.888479232788086]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,51.33333206176758,56.0,"[29.394866943359375, 27.960739135742188, 27.7078800201416, 27.996047973632812, 29.481626510620117, 27.701034545898438, 32.73286056518555, 27.998504638671875, 27.866233825683594]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,45.11111068725586,42.0,"[25.24649429321289, 22.468990325927734, 0.4464496374130249, 24.374208450317383, 25.28921127319336, 0.21255171298980713, 26.828603744506836, 24.500022888183594, 16.280487060546875]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,34.22222137451172,28.0,"[26.137596130371094, 22.732860565185547, 11.434418678283691, 25.0936279296875, 26.187946319580078, 11.212027549743652, 27.94595718383789, 25.24588394165039, 14.89690113067627]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,28.0,28.0,"[22.360586166381836, 19.128829956054688, 10.509445190429688, 20.743732452392578, 22.439292907714844, 20.97786521911621, 17.379947662353516]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,18.0,14.0,"[25.635215759277344, 25.46257781982422, 14.353933334350586, 25.658620834350586, 25.631935119628906, 25.660158157348633, 23.365976333618164]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,14.0,14.0,"[14.840856552124023, 10.607858657836914, 1.841019630432129, 13.515987396240234, 5.508331775665283, 13.707645416259766]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[77  0]
 [ 0 10]]",1.0,10.5,0.0,"[12.143168449401855, 5.4752020835876465, -5.267315864562988, 10.05307674407959]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[77  0]
 [ 0 10]]",1.0,7.0,0.0,"[6.839938640594482, -6.258312702178955]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[77  0]
 [ 0 10]]",1.0,0.0,0.0,[-6.801846981048584],2022-11-07T00:00:00.000000000,['Georgia']
"[[77  0]
 [ 1  9]]",0.9704583883285522,-1,-1,"[[0.13705797493457794], [0.13705797493457794], [1.0], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [1.0], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [1.0], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.9999998807907104], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [1.0], [0.13705797493457794], [1.0], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.9999998807907104], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [1.0], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [0.13705797493457794], [1.0]]",2022-11-21T00:00:00.000000000,[]
