CF1,f11,MAE1,MAE2,pred,date,countries
"[[81  0]
 [ 6  0]]",0.4821428656578064,86.80000305175781,84.0,"[18.257186889648438, 18.130298614501953, 18.302326202392578, 18.219669342041016, 18.186111450195312]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,72.80000305175781,70.0,"[14.48328685760498, 14.577177047729492, 14.413030624389648, 14.526590347290039, 14.554132461547852]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 1  5]]",0.9514779448509216,72.80000305175781,70.0,"[8.101808547973633, 13.322543144226074, 6.536819934844971, 9.740523338317871, 11.133217811584473]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,58.79999923706055,56.0,"[0.6699683666229248, 6.134317874908447, 0.2582273483276367, 1.7151844501495361, 3.5827927589416504]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,42.0,28.0,"[6.27902364730835, 16.919469833374023, 4.679821491241455, 7.317378997802734, 10.737000465393066]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,25.200000762939453,14.0,"[7.953361511230469, 23.436481475830078, 5.262368202209473, 10.1138334274292, 15.415401458740234]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,8.399999618530273,0.0,"[12.615492820739746, 26.655506134033203, 8.177228927612305, 16.766693115234375, 20.177143096923828]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,18.66666603088379,14.0,"[27.81052589416504, 17.660778045654297, 22.15021324157715]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,0.0,0.0,[28.169296264648438],2021-03-29T00:00:00.000000000,['Panama']
"[[81  0]
 [ 0  6]]",1.0,14.0,14.0,[31.01519775390625],2021-04-12T00:00:00.000000000,['Panama']
"[[81  0]
 [ 0  6]]",1.0,14.0,14.0,[25.865184783935547],2021-04-26T00:00:00.000000000,['Panama']
"[[81  0]
 [ 0  6]]",1.0,-1,-1,"[[0.9998964071273804], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.9999338388442993], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.999811589717865], [0.9998894929885864], [0.03171752020716667], [0.9998181462287903], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.9998050332069397], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667], [0.03171752020716667]]",2021-05-10T00:00:00.000000000,[]
