CF1,f11,MAE1,MAE2,pred,date,countries
"[[51  0]
 [35  1]]",0.3992897868156433,95.86111450195312,105.0,"[25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.198869705200195, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707, 25.22545051574707]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [28  8]]",0.5741258859634399,56.38888931274414,63.0,"[28.3743896484375, 28.420873641967773, 28.37060546875, 28.383052825927734, 28.420873641967773, 28.420873641967773, 28.420873641967773, 28.420873641967773, 28.298206329345703, 28.420873641967773, 28.420873641967773, 28.420873641967773, 21.804046630859375, 28.420873641967773, 28.420873641967773, 28.420873641967773, 28.420873641967773, 28.420873641967773, 28.420873641967773, 28.420873641967773, 28.420873641967773, 28.420873641967773, 28.420873641967773, 28.420873641967773, 28.298206329345703, 28.389934539794922, 28.420873641967773, 28.38785171508789, 28.420873641967773, 28.420873641967773, 28.420873641967773, 28.420873641967773, 28.420873641967773, 28.420873641967773, 28.420873641967773, 28.420873641967773]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [14 22]]",0.818965494632721,47.79999923706055,56.0,"[43.73776626586914, 37.742454528808594, 43.73776626586914, 43.73776626586914, 37.77157211303711, 37.73274230957031, 37.75565719604492, 43.73776626586914, 43.73776626586914, 43.73776626586914, 37.771671295166016, 37.78541946411133, 43.73776626586914, 37.73274230957031, 37.800838470458984, 37.73615646362305, 43.73776626586914, 37.7511100769043, 37.73592758178711, 37.73592758178711, 37.733516693115234, 43.73776626586914, 37.73274230957031, 43.73776626586914, 43.73776626586914, 43.73776626586914, 43.73776626586914, 43.73776626586914, 37.734764099121094, 37.736732482910156, 37.7918815612793, 37.73274230957031, 37.73773193359375, 37.7724723815918, 37.73274230957031]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [27  9]]",0.5953488349914551,38.29411697387695,35.0,"[32.38007354736328, 43.400699615478516, 31.895904541015625, 33.51262664794922, 43.400699615478516, 43.400699615478516, 43.400699615478516, 43.400699615478516, 26.73853302001953, 43.400699615478516, 43.400699615478516, 43.400699615478516, 43.400699615478516, 43.400699615478516, 43.400699615478516, 43.400699615478516, 43.400699615478516, 43.400699615478516, 43.400699615478516, 43.400699615478516, 43.400699615478516, 43.400699615478516, 43.400699615478516, 26.73853302001953, 34.42977523803711, 38.986167907714844, 34.1512336730957, 43.400699615478516, 43.400699615478516, 43.400699615478516, 43.400699615478516, 43.400699615478516, 43.400699615478516, 43.400699615478516]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [14 22]]",0.818965494632721,37.47058868408203,42.0,"[55.968509674072266, 30.351356506347656, 55.968509674072266, 55.968509674072266, 32.94202423095703, 29.35708236694336, 31.58814239501953, 55.968509674072266, 55.968509674072266, 55.968509674072266, 32.95021438598633, 34.031158447265625, 29.35708236694336, 35.1716194152832, 29.715362548828125, 55.968509674072266, 31.17557144165039, 29.69152069091797, 29.69152069091797, 29.439346313476562, 55.968509674072266, 29.35708236694336, 55.968509674072266, 55.968509674072266, 55.968509674072266, 55.968509674072266, 55.968509674072266, 29.570636749267578, 29.774917602539062, 34.51729202270508, 29.35708236694336, 29.877548217773438, 33.01533126831055, 29.35708236694336]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [27  9]]",0.5953488349914551,39.32352828979492,35.0,"[15.988604545593262, 38.99205780029297, 15.025097846984863, 18.209440231323242, 38.99205780029297, 38.99205780029297, 38.99205780029297, 38.99205780029297, 7.443387031555176, 38.99205780029297, 38.99205780029297, 38.99205780029297, 38.99205780029297, 38.99205780029297, 38.99205780029297, 38.99205780029297, 38.99205780029297, 38.99205780029297, 38.99205780029297, 38.99205780029297, 38.99205780029297, 38.99205780029297, 38.99205780029297, 7.443387031555176, 19.979013442993164, 33.82463073730469, 19.444002151489258, 38.99205780029297, 38.99205780029297, 38.99205780029297, 38.99205780029297, 38.99205780029297, 38.99205780029297, 38.99205780029297]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [14 22]]",0.818965494632721,25.454545974731445,21.0,"[72.42326354980469, 17.981754302978516, 72.42326354980469, 72.42326354980469, 26.289037704467773, 14.127686500549316, 22.229650497436523, 72.42326354980469, 72.42326354980469, 72.42326354980469, 26.311853408813477, 29.14607048034668, 14.127686500549316, 33.09452438354492, 15.567730903625488, 72.42326354980469, 20.873353958129883, 15.47380542755127, 15.47380542755127, 14.463910102844238, 72.42326354980469, 14.127686500549316, 72.42326354980469, 72.42326354980469, 72.42326354980469, 72.42326354980469, 72.42326354980469, 14.993513107299805, 15.801185607910156, 30.30921745300293, 14.127686500549316, 26.492475509643555, 14.127686500549316]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [26 10]]",0.615828812122345,26.303030014038086,21.0,"[21.022510528564453, 42.77430725097656, 19.27608299255371, 24.368637084960938, 42.77430725097656, 42.77430725097656, 42.77430725097656, 42.77430725097656, -0.9272861480712891, 42.77430725097656, 42.77430725097656, 42.77430725097656, 42.77430725097656, 42.77430725097656, 42.77430725097656, 42.77430725097656, 42.77430725097656, 42.77430725097656, 42.77430725097656, 42.77430725097656, 42.77430725097656, 42.77430725097656, 42.77430725097656, -0.9272861480712891, 26.34071922302246, 31.270090103149414, 25.808530807495117, 42.77430725097656, 42.77430725097656, 42.77430725097656, 42.77430725097656, 42.77430725097656, 42.77430725097656]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [14 22]]",0.818965494632721,26.133333206176758,21.0,"[78.03317260742188, 1.0681238174438477, 78.03317260742188, 78.03317260742188, 18.51426124572754, 0.8785403966903687, 78.03317260742188, 78.03317260742188, 78.03317260742188, 18.564882278442383, 24.644763946533203, 0.8785403966903687, 30.39217185974121, 78.03317260742188, 5.806603908538818, 0.9451465606689453, 0.9451465606689453, 0.895228385925293, 78.03317260742188, 0.8785403966903687, 78.03317260742188, 78.03317260742188, 78.03317260742188, 78.03317260742188, 78.03317260742188, 0.9214428663253784, 0.9612686634063721, 27.00762367248535, 0.8785403966903687, 0.8785403966903687]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[51  0]
 [26 10]]",0.615828812122345,26.83333396911621,21.0,"[40.963069915771484, 24.126508712768555, 37.39744186401367, 44.1799201965332, 24.126508712768555, 24.126508712768555, 24.126508712768555, -2.9355900287628174, 24.126508712768555, 24.126508712768555, 24.126508712768555, 24.126508712768555, 24.126508712768555, 24.126508712768555, 24.126508712768555, 24.126508712768555, 24.126508712768555, 24.126508712768555, 24.126508712768555, 24.126508712768555, 24.126508712768555, -2.9355900287628174, 40.97420120239258, 9.229819297790527, 42.43255615234375, 24.126508712768555, 24.126508712768555, 24.126508712768555, 24.126508712768555, 24.126508712768555]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
