CF1,f11,MAE1,MAE2,pred,date,countries
"[[50  0]
 [ 9 28]]",0.8894848227500916,127.16666412353516,126.0,"[14.34549331665039, 14.4155912399292, 14.485984802246094, 13.505078315734863, 14.58653736114502, 13.516594886779785, 13.499451637268066, 13.503252983093262, 13.499314308166504, 13.499902725219727, 13.490857124328613, 13.49594497680664, 14.373876571655273, 13.926887512207031, 14.516702651977539, 14.144495010375977, 13.498944282531738, 14.588830947875977, 14.397923469543457, 14.171917915344238, 13.498602867126465, 14.083369255065918, 14.362879753112793, 14.09096908569336, 13.769838333129883, 14.168169975280762, 14.5570068359375, 14.39775562286377, 13.51413345336914, 13.50172233581543, 13.609733581542969, 13.501395225524902, 13.53602123260498, 13.487858772277832, 13.497562408447266, 13.850053787231445]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [12 25]]",0.8496543765068054,109.27777862548828,112.0,"[15.676430702209473, 15.589523315429688, 15.46475601196289, 8.292664527893066, 15.051536560058594, 10.181262969970703, 15.836190223693848, 15.90018081665039, 15.833329200744629, 8.28787612915039, 8.280717849731445, 8.284571647644043, 13.620269775390625, 15.899954795837402, 14.187102317810059, 15.825149536132812, 15.825380325317383, 15.022708892822266, 15.61410903930664, 15.810684204101562, 15.817828178405762, 15.852710723876953, 15.657326698303223, 15.849613189697266, 15.922624588012695, 13.006637573242188, 14.416220664978027, 15.614324569702148, 15.923256874084473, 15.878273010253906, 15.92736530303955, 8.289198875427246, 15.924601554870605, 8.278635025024414, 8.285886764526367, 15.913631439208984]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [11 26]]",0.8631488680839539,94.5,98.0,"[22.575389862060547, 22.600404739379883, 22.575130462646484, 11.628644943237305, 22.218229293823242, 11.82669448852539, 20.13245964050293, 20.82645034790039, 20.106592178344727, 11.542583465576172, 11.395536422729492, 11.477754592895508, 19.762624740600586, 22.03812026977539, 20.86972427368164, 22.370840072631836, 20.0362491607666, 22.183393478393555, 22.597671508789062, 22.40631675720215, 19.97110366821289, 22.285696029663086, 22.5848445892334, 22.29669952392578, 21.758886337280273, 18.436603546142578, 21.276023864746094, 22.597644805908203, 21.26050567626953, 20.553234100341797, 21.45196533203125, 11.567249298095703, 21.304834365844727, 11.347658157348633, 11.504144668579102, 21.9046688079834]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 8 29]]",0.9023569226264954,82.05555725097656,84.0,"[18.809871673583984, 18.16808319091797, 17.346513748168945, 2.0197675228118896, 15.057823181152344, 3.7240397930145264, 23.348249435424805, 23.106191635131836, 23.35565948486328, 1.4932763576507568, 0.7677552700042725, 1.1499431133270264, 8.904325485229492, 21.255281448364258, 11.160037994384766, 20.177600860595703, 23.375347137451172, 14.91333293914795, 18.342485427856445, 20.01830291748047, 23.392959594726562, 20.5108699798584, 18.66221809387207, 20.47095489501953, 21.887413024902344, 6.622786521911621, 12.125448226928711, 18.34402084350586, 22.7489070892334, 23.212478637695312, 22.44687271118164, 1.6351735591888428, 22.68158531188965, 0.5687854290008545, 1.2848241329193115, 21.57652473449707]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 6 31]]",0.9275804758071899,67.5999984741211,70.0,"[24.045578002929688, 23.246620178222656, 22.221389770507812, 7.068262100219727, 19.359098434448242, 8.461103439331055, 28.350961685180664, 27.891159057617188, 28.365558624267578, 6.648846626281738, 6.0822248458862305, 6.378883361816406, 11.78349494934082, 26.470247268676758, 14.520581245422363, 25.657865524291992, 28.404481887817383, 19.1784725189209, 23.46392059326172, 25.534061431884766, 28.439559936523438, 25.913890838623047, 23.8619441986084, 25.883441925048828, 26.924224853515625, 10.500300407409668, 15.709495544433594, 23.465835571289062, 27.512086868286133, 28.08957290649414, 27.310312271118164, 27.467544555664062, 5.929628372192383, 6.4845781326293945, 26.70319366455078]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 4 33]]",0.952197790145874,50.400001525878906,56.0,"[26.61834716796875, 26.030452728271484, 25.252046585083008, 4.408872604370117, 22.92828941345215, 6.761526107788086, 28.24124526977539, 28.289636611938477, 28.238386154174805, 3.656575918197632, 2.5990312099456787, 3.1593005657196045, 15.4107084274292, 28.105281829833984, 18.40302848815918, 27.80251121520996, 28.230304718017578, 22.773717880249023, 26.191959381103516, 27.66870880126953, 28.2224178314209, 27.944351196289062, 26.484657287597656, 27.93445587158203, 28.20496368408203, 12.059837341308594, 19.595727920532227, 26.193376541137695, 28.281137466430664, 28.277873992919922, 28.262678146362305, 28.27782440185547, 2.304309606552124, 3.3553130626678467, 28.16035270690918]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 1 36]]",0.9882001876831055,34.400001525878906,28.0,"[35.23548126220703, 34.78059768676758, 34.17637634277344, 5.702206611633301, 32.35813522338867, 8.08293628692627, 35.35447692871094, 35.60302734375, 35.34494400024414, 4.933452606201172, 3.8532044887542725, 4.425203323364258, 26.27094841003418, 35.9578971862793, 28.73918914794922, 35.98930740356445, 35.318878173828125, 32.23635482788086, 34.90569305419922, 35.98623275756836, 35.294639587402344, 35.98944854736328, 35.132144927978516, 35.989891052246094, 35.89427185058594, 23.412776947021484, 29.704795837402344, 34.90678787231445, 35.747596740722656, 35.50720977783203, 35.807342529296875, 35.76171875, 3.5526416301727295, 4.62550163269043, 35.92997360229492]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 1 36]]",0.9882001876831055,22.909090042114258,14.0,"[39.342857360839844, 38.59474563598633, 5.352968215942383, 36.26331329345703, 7.878592491149902, 39.865177154541016, 40.33968734741211, 39.84697341918945, 4.550708770751953, 3.437371015548706, 4.02448844909668, 28.157882690429688, 41.03274917602539, 31.461223602294922, 40.946556091308594, 39.79730987548828, 36.10429763793945, 39.4946174621582, 40.83152389526367, 39.75109100341797, 41.10758972167969, 39.76682662963867, 41.109397888183594, 40.90313720703125, 24.367612838745117, 32.75379180908203, 40.61717987060547, 40.15655517578125, 40.732749938964844, 40.64444351196289, 3.131612539291382, 4.231417655944824, 40.97484588623047]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 7 30]]",0.9150509238243103,16.1875,14.0,"[39.844322204589844, 39.19287109375, 6.901693820953369, 36.901611328125, 8.969703674316406, 40.38159942626953, 40.511104583740234, 40.37596893310547, 6.230997562408447, 5.26270055770874, 5.780533313751221, 29.034894943237305, 40.53055953979492, 32.255218505859375, 40.37993621826172, 40.36042785644531, 36.747047424316406, 39.90338897705078, 40.34930419921875, 40.345706939697266, 40.43715286254883, 40.00555419921875, 40.43080139160156, 40.57065200805664, 25.278316497802734, 40.5625, 40.46567916870117, 40.57402420043945, 40.5659065246582, 4.9843525886535645, 5.958953380584717, 40.55557632446289]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 1 36]]",0.9882001876831055,14.0,14.0,"[30.73204231262207, 29.197961807250977, 5.102348804473877, 23.98571014404297, 8.210559844970703, 39.79033279418945, 39.63957595825195, 41.75594711303711, 4.098824977874756, 2.6723885536193848, 3.430830478668213, 36.21195983886719, 14.195966720581055, 34.35047912597656, 40.9762077331543, 23.622892379760742, 31.0535888671875, 34.07058334350586, 41.07067108154297, 34.932151794433594, 31.639373779296875, 34.862762451171875, 39.3398551940918, 12.184764862060547, 38.69437789916992, 40.147193908691406, 38.20210647583008, 38.58511734008789, 2.270376682281494, 3.6946520805358887]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
