CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  0]
 [ 9  1]]",0.5633017420768738,88.19999694824219,98.0,"[13.902609825134277, 13.902609825134277, 13.902609825134277, 13.856644630432129, 13.902609825134277, 13.902609825134277, 13.902609825134277, 13.902609825134277, 13.902609825134277, 13.902609825134277]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 3  7]]",0.9022105932235718,70.0,70.0,"[23.37369155883789, 23.157886505126953, 22.199726104736328, 23.301239013671875, 23.377365112304688, 22.173728942871094, 23.518508911132812, 23.3114013671875, 22.792659759521484]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,56.0,56.0,"[20.638957977294922, 20.131534576416016, 17.97247886657715, 20.46769142150879, 20.647659301757812, 17.91593360900879, 20.984045028686523, 20.491657257080078, 19.290910720825195]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,42.0,42.0,"[23.321514129638672, 21.276390075683594, 18.39201545715332, 22.628259658813477, 23.35683250427246, 18.390392303466797, 24.727861404418945, 22.725069046020508, 18.42737579345703]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,37.33333206176758,28.0,"[17.31668472290039, 11.087285041809082, 0.41226768493652344, 15.180743217468262, 17.424903869628906, 0.14881420135498047, 21.57750701904297, 15.480304718017578, 6.8039703369140625]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,32.0,28.0,"[19.836732864379883, 13.403060913085938, 2.2505922317504883, 17.66839599609375, 19.946823120117188, 17.972003936767578, 7.409352779388428]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,20.0,14.0,"[20.048391342163086, 13.552631378173828, 4.739561080932617, 17.874778747558594, 20.158294677734375, 18.18012809753418, 8.335602760314941]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,14.0,14.0,"[24.704832077026367, 18.406116485595703, 11.231683731079102, 22.67761993408203, 18.816221237182617, 22.967647552490234]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[77  0]
 [ 0 10]]",1.0,14.0,14.0,"[25.39561653137207, 18.43857765197754, 9.108941078186035, 23.165782928466797]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[77  0]
 [ 0 10]]",1.0,14.0,14.0,"[23.115703582763672, 6.5471720695495605]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[77  0]
 [ 0 10]]",1.0,0.0,0.0,[13.278038024902344],2022-11-07T00:00:00.000000000,['Georgia']
"[[77  0]
 [ 1  9]]",0.9704583883285522,-1,-1,"[[0.05451464653015137], [0.05451464653015137], [1.0], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.9999973773956299], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [1.0], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.999988317489624], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [1.0], [0.05451464653015137], [1.0], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.9999616146087646], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [1.0], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [0.05451464653015137], [1.0]]",2022-11-21T00:00:00.000000000,[]
