CF1,f11,MAE1,MAE2,pred,date,countries
"[[74  0]
 [12  1]]",0.5339285731315613,134.61538696289062,154.0,"[11.201273918151855, 11.201273918151855, 11.201273918151855, 11.201273918151855, 11.198244094848633, 11.201273918151855, 11.201273918151855, 11.201273918151855, 11.201273918151855, 11.201273918151855, 11.201273918151855, 11.201273918151855, 11.201273918151855]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 0 13]]",1.0,117.83333587646484,126.0,"[21.62795639038086, 18.32819175720215, 20.86759376525879, 21.684003829956055, 21.324289321899414, 21.543588638305664, 20.88483428955078, 21.430957794189453, 21.62558937072754, 21.547473907470703, 21.307844161987305, 21.571990966796875]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 0 13]]",1.0,103.83333587646484,112.0,"[21.781152725219727, 17.46763801574707, 17.700685501098633, 22.43161964416504, 18.181150436401367, 20.79336166381836, 17.70187759399414, 19.459409713745117, 21.75356674194336, 20.83907699584961, 17.982818603515625, 21.127017974853516]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 0 13]]",1.0,89.83333587646484,98.0,"[21.223814010620117, 17.006729125976562, 18.031984329223633, 22.52071189880371, 18.26127052307129, 19.266298294067383, 18.040441513061523, 18.31622314453125, 21.168954849243164, 19.35655975341797, 18.25284194946289, 19.925844192504883]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 0 13]]",1.0,89.83333587646484,98.0,"[5.865622520446777, 0.869505763053894, 2.384122371673584, 9.444066047668457, 2.7535057067871094, 2.930873394012451, 2.397885799407959, 2.840041160583496, 5.780266284942627, 2.95345401763916, 2.7401366233825684, 3.8427720069885254]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 0 13]]",1.0,84.0,84.0,"[3.303603410720825, 0.21134376525878906, 1.7860653400421143, 5.763511657714844, 2.1978087425231934, 2.389760971069336, 1.8016047477722168, 3.1989636421203613, 2.393091917037964, 2.1831560134887695, 2.414038896560669]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 0 13]]",1.0,70.0,70.0,"[-5.486969947814941, -1.0584077835083008, -3.3200693130493164, -5.847017765045166, -4.129500865936279, -5.00855016708374, -3.3522109985351562, -5.472498416900635, -5.028892517089844, -4.084681987762451, -5.161032199859619]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 1 12]]",0.9766442775726318,56.0,56.0,"[-7.055216312408447, -6.906898021697998, -7.0427045822143555, -7.168331146240234, -6.936389923095703, -6.93826150894165, -7.0491437911987305, -7.051046371459961, -6.942187786102295, -6.949460983276367, -6.9702558517456055]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 1 12]]",0.9766442775726318,47.599998474121094,42.0,"[-7.785821437835693, -5.170049667358398, -6.2323174476623535, -8.083917617797852, -6.735818386077881, -7.392195224761963, -7.773841857910156, -7.408761978149414, -6.70945405960083, -7.516863822937012]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 1 12]]",0.9766442775726318,33.599998474121094,28.0,"[-9.60285472869873, -6.9872236251831055, -7.817194938659668, -9.973750114440918, -8.264825820922852, -9.104947090148926, -9.615206718444824, -9.12607192993164, -8.233288764953613, -9.263567924499512]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 1 12]]",0.9766442775726318,19.600000381469727,14.0,"[-11.006377220153809, -9.104292869567871, -9.060775756835938, -11.529982566833496, -9.073107719421387, -10.316137313842773, -11.067394256591797, -10.345860481262207, -9.013434410095215, -10.53493595123291]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 1 12]]",0.9766442775726318,10.5,14.0,"[-14.112217903137207, -13.577339172363281, -14.46860122680664, -13.319101333618164, -14.532033920288086, -13.724557876586914, -13.339227676391602, -13.814397811889648]",2023-06-05T00:00:00.000000000,"['Austria', 'Costa Rica', 'France', 'Ireland', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 1 12]]",0.9766442775726318,2.799999952316284,0.0,"[-13.855559349060059, -11.494301795959473, -12.467179298400879, -11.475638389587402, -12.630661964416504]",2023-06-19T00:00:00.000000000,"['France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 1 12]]",0.9766442775726318,0.0,0.0,[-14.808636665344238],2023-07-03T00:00:00.000000000,['USA']
"[[74  0]
 [ 2 11]]",0.9516666531562805,-1,-1,"[[0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [1.0], [0.06723378598690033], [1.0], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [1.0], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [1.0], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [1.0], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [1.0], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [1.0], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [1.0], [1.0], [0.06723378598690033], [0.06723378598690033], [1.0], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [1.0], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033], [0.06723378598690033]]",2023-07-17T00:00:00.000000000,[]
