CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 51]
 [ 0 36]]",0.2926829159259796,109.86111450195312,119.0,"[11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 29.361652374267578, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649872779846191, 11.649873733520508, 11.649873733520508]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [36  0]]",0.3695652186870575,73.5,77.0,"[43.510379791259766, 8.938152313232422, 43.510379791259766, 43.510379791259766, 8.938152313232422, 8.938152313232422, 8.938152313232422, 8.938152313232422, 43.510379791259766, 8.938152313232422, 8.938152313232422, 8.938152313232422, 18.034889221191406, 8.938152313232422, 8.938152313232422, 8.938152313232422, 8.938152313232422, 8.938152313232422, 8.938152313232422, 8.938152313232422, 8.938152313232422, 8.938152313232422, 8.938152313232422, 8.938152313232422, 43.510379791259766, 43.510379791259766, 8.938152313232422, 43.510379791259766, 8.938152313232422, 8.938152313232422, 8.938152313232422, 8.938152313232422, 8.938152313232422, 8.938152313232422, 8.938152313232422, 8.938152313232422]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[ 0 51]
 [ 9 27]]",0.2368421107530594,57.400001525878906,56.0,"[34.67707824707031, 36.045108795166016, 34.67707824707031, 34.67707824707031, 36.045108795166016, 36.045108795166016, 36.045108795166016, 1.5309398174285889, 34.67707824707031, 1.5309398174285889, 36.045108795166016, 36.045108795166016, 34.67707824707031, 36.045108795166016, 36.045108795166016, 36.045108795166016, 1.5309398174285889, 36.045108795166016, 36.045108795166016, 36.045108795166016, 36.045108795166016, 1.5309398174285889, 36.045108795166016, 1.5309398174285889, 34.67707824707031, 34.67707824707031, 1.5309398174285889, 34.67707824707031, 36.045108795166016, 36.045108795166016, 36.045108795166016, 36.045108795166016, 36.045108795166016, 36.045108795166016, 36.045108795166016]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [36  0]]",0.3695652186870575,48.588233947753906,49.0,"[41.06928253173828, 39.688987731933594, 41.06928253173828, 41.06928253173828, 39.688987731933594, 39.688987731933594, 39.688987731933594, 3.077150344848633, 41.06928253173828, 3.077150344848633, 39.688987731933594, 39.688987731933594, 39.688987731933594, 39.688987731933594, 39.688987731933594, 3.077150344848633, 39.688987731933594, 39.688987731933594, 39.688987731933594, 39.688987731933594, 3.077150344848633, 39.688987731933594, 3.077150344848633, 41.06928253173828, 41.06928253173828, 24.336729049682617, 41.06928253173828, 39.688987731933594, 39.688987731933594, 39.688987731933594, 39.688987731933594, 39.688987731933594, 39.688987731933594, 39.688987731933594]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 0 51]
 [ 0 36]]",0.2926829159259796,38.29411697387695,28.0,"[51.53643798828125, 52.855403900146484, 51.53643798828125, 51.53643798828125, 52.855403900146484, 52.855403900146484, 52.855403900146484, -1.7643225193023682, 51.53643798828125, -1.7643225193023682, 52.855403900146484, 52.855403900146484, 52.855403900146484, 52.855403900146484, 52.855403900146484, -1.7643225193023682, 52.855403900146484, 52.855403900146484, 52.855403900146484, 52.855403900146484, -1.7643225193023682, 52.855403900146484, -1.7643225193023682, 51.53643798828125, 51.53643798828125, 51.53643798828125, 51.53643798828125, 52.855403900146484, 52.855403900146484, 52.855403900146484, 52.855403900146484, 52.855403900146484, 52.855403900146484, 52.855403900146484]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 0 51]
 [31  5]]",0.054347824305295944,40.55882263183594,35.0,"[34.29116439819336, 31.9884090423584, 34.29116439819336, 34.29116439819336, 31.9884090423584, 31.9884090423584, 31.9884090423584, -0.8033727407455444, 34.29116439819336, -0.8033727407455444, 31.9884090423584, 31.9884090423584, 31.9884090423584, 31.9884090423584, 31.9884090423584, -0.8033727407455444, 31.9884090423584, 31.9884090423584, 31.9884090423584, 31.9884090423584, -0.8033727407455444, 31.9884090423584, -0.8033727407455444, 34.29116439819336, 34.29116439819336, 21.167341232299805, 34.29116439819336, 31.9884090423584, 31.9884090423584, 31.9884090423584, 31.9884090423584, 31.9884090423584, 31.9884090423584, 31.9884090423584]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 0 51]
 [22 14]]",0.13861386477947235,30.545454025268555,21.0,"[49.047420501708984, 50.79472732543945, 49.047420501708984, 49.047420501708984, 50.79472732543945, 50.79472732543945, 50.79472732543945, -5.6981964111328125, 49.047420501708984, -5.6981964111328125, 50.79472732543945, 50.79472732543945, 50.79472732543945, 50.79472732543945, 50.79472732543945, -5.6981964111328125, 50.79472732543945, 50.79472732543945, 50.79472732543945, 50.79472732543945, -5.6981964111328125, 50.79472732543945, -5.6981964111328125, 49.047420501708984, 49.047420501708984, 49.047420501708984, 49.047420501708984, 50.79472732543945, 50.79472732543945, 50.79472732543945, 50.79472732543945, 50.79472351074219, 50.79472351074219]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [35  1]]",0.3992897868156433,29.696969985961914,21.0,"[45.365333557128906, 42.366329193115234, 45.365333557128906, 45.365333557128906, 42.366329193115234, 42.366329193115234, 42.366329193115234, -6.995830535888672, 45.365333557128906, -6.995830535888672, 42.366329193115234, 42.366329193115234, 42.366329193115234, 42.366329193115234, 42.366329193115234, -6.995830535888672, 42.366329193115234, 42.366329193115234, 42.366329193115234, 42.366329193115234, -6.995830535888672, 42.366329193115234, -6.995830535888672, 45.365333557128906, 45.365333557128906, -0.15274810791015625, 45.365333557128906, 42.366329193115234, 42.366329193115234, 42.366329193115234, 42.366329193115234, 42.36632537841797, 42.36632537841797]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [ 7 29]]",0.9140437841415405,28.933332443237305,21.0,"[56.54782485961914, 58.23831558227539, 56.54782485961914, 56.54782485961914, 58.23831558227539, 58.23831558227539, -3.8354275226593018, 56.54782485961914, -3.8354275226593018, 58.23831558227539, 58.23831558227539, 58.23831558227539, 58.23831558227539, -3.8354275226593018, 58.23831558227539, 58.23831558227539, 58.23831558227539, 58.23831558227539, -3.8354275226593018, 58.23831558227539, -3.8354275226593018, 56.54782485961914, 56.54782485961914, 56.54782485961914, 56.54782485961914, 58.23831558227539, 58.23831558227539, 58.23831558227539, 58.23831558227539, 58.23831558227539]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[51  0]
 [33  3]]",0.45470085740089417,26.83333396911621,21.0,"[55.68000793457031, 54.59504699707031, 55.68000793457031, 55.68000793457031, 54.59504699707031, 54.59504699707031, -3.849403142929077, 55.68000793457031, -3.849403142929077, 54.59504699707031, 54.59504699707031, 54.59504699707031, 54.59504699707031, -3.849403142929077, 54.59504699707031, 54.59504699707031, 54.59504699707031, 54.59504699707031, -3.849403142929077, 54.59504699707031, -3.849403142929077, 55.68000793457031, 55.68000793457031, -6.511196136474609, 55.68000793457031, 54.59504699707031, 54.59504699707031, 54.59504699707031, 54.59504699707031, 54.59504699707031]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
