CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 50]
 [36  1]]",0.011363636702299118,133.38888549804688,140.0,"[4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749, 4.19550085067749]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 50]
 [37  0]]",0.0,105.38888549804688,112.0,"[14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960647583007812, 14.960646629333496, 14.960646629333496]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 1 36]]",0.9882001876831055,91.38888549804688,98.0,"[17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328, 17.850605010986328]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 50]
 [ 0 37]]",0.2983871102333069,64.94444274902344,70.0,"[29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.68408203125, 29.684083938598633, 29.684083938598633]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 50]
 [37  0]]",0.0,52.0,56.0,"[32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344, 32.07481384277344]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [37  0]]",0.36496350169181824,39.599998474121094,42.0,"[41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156, 41.880531311035156]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [37  0]]",0.36496350169181824,18.0,14.0,"[45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492, 45.57352828979492]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 50]
 [ 0 37]]",0.2983871102333069,10.181818008422852,14.0,"[50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.7896614074707, 50.78966522216797, 50.78966522216797]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 4 33]]",0.952197790145874,12.25,14.0,"[52.00214385986328, 52.00214385986328, 52.00214385986328, 52.00214385986328, 52.00214385986328, 31.649717330932617, 52.00214385986328, 32.28664779663086, 52.00214385986328, 52.00214385986328, 52.00214385986328, 52.00214385986328, 52.00214385986328, 52.00214385986328, 52.00214385986328, 52.00214385986328, 52.00214385986328, 52.00214385986328, 52.00214385986328, 52.00214385986328, 52.00214385986328, 52.00214385986328, 52.00214385986328, 15.688972473144531, 52.00214385986328, 52.00214385986328, 52.00214385986328, 52.00214385986328, 52.00214385986328, 52.00214385986328, 52.002140045166016, 17.298845291137695]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 50]
 [36  1]]",0.011363636702299118,21.46666717529297,14.0,"[47.964073181152344, 47.964073181152344, 47.964073181152344, 47.964073181152344, 47.964073181152344, 27.139179229736328, 47.964073181152344, 40.373809814453125, 47.964073181152344, 47.964073181152344, 47.964073181152344, 47.964073181152344, 47.964073181152344, 47.964073181152344, 47.964073181152344, 47.964073181152344, 47.964073181152344, 47.964073181152344, 47.964073181152344, 47.964073181152344, 47.964073181152344, 14.004842758178711, 16.469322204589844, 47.964073181152344, 22.346755981445312, 47.964073181152344, 47.964073181152344, 47.964073181152344, 47.964073181152344, 47.964073181152344]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
