CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  0]
 [ 9  1]]",0.5633017420768738,89.5999984741211,98.0,"[10.824739456176758, 10.824739456176758, 10.824739456176758, 19.397441864013672, 10.824739456176758, 10.824739456176758, 10.824739456176758, 10.824739456176758, 10.824739456176758, 10.824739456176758]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 1  9]]",0.9704583883285522,70.0,70.0,"[19.494583129882812, 19.494583129882812, 19.494583129882812, 19.494583129882812, 19.494583129882812, 19.494583129882812, 19.494583129882812, 19.494583129882812, 19.49458122253418]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[ 0 77]
 [ 0 10]]",0.10309278219938278,56.0,56.0,"[24.398134231567383, 24.398134231567383, 24.398134231567383, 24.398134231567383, 24.398134231567383, 24.398134231567383, 24.398134231567383, 24.398134231567383, 24.39813232421875]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[ 0 77]
 [ 9  1]]",0.011363636702299118,34.22222137451172,28.0,"[28.50410270690918, 28.50410270690918, 28.50410270690918, 28.50410270690918, 28.50410270690918, 28.50410270690918, 28.50410270690918, 28.50410270690918, 28.50410270690918]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[ 0 77]
 [10  0]]",0.0,26.44444465637207,28.0,"[31.40947914123535, 31.40947914123535, 31.40947914123535, 31.40947914123535, 31.40947914123535, 31.40947914123535, 31.416669845581055, 31.40947914123535, 31.40947723388672]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[ 0 77]
 [ 0 10]]",0.10309278219938278,26.0,28.0,"[21.499235153198242, 21.499235153198242, 21.499235153198242, 21.499235153198242, 21.499235153198242, 21.499235153198242, 21.499235153198242]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 2  8]]",0.938034176826477,18.0,14.0,"[20.625505447387695, 20.625505447387695, 20.625505447387695, 20.625505447387695, 20.642332077026367, 20.625505447387695, 20.625505447387695]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,11.666666984558105,14.0,"[15.613824844360352, 15.613824844360352, 15.613824844360352, 15.613824844360352, 16.12080955505371, 15.633979797363281]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[ 0 77]
 [ 0 10]]",0.10309278219938278,10.5,14.0,"[18.313905715942383, 18.313905715942383, 18.313905715942383, 18.072839736938477]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[ 0 77]
 [ 0 10]]",0.10309278219938278,7.0,0.0,"[25.464372634887695, 25.30994987487793]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[77  0]
 [10  0]]",0.4695121943950653,42.0,42.0,[45.38719940185547],2022-11-07T00:00:00.000000000,['Georgia']
"[[ 0 77]
 [ 0 10]]",0.10309278219938278,-1,-1,"[[0.5449278354644775], [0.5449278354644775], [0.8276557326316833], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.8084835410118103], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.8180380463600159], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.8014092445373535], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.8324340581893921], [0.5449278354644775], [0.8123998045921326], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.8089355230331421], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.7801267504692078], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.5449278354644775], [0.8907814025878906]]",2022-11-21T00:00:00.000000000,[]
