CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 74]
 [ 1 12]]",0.12121212482452393,134.61538696289062,154.0,"[8.538573265075684, 8.538573265075684, 8.538573265075684, 8.538573265075684, 0.6358450055122375, 8.538573265075684, 8.538573265075684, 8.538573265075684, 8.538573265075684, 8.538573265075684, 8.538573265075684, 8.538573265075684, 8.538573265075684]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[ 0 74]
 [ 0 13]]",0.12999999523162842,131.8333282470703,140.0,"[8.075037002563477, 8.075037002563477, 8.075037002563477, 8.075037002563477, 8.075037002563477, 8.075037002563477, 8.075037002563477, 8.075037002563477, 8.075037002563477, 8.075037002563477, 8.075037002563477, 8.075037002563477]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[ 0 74]
 [12  1]]",0.011363636702299118,117.83333587646484,126.0,"[11.003657341003418, 11.003657341003418, 11.003657341003418, 11.003657341003418, 11.003657341003418, 11.003657341003418, 11.003657341003418, 11.003657341003418, 11.003657341003418, 11.003657341003418, 11.003657341003418, 11.003657341003418]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,89.83333587646484,98.0,"[14.775166511535645, 14.775166511535645, 14.775166511535645, 14.775166511535645, 14.775166511535645, 14.775166511535645, 14.775166511535645, 14.775166511535645, 14.775166511535645, 14.775166511535645, 14.775166511535645, 14.775166511535645]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[ 0 74]
 [13  0]]",0.0,77.0,84.0,"[19.148717880249023, 19.148717880249023, 19.148717880249023, 19.148717880249023, 19.148717880249023, 19.148717880249023, 19.148717880249023, 7.933540344238281, 19.148717880249023, 19.148717880249023, 19.148717880249023, 19.148717880249023]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[ 0 74]
 [13  0]]",0.0,70.0,70.0,"[21.833759307861328, 21.833759307861328, 21.833759307861328, 21.833759307861328, 21.833759307861328, 21.833759307861328, 21.833759307861328, 21.833759307861328, 21.833759307861328, 21.833759307861328, 21.833759307861328]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 1 12]]",0.9766442775726318,56.0,56.0,"[23.09557342529297, 23.09557342529297, 23.09557342529297, 23.09557342529297, 23.09557342529297, 23.09557342529297, 23.09557342529297, 23.09557342529297, 23.09557342529297, 23.09557342529297, 23.09557342529297]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 2 11]]",0.9516666531562805,44.54545593261719,42.0,"[22.59343910217285, 22.59343910217285, 22.59343910217285, 22.59343910217285, 22.59343910217285, 22.59343910217285, 22.59343910217285, 22.59343910217285, 22.59343910217285, 22.59343910217285, 22.59343910217285]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 1 12]]",0.9766442775726318,33.599998474121094,28.0,"[24.287273406982422, 24.287273406982422, 24.287273406982422, 24.287273406982422, 24.287273406982422, 24.287273406982422, 17.179927825927734, 24.287273406982422, 24.287273406982422, 24.287273406982422]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 3 10]]",0.9248488545417786,22.399999618530273,28.0,"[25.709190368652344, 25.709190368652344, 25.709190368652344, 25.709190368652344, 25.709190368652344, -3.949434280395508, -0.7873498201370239, 25.553565979003906, 25.709190368652344, 25.709190368652344]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [11  2]]",0.5987421274185181,12.600000381469727,14.0,"[25.48575210571289, 25.721553802490234, 25.721553802490234, 25.552310943603516, 25.721553802490234, -64.26530456542969, -54.71171569824219, 12.453324317932129, 25.721553802490234, 25.540813446044922]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 1 12]]",0.9766442775726318,7.0,0.0,"[-12.360271453857422, 5.44074821472168, -2.477938413619995, 27.409778594970703, -68.62980651855469, -35.537479400634766, 27.409778594970703, 0.632763147354126]",2023-06-05T00:00:00.000000000,"['Austria', 'Costa Rica', 'France', 'Ireland', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[ 0 74]
 [ 5  8]]",0.08421052992343903,8.399999618530273,14.0,"[-4.146007537841797, 26.117107391357422, -2.736396074295044, 26.117107391357422, -1.3601868152618408]",2023-06-19T00:00:00.000000000,"['France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[ 0 74]
 [ 0 13]]",0.12999999523162842,0.0,0.0,[-6.722456932067871],2023-07-03T00:00:00.000000000,['USA']
"[[ 0 74]
 [ 9  4]]",0.04395604506134987,-1,-1,"[[0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.4350263476371765], [0.5484172701835632], [0.9914773106575012], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.2677730917930603], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.3393978774547577], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.43479010462760925], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.3389800488948822], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.3422550857067108], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.34008413553237915], [0.3390093743801117], [0.5484172701835632], [0.5484172701835632], [0.567488968372345], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.33852869272232056], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632], [0.5484172701835632]]",2023-07-17T00:00:00.000000000,[]
