CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  4]
 [ 0  6]]",0.8623417615890503,84.0,84.0,"[29.422266006469727, 12.913848876953125, 29.422266006469727, 25.914121627807617, 24.95635223388672]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,67.19999694824219,70.0,"[30.86809539794922, 16.140501022338867, 30.86809539794922, 27.738834381103516, 27.50705909729004]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,47.599998474121094,42.0,"[36.49650192260742, 20.64809799194336, 36.49650192260742, 33.257301330566406, 32.55266189575195]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,25.200000762939453,28.0,"[45.01354217529297, 29.113662719726562, 45.01354217529297, 41.50436782836914, 40.561832427978516]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,19.600000381469727,14.0,"[43.69724655151367, 34.49113464355469, 43.69724655151367, 42.87097930908203, 41.193931579589844]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,28.0,28.0,"[64.28614807128906, 44.05021667480469, 64.28614807128906, 59.930259704589844, 58.55489730834961]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,36.400001525878906,42.0,"[65.09314727783203, 47.821922302246094, 65.09314727783203, 60.84415054321289, 59.44038009643555]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,"[-8.162420272827148, 39.0074577331543, 59.861690521240234]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,0.0,0.0,[32.5232048034668],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,0.0,0.0,[27.661636352539062],2021-04-12T00:00:00.000000000,['Panama']
"[[78  3]
 [ 2  4]]",0.7921643853187561,28.0,28.0,[33.30909729003906],2021-04-26T00:00:00.000000000,['Panama']
"[[78  3]
 [ 1  5]]",0.8446428775787354,-1,-1,"[[0.8650552034378052], [0.04387412220239639], [0.04356677830219269], [0.04425467550754547], [0.04356677830219269], [0.04316931962966919], [0.04381146654486656], [0.04387412220239639], [0.8266762495040894], [0.04316931962966919], [0.04413483664393425], [0.04387412220239639], [0.18154838681221008], [0.8572235703468323], [0.04678141325712204], [0.5636383295059204], [0.785649299621582], [0.04339837282896042], [0.043470852077007294], [0.043222006410360336], [0.04387412220239639], [0.4815298318862915], [0.04463183134794235], [0.04387412220239639], [0.044955551624298096], [0.04483312740921974], [0.04454907402396202], [0.045232731848955154], [0.04387412220239639], [0.04357491806149483], [0.04387412220239639], [0.04356677830219269], [0.04387412220239639], [0.04387412220239639], [0.045099303126335144], [0.04398002848029137], [0.04356677830219269], [0.04387412220239639], [0.04416986182332039], [0.04387412220239639], [0.0445755273103714], [0.04356677830219269], [0.044722091406583786], [0.04387412220239639], [0.04451370984315872], [0.04323496297001839], [0.04530603811144829], [0.04387412220239639], [0.04387412220239639], [0.044958632439374924], [0.04311800003051758], [0.04312113672494888], [0.04387412220239639], [0.04387412220239639], [0.04463183134794235], [0.04311800003051758], [0.7859252095222473], [0.04397593066096306], [0.6713213920593262], [0.04316931962966919], [0.04501882195472717], [0.04356677830219269], [0.044380463659763336], [0.0434732623398304], [0.04387412220239639], [0.04356677830219269], [0.04387412220239639], [0.04339837282896042], [0.043666426092386246], [0.04364541918039322], [0.04387412220239639], [0.04387412220239639], [0.043692007660865784], [0.04316931962966919], [0.8261674642562866], [0.043915435671806335], [0.043376512825489044], [0.04304150491952896], [0.04354715347290039], [0.04387412220239639], [0.04413483664393425], [0.04387412220239639], [0.04438045993447304], [0.04480583593249321], [0.04356677830219269], [0.043692007660865784], [0.04344191402196884]]",2021-05-10T00:00:00.000000000,[]
