CF1,f11,MAE1,MAE2,pred,date,countries
"[[46  5]
 [34  2]]",0.3976566791534424,109.86111450195312,119.0,"[0.7688092589378357, 0.7797006964683533, 0.7688092589378357, 1.537330985069275, 0.7727019190788269, 0.7736955881118774, 0.7847253084182739, 0.7661178112030029, 0.7736955881118774, 0.7906328439712524, 0.7887347340583801, 0.7953202724456787, 2.1928858757019043, 0.775371789932251, 0.7688092589378357, 0.7783665657043457, 0.7688092589378357, 0.7634969353675842, 0.7906806468963623, 0.761665403842926, 0.7856040000915527, 0.7688092589378357, 0.7816749811172485, 0.7736955881118774, 0.7736955881118774, 0.7661178112030029, 0.7700625658035278, 0.7736955881118774, 0.7708041071891785, 0.7743496894836426, 0.7657679319381714, 0.7684961557388306, 0.7778149843215942, 0.7736955881118774, 0.7708041071891785, 0.8429747819900513]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[46  5]
 [26 10]]",0.5700621604919434,75.83333587646484,77.0,"[20.939979553222656, 1.9378979206085205, 20.939979553222656, 16.756269454956055, 1.8547757863998413, 1.8665777444839478, 1.997573733329773, 1.7765791416168213, 47.81462097167969, 2.0677356719970703, 2.0451931953430176, 2.1185522079467773, 6.446004867553711, 17.230297088623047, 1.808544397354126, 1.922053575515747, 1.808544397354126, 1.7454514503479004, 2.0683035850524902, 1.7236990928649902, 2.008010149002075, 1.808544397354126, 17.58209800720215, 1.8665777444839478, 47.81462097167969, 13.246798515319824, 1.8234293460845947, 47.81462097167969, 1.8322362899780273, 1.8743462562561035, 1.772423267364502, 4.352517127990723, 1.9155021905899048, 1.8665777444839478, 1.832236409187317, 1.1222565174102783]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[33 18]
 [ 2 34]]",0.77008455991745,45.79999923706055,42.0,"[43.584014892578125, 48.64065170288086, 60.475303649902344, 42.75020217895508, 72.60220336914062, 41.12234115600586, -8.785369873046875, 29.1380672454834, 79.01541900634766, 27.35700798034668, 86.77540588378906, 78.22793579101562, 45.228172302246094, 52.78038787841797, 66.84302520751953, 54.50740051269531, 3.0293049812316895, 63.596458435058594, -4.991052150726318, 54.929500579833984, 30.034788131713867, 35.190879821777344, 62.9166374206543, 3.153776168823242, 79.01541900634766, 42.58486557006836, 34.137367248535156, 79.01541900634766, 49.22228240966797, 40.078208923339844, 58.03892517089844, 40.42088317871094, 25.40011978149414, 75.06615447998047, 33.6887321472168]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[37 14]
 [ 2 34]]",0.8158730268478394,41.588233947753906,21.0,"[66.37552642822266, 71.5889892578125, 91.71976470947266, 28.03180694580078, 109.86978149414062, 62.65366744995117, 155.6621856689453, 33.64949035644531, 119.78150177001953, 42.190757751464844, 131.25430297851562, 118.55252838134766, 80.26581573486328, 101.16082000732422, 74.96159362792969, 5.27249002456665, 96.19718170166016, 126.00481414794922, 83.16114044189453, 46.14748764038086, 53.66893005371094, 95.5857925415039, 5.53007173538208, 119.78150177001953, 64.78425598144531, 42.4875602722168, 119.78150177001953, 74.75679779052734, 61.098392486572266, 87.49109649658203, 61.525779724121094, 39.134681701660156, 113.53376007080078, 45.556968688964844]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[37 14]
 [ 2 34]]",0.8158730268478394,36.235294342041016,28.0,"[64.14111328125, 82.95747375488281, 87.86444854736328, 62.710391998291016, 105.06112670898438, 60.88877868652344, -70.13375854492188, 66.81875610351562, 114.0911865234375, 42.22294998168945, 128.75515747070312, 116.26795959472656, 77.32421875, 96.81495666503906, 99.29551696777344, 7.165516376495361, 92.04022216796875, -45.093257904052734, 79.7935791015625, 45.78494644165039, 52.36042404174805, 91.81532287597656, 7.535604000091553, 114.0911865234375, 62.63178634643555, 74.71451568603516, 114.0911865234375, 72.14787292480469, 59.448795318603516, 91.70110321044922, 59.692169189453125, 38.97410583496094, 108.44485473632812, 50.169437408447266]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[41 10]
 [ 3 33]]",0.8493004441261292,36.85293960571289,35.0,"[53.83130645751953, 61.24378204345703, 72.76911926269531, 36.556556701660156, 86.50507354736328, 51.27006530761719, 121.27889251708984, 33.99488830566406, 93.97268676757812, 36.82964324951172, 103.81810760498047, 94.49111938476562, 64.51301574707031, 79.81732177734375, 64.62415313720703, 8.301224708557129, 75.8624267578125, 99.39388275146484, 66.03679656982422, 39.53472137451172, 44.33024215698242, 76.25236511230469, 8.72723388671875, 93.97268676757812, 52.515113830566406, 40.86007308959961, 93.97268676757812, 60.17995071411133, 50.138206481933594, 70.87504577636719, 50.18747329711914, 33.89601516723633, 89.155029296875, 40.086875915527344]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[36 15]
 [ 2 34]]",0.8044943809509277,30.969696044921875,28.0,"[54.573333740234375, 70.08087921142578, 73.63996887207031, 53.20708084106445, 87.63257598876953, 52.162757873535156, -37.78799057006836, 56.66154098510742, 94.80986022949219, 37.711265563964844, 107.18632507324219, 97.3496322631836, 65.3883056640625, 80.8802719116211, 83.15987396240234, 8.837783813476562, 76.87247467041016, -23.269962310791016, 66.9710464477539, 40.41096496582031, 45.151832580566406, 77.2363510131836, 9.293428421020508, 94.80986022949219, 53.29267883300781, 63.13312911987305, 94.80986022949219, 61.119110107421875, 51.026397705078125, 76.66497039794922, 51.02843475341797, 90.29125213623047, 43.324073791503906]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[39 12]
 [ 3 33]]",0.8267622590065002,54.30303192138672,49.0,"[74.89154815673828, 86.59048461914062, 101.3224868774414, 50.807247161865234, 120.45003509521484, 71.27752685546875, 169.03030395507812, 56.02619552612305, 131.0171356201172, 51.20549392700195, 144.86158752441406, 131.825439453125, 89.81403350830078, 111.10074615478516, 96.40238952636719, 11.118185043334961, 105.5600357055664, 138.50961303710938, 91.8394546508789, 54.959842681884766, 61.572513580322266, 106.22400665283203, 11.72696304321289, 131.0171356201172, 73.02046966552734, 64.65653228759766, 131.0171356201172, 83.70135498046875, 69.7004165649414, 99.04259490966797, 69.75385284423828, 124.14098358154297, 55.651859283447266]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[36 15]
 [ 2 34]]",0.8044943809509277,39.20000076293945,35.0,"[68.274169921875, 75.55414581298828, 91.94218444824219, 35.709877014160156, 103.97591400146484, 65.30047607421875, 47.78718185424805, 118.29743957519531, 47.527427673339844, 117.7457046508789, 113.24872589111328, 81.75172424316406, 64.5621337890625, 11.412408828735352, 89.90766143798828, -59.742103576660156, 83.57735443115234, 50.830116271972656, 56.55486297607422, 96.51447296142578, 11.986862182617188, 118.29743957519531, 66.65130615234375, 55.945396423339844, 118.29743957519531, 69.49173736572266, 63.895591735839844, 80.74299621582031, 63.84980010986328, 48.05006790161133]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[41 10]
 [ 4 32]]",0.8373397588729858,35.233333587646484,35.0,"[53.20140838623047, 59.272796630859375, 70.6366195678711, 36.85223388671875, 83.38514709472656, 50.97972869873047, 37.84364700317383, 90.36701202392578, 37.59327697753906, 99.43688201904297, 91.16206359863281, 63.25347137451172, 77.09522247314453, 10.392507553100586, 73.27291107177734, 95.8646469116211, 64.16439819335938, 40.090415954589844, 44.42383575439453, 74.27682495117188, 10.850945472717285, 90.36701202392578, 51.88568115234375, 43.395179748535156, 90.36701202392578, 59.084022521972656, 49.95998764038086, 67.73786163330078, 49.80970001220703, 40.37517166137695]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
