CF1,f11,MAE1,MAE2,pred,date,countries
"[[70  4]
 [11  2]]",0.5568760633468628,134.61538696289062,154.0,"[3.076418876647949, 4.376135349273682, 2.687462329864502, 3.399047374725342, 6.854144096374512, 2.687462329864502, 3.255859375, 2.861964702606201, 2.5913453102111816, 2.861964702606201, 2.7587027549743652, 2.8853235244750977, 2.861964702606201]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[54 20]
 [ 0 13]]",0.704483687877655,99.16666412353516,112.0,"[23.25740623474121, 24.03970718383789, 34.13676071166992, 38.2015495300293, 39.76262664794922, 24.286664962768555, 73.96267700195312, 22.669279098510742, 73.96267700195312, 34.05215835571289, 23.903329849243164, 73.96267700195312]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[58 16]
 [ 0 13]]",0.7489177584648132,84.0,98.0,"[25.39342498779297, 28.768661499023438, 34.99051284790039, 39.66274642944336, 40.20377731323242, 27.002788543701172, 72.07612609863281, 24.237489700317383, 72.07612609863281, 35.00320053100586, 25.75710678100586, 72.07612609863281]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[61 13]
 [ 0 13]]",0.7851851582527161,82.83333587646484,98.0,"[17.96405792236328, 20.03749656677246, 24.147018432617188, 27.288524627685547, 27.55342674255371, 19.538352966308594, 48.39397048950195, 17.112730026245117, 48.39397048950195, 24.161338806152344, 18.130739212036133, 48.39397048950195]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[58 16]
 [ 0 13]]",0.7489177584648132,59.5,56.0,"[27.424087524414062, 28.66849136352539, 37.16493606567383, 41.90908432006836, 42.499996185302734, 31.078327178955078, 75.10662841796875, 4.05501651763916, 75.10662841796875, 37.17369079589844, 27.745115280151367, 75.10662841796875]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[65  9]
 [ 3 10]]",0.7702465057373047,58.54545593261719,56.0,"[21.10038948059082, 20.843725204467773, 28.392847061157227, 31.88716697692871, 32.51027297973633, 23.686603546142578, 57.65681457519531, 57.65681457519531, 28.38287925720215, 21.3739070892334, 57.65681457519531]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[65  9]
 [ 2 11]]",0.7943262457847595,53.45454406738281,56.0,"[17.699670791625977, 19.91653060913086, 23.6613826751709, 26.612634658813477, 26.91362953186035, 19.64863395690918, 46.80510711669922, 46.80510711669922, 23.67264747619629, 17.910696029663086, 46.80510711669922]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[65  9]
 [ 2 11]]",0.7943262457847595,34.3636360168457,42.0,"[26.670516967773438, 30.11850357055664, 35.96048355102539, 40.52642059326172, 41.04069519042969, 29.74836540222168, 72.10525512695312, 72.10525512695312, 35.97516632080078, 26.995235443115234, 72.10525512695312]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[67  7]
 [ 3 10]]",0.7986111044883728,29.399999618530273,28.0,"[20.775901794433594, 23.17840576171875, 27.409635543823242, 30.81753921508789, 31.05707550048828, 22.903846740722656, -2.330937385559082, 27.432085037231445, 20.987424850463867, 53.389678955078125]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[66  8]
 [ 2 11]]",0.8085387349128723,18.200000762939453,14.0,"[22.517728805541992, 24.414979934692383, 28.627164840698242, 23.52830696105957, 32.40583038330078, 4.118420600891113, -16.80634117126465, 4.365464210510254, 22.586280822753906, 55.527645111083984]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[65  9]
 [ 2 11]]",0.7943262457847595,16.799999237060547,14.0,"[5.211864948272705, 27.728431701660156, 32.63322448730469, 6.362739562988281, 32.38720703125, 1.5177825689315796, 3.5672008991241455, 3.6112236976623535, 24.922119140625, 13.606892585754395]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[65  9]
 [ 1 12]]",0.8172268867492676,7.0,0.0,"[-1.7760405540466309, 2.691892623901367, 4.764286041259766, 24.712860107421875, 2.911871910095215, 3.1910810470581055, 21.58794403076172, -19.576154708862305]",2023-06-05T00:00:00.000000000,"['Austria', 'Costa Rica', 'France', 'Ireland', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[67  7]
 [ 2 11]]",0.8233701586723328,16.799999237060547,14.0,"[14.635190963745117, 36.85332107543945, 9.629935264587402, 28.643505096435547, 3.656874656677246]",2023-06-19T00:00:00.000000000,"['France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[67  7]
 [ 1 12]]",0.8468309640884399,0.0,0.0,[3.389336585998535],2023-07-03T00:00:00.000000000,['USA']
