CF1,f11,MAE1,MAE2,pred,date,countries
"[[27 23]
 [ 0 37]]",0.7320926785469055,133.38888549804688,140.0,"[5.192805290222168, 4.324256896972656, 5.620405673980713, 8.817978858947754, 6.849350452423096, 6.01484489440918, 10.659082412719727, 8.338455200195312, 7.878978729248047, 8.817980766296387, 8.736579895019531, 8.817980766296387, 6.956159591674805, 7.557774543762207, 4.94972038269043, 4.281047344207764, 10.76635456085205, 10.118134498596191, 5.683711051940918, 6.428860664367676, 11.901382446289062, 5.120779514312744, 5.416762351989746, 7.557774543762207, 7.1910624504089355, 6.890084743499756, 8.817980766296387, 6.021070957183838, 8.817978858947754, 7.672573566436768, 7.745474815368652, 6.8176774978637695, 8.817980766296387, 9.461979866027832, 6.913064956665039, 7.672573566436768]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,119.38888549804688,126.0,"[6.798861980438232, 6.3384199142456055, 7.020501136779785, 10.042503356933594, 8.474383354187012, 7.379872798919678, 12.058122634887695, 10.036005973815918, 9.80472183227539, 10.042503356933594, 9.933801651000977, 10.042503356933594, 8.500837326049805, 8.839982032775879, 6.703582286834717, 5.996851921081543, 12.053807258605957, 11.415815353393555, 7.101795673370361, 8.58746337890625, 13.190831184387207, 6.56218957901001, 6.8246049880981445, 8.839982032775879, 8.867405891418457, 8.231789588928223, 10.042503356933594, 7.459903240203857, 10.042503356933594, 8.990456581115723, 9.146197319030762, 8.446632385253906, 10.042503356933594, 10.977093696594238, 8.29080581665039, 8.990457534790039]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,105.38888549804688,112.0,"[6.504197597503662, 5.674377918243408, 6.909012317657471, 10.2244291305542, 8.23733901977539, 7.315338611602783, 12.18458080291748, 9.809125900268555, 9.370953559875488, 10.2244291305542, 10.117508888244629, 10.2244291305542, 8.334281921386719, 8.915573120117188, 6.280266284942627, 5.574550151824951, 12.276219367980957, 11.599370002746582, 6.978727340698242, 7.898340702056885, 13.451491355895996, 6.3957839012146, 6.697327136993408, 8.915573120117188, 8.604654312133789, 8.227469444274902, 10.2244291305542, 7.335538387298584, 10.2244291305542, 9.042391777038574, 9.13408088684082, 8.205044746398926, 10.2244291305542, 10.952622413635254, 8.25821304321289, 9.042391777038574]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,86.33333587646484,84.0,"[9.329177856445312, 7.881089210510254, 10.068214416503906, 15.326299667358398, 12.040745735168457, 10.719708442687988, 18.309568405151367, 14.46477222442627, 13.678255081176758, 15.326300621032715, 15.210930824279785, 15.326300621032715, 12.229218482971191, 13.25693416595459, 8.903350830078125, 7.814426422119141, 18.502649307250977, 17.441049575805664, 10.168638229370117, 11.284451484680176, 20.369386672973633, 9.24164867401123, 9.732544898986816, 13.25693416595459, 12.590741157531738, 12.155413627624512, 15.326300621032715, 10.717325210571289, 15.326299667358398, 13.438921928405762, 13.544439315795898, 11.988160133361816, 15.326300621032715, 16.33226203918457, 12.186668395996094, 13.438921928405762]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,69.19999694824219,70.0,"[12.834107398986816, 10.877392768859863, 13.7985200881958, 21.01156234741211, 16.57098388671875, 14.68828010559082, 25.16490936279297, 19.93020248413086, 18.894058227539062, 21.01156234741211, 20.82784652709961, 21.01156234741211, 16.81186294555664, 18.168800354003906, 12.28587818145752, 10.779927253723145, 25.406810760498047, 23.944541931152344, 13.941340446472168, 15.624003410339355, 27.967182159423828, 12.671490669250488, 13.339142799377441, 18.168800354003906, 17.34186553955078, 16.66265106201172, 21.01156234741211, 14.702381134033203, 21.01156234741211, 18.42779541015625, 18.59231185913086, 21.01156234741211, 22.464542388916016, 16.714519500732422, 18.42779541015625]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,56.0,56.0,"[11.834774017333984, 10.158096313476562, 12.661077499389648, 18.846166610717773, 15.039363861083984, 13.423988342285156, 22.408491134643555, 17.920331954956055, 17.032514572143555, 18.846166610717773, 18.688241958618164, 18.846166610717773, 15.245677947998047, 16.408496856689453, 11.36515998840332, 10.071483612060547, 22.615583419799805, 21.361623764038086, 12.783613204956055, 14.229009628295898, 24.811037063598633, 11.694747924804688, 12.267158508300781, 16.408496856689453, 15.700611114501953, 15.117067337036133, 18.846166610717773, 13.436319351196289, 18.846166610717773, 16.63071632385254, 16.77206802368164, 18.846166610717773, 20.093122482299805, 15.161663055419922, 16.63071632385254]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,41.20000076293945,42.0,"[13.43127155303955, 11.777005195617676, 14.240150451660156, 20.670656204223633, 16.78327178955078, 15.02988338470459, 24.44102668762207, 19.814767837524414, 18.941431045532227, 20.670656204223633, 20.477128982543945, 20.670656204223633, 16.979787826538086, 18.133386611938477, 12.979646682739258, 11.618484497070312, 24.630815505981445, 23.32093048095703, 14.372859954833984, 16.06641960144043, 26.911317825317383, 13.241744041442871, 13.829900741577148, 18.133386611938477, 17.487703323364258, 16.796180725097656, 20.670656204223633, 15.060606002807617, 20.670656204223633, 18.374570846557617, 18.54250717163086, 20.670656204223633, 22.045854568481445, 16.851551055908203, 18.374568939208984]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,27.15151596069336,28.0,"[13.7739896774292, 17.086313247680664, 25.206497192382812, 20.195392608642578, 18.08856201171875, 29.87077522277832, 23.970884323120117, 22.795923233032227, 25.206499099731445, 25.004697799682617, 25.206499099731445, 20.46964454650879, 22.006710052490234, 15.368569374084473, 13.673192977905273, 30.1474666595459, 28.502355575561523, 17.246183395385742, 19.10780906677246, 33.03020095825195, 15.816469192504883, 16.569278717041016, 22.006710052490234, 21.060325622558594, 20.310209274291992, 25.206499099731445, 25.206497192382812, 22.296541213989258, 22.478158950805664, 25.206499099731445, 26.828731536865234, 20.367055892944336, 22.29654312133789]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,17.5,14.0,"[13.301209449768066, 15.473069190979004, 21.403684616088867, 14.93951416015625, 16.198932647705078, 24.928796768188477, 20.69085121154785, 19.92105484008789, 21.403684616088867, 21.20416259765625, 21.403684616088867, 18.037378311157227, 19.061594009399414, 14.372836112976074, 13.1058988571167, 25.08553123474121, 23.873043060302734, 15.599270820617676, 17.298038482666016, 27.18727684020996, 14.556770324707031, 15.094210624694824, 19.061594009399414, 18.53086280822754, 16.817440032958984, 21.403684616088867, 19.29130744934082, 19.461233139038086, 21.403684616088867, 22.728469848632812, 17.88978385925293, 19.291305541992188]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,8.399999618530273,14.0,"[13.271900177001953, 16.287607192993164, 23.433151245117188, 15.339012145996094, 17.17206382751465, 27.48920249938965, 22.26844596862793, 21.198450088500977, 23.43315315246582, 23.276857376098633, 23.43315315246582, 20.619510650634766, 14.713043212890625, 13.232877731323242, 27.751195907592773, 26.308021545410156, 16.424436569213867, 17.924182891845703, 30.28941535949707, 15.165632247924805, 15.833139419555664, 20.619510650634766, 19.72121238708496, 17.864030838012695, 23.433151245117188, 20.8671932220459, 21.01179313659668, 23.43315315246582, 24.803531646728516, 19.16615867614746]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
