CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  0]
 [ 9  1]]",0.5633017420768738,88.19999694824219,98.0,"[0.9047656655311584, 0.853142499923706, 1.0304462909698486, 6.575427532196045, 1.1255073547363281, 0.9443774819374084, 1.0090633630752563, 0.8829471468925476, 0.9022273421287537, 1.303748607635498]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,82.44444274902344,84.0,"[7.47216272354126, 10.850580215454102, 5.5299859046936035, 13.610021591186523, 15.706005096435547, 7.988168716430664, 9.322071075439453, 10.467523574829102, 7.281338691711426]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,66.88888549804688,70.0,"[9.120919227600098, 13.301974296569824, 8.527908325195312, 16.461162567138672, 19.18320083618164, 9.677553176879883, 11.403966903686523, 12.793204307556152, 8.903581619262695]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,56.0,56.0,"[6.705206871032715, 9.385629653930664, 8.667879104614258, 11.459651947021484, 13.181448936462402, 7.076322078704834, 8.170714378356934, 9.066960334777832, 6.560319900512695]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,38.88888931274414,42.0,"[8.805558204650879, 12.665830612182617, 7.845422744750977, 15.518887519836426, 18.06201171875, 9.29224967956543, 10.913397789001465, 12.188480377197266, 8.60502815246582]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,38.0,42.0,"[7.510546684265137, 10.413069725036621, 7.027743816375732, 12.529436111450195, 14.4552640914917, 10.050186157226562, 7.361518383026123]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,24.0,28.0,"[6.2269182205200195, 8.324461936950684, 5.845603942871094, 9.8468599319458, 11.241023063659668, 8.061452865600586, 6.11861515045166]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,16.33333396911621,14.0,"[6.896973609924316, 9.1298828125, 6.103808403015137, 10.747437477111816, 12.233980178833008, 8.849264144897461]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,10.5,0.0,"[6.8760457038879395, 8.838531494140625, 6.202241897583008, 10.280344009399414]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,7.0,0.0,"[8.325448989868164, 6.948731899261475]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,0.0,0.0,[6.79416561126709],2022-11-07T00:00:00.000000000,['Georgia']
"[[71  6]
 [ 1  9]]",0.8365100622177124,-1,-1,"[[0.07963486015796661], [0.07837463915348053], [0.7262784838676453], [0.07651760429143906], [0.6147194504737854], [0.3809601366519928], [0.07868590950965881], [0.07837464660406113], [0.0755191519856453], [0.9020767211914062], [0.09599357843399048], [0.8402445912361145], [0.07499486953020096], [0.07963486015796661], [0.22829528152942657], [0.07645837217569351], [0.07991605252027512], [0.08077684789896011], [0.08040498197078705], [0.07812678813934326], [0.07837463915348053], [0.08091355115175247], [0.07473143935203552], [0.07837463915348053], [0.07324022799730301], [0.07379980385303497], [0.21440596878528595], [0.07199304550886154], [0.07837463915348053], [0.08797048777341843], [0.07837463915348053], [0.07991605252027512], [0.07837463915348053], [0.07837463915348053], [0.6123184561729431], [0.8737110495567322], [0.07991605252027512], [0.07837464660406113], [0.07692666351795197], [0.07837463915348053], [0.07499486953020096], [0.07991605252027512], [0.07431185990571976], [0.07837464660406113], [0.07528524845838547], [0.07845614850521088], [0.9216012358665466], [0.07837463915348053], [0.9437041878700256], [0.07322618365287781], [0.3764530122280121], [0.07560556381940842], [0.07837463915348053], [0.07837463915348053], [0.07473143935203552], [0.3764530122280121], [0.07837830483913422], [0.7994201183319092], [0.07645837217569351], [0.7259422540664673], [0.07295308262109756], [0.07991605252027512], [0.750167191028595], [0.08039264380931854], [0.07837463915348053], [0.07991605252027512], [0.07837463915348053], [0.860344648361206], [0.07941216975450516], [0.07951807230710983], [0.07837464660406113], [0.07837463915348053], [0.0792834609746933], [0.3809601366519928], [0.079110287129879], [0.07817038893699646], [0.08088938891887665], [0.07994189858436584], [0.8895848393440247], [0.07837463915348053], [0.16848281025886536], [0.07837463915348053], [0.07591594755649567], [0.0739252045750618], [0.6147194504737854], [0.0792834609746933], [0.7117940187454224]]",2022-11-21T00:00:00.000000000,[]
