CF1,f11,MAE1,MAE2,pred,date,countries
"[[79  2]
 [ 3  3]]",0.7573898434638977,100.80000305175781,98.0,"[7.8595662117004395, 2.7653613090515137, 7.8595662117004395, 6.907899856567383, 5.916318893432617]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[79  2]
 [ 3  3]]",0.7573898434638977,86.80000305175781,84.0,"[-8.209210395812988, -3.5220696926116943, -8.209210395812988, -7.234444618225098, -6.777840614318848]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[79  2]
 [ 3  3]]",0.7573898434638977,72.80000305175781,70.0,"[5.0323166847229, 2.2676033973693848, 5.032317161560059, 4.460112571716309, 4.216986656188965]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[79  2]
 [ 3  3]]",0.7573898434638977,58.79999923706055,56.0,"[11.970894813537598, 5.675534725189209, 11.970894813537598, 10.571531295776367, 10.483514785766602]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[79  2]
 [ 3  3]]",0.7573898434638977,44.79999923706055,42.0,"[7.564220905303955, 3.637092351913452, 7.564221382141113, 6.693663597106934, 6.6282854080200195]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[79  2]
 [ 3  3]]",0.7573898434638977,30.799999237060547,28.0,"[9.782461166381836, 4.511405944824219, 9.782461166381836, 8.615797996520996, 8.5226469039917]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[79  2]
 [ 3  3]]",0.7573898434638977,16.799999237060547,14.0,"[7.622759819030762, 3.691606044769287, 7.622759819030762, 6.746539115905762, 6.701878070831299]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[79  2]
 [ 2  4]]",0.8209876418113708,14.0,0.0,"[1.3094916343688965, 3.514227867126465, 3.697232723236084]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[78  3]
 [ 0  6]]",0.8905660510063171,28.0,28.0,[4.2845001220703125],2021-03-29T00:00:00.000000000,['Panama']
"[[78  3]
 [ 0  6]]",0.8905660510063171,14.0,14.0,[4.023651599884033],2021-04-12T00:00:00.000000000,['Panama']
"[[78  3]
 [ 0  6]]",0.8905660510063171,0.0,0.0,[5.661237716674805],2021-04-26T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,-1,-1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2021-05-10T00:00:00.000000000,[]
