CF1,f11,MAE1,MAE2,pred,date,countries
"[[47  3]
 [34  3]]",0.42854607105255127,131.8333282470703,140.0,"[6.809243202209473, 5.3301167488098145, 6.6646246910095215, 12.623394966125488, 9.416790008544922, 8.175869941711426, 15.471056938171387, 11.740226745605469, 10.953999519348145, 12.623394966125488, 12.527586936950684, 12.623394966125488, 9.606910705566406, 10.6254301071167, 6.381451606750488, 5.338002681732178, 15.670509338378906, 14.64815616607666, 7.640024185180664, 8.606535911560059, 17.475322723388672, 6.744983196258545, 6.55030632019043, 10.6254301071167, 9.940108299255371, 9.55888843536377, 12.623394966125488, 8.165334701538086, 12.623394966125488, 10.796164512634277, 10.88801097869873, 9.365679740905762, 12.623394966125488, 13.556259155273438, 9.58510684967041, 10.796164512634277]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[47  3]
 [34  3]]",0.42854607105255127,114.72222137451172,112.0,"[8.026662826538086, 6.323306560516357, 8.023073196411133, 14.751466751098633, 11.046799659729004, 9.603250503540039, 18.054065704345703, 13.739646911621094, 12.834468841552734, 14.751466751098633, 14.637706756591797, 14.751466751098633, 11.26510238647461, 12.43860149383545, 7.535084247589111, 6.325745105743408, 18.282432556152344, 17.098487854003906, 8.983880043029785, 10.121231079101562, 20.37125015258789, 7.947990894317627, 7.852612495422363, 12.43860149383545, 11.654182434082031, 11.204643249511719, 14.751466751098633, 9.592805862426758, 14.751466751098633, 12.637212753295898, 12.74557113647461, 10.987712860107422, 14.751466751098633, 15.838924407958984, 11.235871315002441, 12.637213706970215]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[47  3]
 [34  3]]",0.42854607105255127,94.88888549804688,98.0,"[11.41244888305664, 8.969454765319824, 10.053910255432129, 21.01201057434082, 15.717204093933105, 13.66931438446045, 25.71266746520996, 19.552724838256836, 18.254127502441406, 21.012012481689453, 20.854164123535156, 21.012012481689453, 16.031291961669922, 17.71346092224121, 10.705765724182129, 8.983243942260742, 26.042245864868164, 24.354440689086914, 12.784550666809082, 14.37808609008789, 29.021961212158203, 11.306853294372559, 10.097899436950684, 17.71346092224121, 16.58099937438965, 15.952569007873535, 21.012012481689453, 13.651719093322754, 21.01201057434082, 17.99522590637207, 18.146623611450195, 15.632817268371582, 21.012012481689453, 22.55125617980957, 15.995755195617676, 17.99522590637207]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[47  3]
 [34  3]]",0.42854607105255127,78.94444274902344,84.0,"[14.018738746643066, 10.955732345581055, 13.396893501281738, 26.06218147277832, 19.420495986938477, 16.849102020263672, 31.96186065673828, 24.233903884887695, 22.605791091918945, 26.062185287475586, 25.86338996887207, 26.062185287475586, 19.814130783081055, 21.923370361328125, 13.132981300354004, 10.971296310424805, 32.37474060058594, 30.256866455078125, 15.739194869995117, 17.743473052978516, 36.113380432128906, 13.885129928588867, 13.233011245727539, 21.923370361328125, 20.504743576049805, 19.71409034729004, 26.062185287475586, 16.827478408813477, 26.06218147277832, 22.27716064453125, 22.467655181884766, 19.314632415771484, 26.062185287475586, 27.99549674987793, 19.768505096435547, 22.277158737182617]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[45  5]
 [32  5]]",0.4607136845588684,80.0,84.0,"[4.135403156280518, 3.2402451038360596, 4.3386993408203125, 7.678870677947998, 5.448737621307373, 4.96486759185791, 9.421883583068848, 7.148746013641357, 6.673095703125, 7.678871154785156, 7.618006229400635, 7.678871154785156, 5.842626094818115, 6.4595489501953125, 3.877384662628174, 3.239384412765503, 9.541489601135254, 8.917180061340332, 4.638632774353027, 5.244018077850342, 10.642552375793457, 4.092588901519775, 4.190450668334961, 6.4595489501953125, 6.048798084259033, 5.7138471603393555, 7.678871154785156, 4.9599080085754395, 7.678870677947998, 6.564557075500488, 6.622319221496582, 7.678871154785156, 8.254533767700195, 5.825968265533447, 6.564557075500488]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[45  5]
 [32  5]]",0.4607136845588684,61.20000076293945,70.0,"[7.643613815307617, 5.995621204376221, 7.308853626251221, 14.158483505249023, 9.255232810974121, 9.169779777526855, 17.360605239868164, 13.181097984313965, 12.305410385131836, 14.15848445892334, 14.047408103942871, 14.15848445892334, 10.781715393066406, 11.917242050170898, 7.1683268547058105, 5.996016979217529, 17.58116340637207, 16.433744430541992, 8.569864273071289, 9.677433013916016, 19.60515785217285, 7.566117763519287, 7.2232818603515625, 11.917242050170898, 11.159735679626465, 10.293096542358398, 14.15848445892334, 9.160173416137695, 14.158483505249023, 12.109986305236816, 12.215587615966797, 14.15848445892334, 15.214488983154297, 10.752216339111328, 12.109986305236816]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[45  5]
 [32  5]]",0.4607136845588684,47.20000076293945,56.0,"[8.047737121582031, 6.339566230773926, 8.7315092086792, 14.76569938659668, 10.866196632385254, 9.626319885253906, 18.057096481323242, 13.746397972106934, 12.838449478149414, 14.765701293945312, 14.654651641845703, 14.765701293945312, 11.280611038208008, 12.456918716430664, 7.553827285766602, 6.347882270812988, 18.287275314331055, 17.105823516845703, 9.007225036621094, 10.126298904418945, 20.372806549072266, 7.972970962524414, 8.392196655273438, 12.456918716430664, 11.666046142578125, 11.15468978881836, 14.765701293945312, 9.614354133605957, 14.76569938659668, 12.654329299926758, 12.760705947875977, 14.765701293945312, 15.844590187072754, 11.2549409866333, 12.654330253601074]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[44  6]
 [28  9]]",0.5337326526641846,32.24242401123047,28.0,"[8.38957405090332, 10.305441856384277, 19.975191116333008, 14.073970794677734, 12.90031623840332, 24.512269973754883, 18.582250595092773, 17.33716583251953, 19.975191116333008, 19.819528579711914, 19.975191116333008, 13.976943969726562, 16.79679298400879, 10.056062698364258, 8.39449405670166, 24.826690673828125, 23.199790954589844, 12.048945426940918, 12.954562187194824, 27.697301864624023, 10.625349044799805, 10.160411834716797, 16.79679298400879, 15.716734886169434, 14.811927795410156, 19.975191116333008, 19.975191116333008, 17.069503784179688, 17.217933654785156, 19.975191116333008, 21.46782875061035, 15.143606185913086, 17.069503784179688]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[40 10]
 [23 14]]",0.5834904909133911,19.25,14.0,"[10.495607376098633, 11.509513854980469, 25.61038589477539, 13.863489151000977, 15.941790580749512, 26.549909591674805, 22.91305160522461, 20.9368953704834, 25.610387802124023, 25.414953231811523, 25.610387802124023, 15.106510162353516, 19.887224197387695, 12.983083724975586, 10.870595932006836, 27.006567001342773, 25.387094497680664, 14.850210189819336, 15.108861923217773, 35.43134307861328, 13.173063278198242, 11.36717414855957, 21.566936492919922, 17.984350204467773, 16.97527503967285, 25.61038589477539, 21.600337982177734, 19.908161163330078, 25.610387802124023, 24.34619140625, 17.756925582885742, 20.22886085510254]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[40 10]
 [20 17]]",0.6292613744735718,15.866666793823242,14.0,"[4.888950824737549, 4.8553643226623535, 10.895938873291016, 6.264871597290039, 7.212335586547852, 11.309465408325195, 10.146950721740723, 9.509318351745605, 11.381048202514648, 11.297555923461914, 11.381048202514648, 8.562999725341797, 5.882879257202148, 4.964663982391357, 11.456842422485352, 10.816539764404297, 6.793692588806152, 6.413199424743652, 15.651704788208008, 6.110199451446533, 4.816422462463379, 9.204273223876953, 8.559624671936035, 7.504960060119629, 10.895938873291016, 9.279746055603027, 8.702606201171875, 11.381048202514648, 10.548805236816406, 8.372359275817871]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
