CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  0]
 [10  0]]",0.4695121943950653,88.19999694824219,98.0,"[0.364895224571228, 0.3499223589897156, 0.40134793519973755, 6.357008457183838, 0.42891961336135864, 0.3763843774795532, 0.3951459527015686, 0.3585669696331024, 0.3641590476036072, 0.8954720497131348]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[72  5]
 [ 9  1]]",0.5181962251663208,84.0,84.0,"[5.623643398284912, 8.704355239868164, 2.826984405517578, 10.906692504882812, 12.97141170501709, 5.985410690307617, 7.304283618927002, 8.313167572021484, 5.385776519775391]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[72  5]
 [ 9  1]]",0.5181962251663208,70.0,70.0,"[4.814752101898193, 7.639524936676025, 2.267134428024292, 9.666385650634766, 11.556171417236328, 5.149166107177734, 6.355924606323242, 7.281849384307861, 4.448851108551025]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[72  5]
 [ 9  1]]",0.5181962251663208,56.0,56.0,"[3.9020447731018066, 6.118937015533447, 1.8973544836044312, 7.679727554321289, 9.177003860473633, 4.153825759887695, 5.110949993133545, 5.834121227264404, 3.538294553756714]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[72  5]
 [ 9  1]]",0.5181962251663208,42.0,42.0,"[1.8397462368011475, 2.8440937995910645, 1.0208778381347656, 3.6372790336608887, 4.002281665802002, 1.9411379098892212, 2.7083945274353027, 2.709113597869873, 1.6863492727279663]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[69  8]
 [ 6  4]]",0.635765552520752,40.0,42.0,"[0.11233998835086823, -0.024095140397548676, 0.07534263283014297, -0.1885850727558136, 0.15154105424880981, 0.0049141570925712585, 0.10235118120908737]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[69  8]
 [ 6  4]]",0.635765552520752,24.0,28.0,"[8.403414726257324, 12.059538841247559, 4.148331642150879, 13.718324661254883, 13.273924827575684, 11.654757499694824, 7.552652359008789]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[68  9]
 [ 5  5]]",0.6616666913032532,18.66666603088379,14.0,"[6.1229753494262695, 8.65270709991455, 3.0297694206237793, 9.669270515441895, 15.501089096069336, 8.766098976135254]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[68  9]
 [ 3  7]]",0.7286902070045471,10.5,0.0,"[8.120811462402344, 11.767096519470215, 3.908489942550659, 13.946106910705566]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[67 10]
 [ 2  8]]",0.7446184158325195,7.0,0.0,"[9.522420883178711, 7.229793548583984]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[66 11]
 [ 1  9]]",0.7583333253860474,0.0,0.0,[0.7969693541526794],2022-11-07T00:00:00.000000000,['Georgia']
"[[65 12]
 [ 0 10]]",0.7702465057373047,-1,-1,"[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]",2022-11-21T00:00:00.000000000,[]
