CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,17.5,17.5,-1,-1,-1
-1,-1,18.6666666666667,14,-1,-1,-1
-1,-1,22.75,22.75,-1,-1,-1
-1,-1,22.75,21,-1,-1,-1
-1,-1,35,35,-1,-1,-1
-1,-1,28,28,-1,-1,-1
-1,-1,14,7,-1,-1,-1
-1,-1,16.3333333333333,7,-1,-1,-1
-1,-1,16.3333333333333,7,-1,-1,-1
-1,-1,14,7,-1,-1,-1
-1,-1,14,7,-1,-1,-1
-1,-1,9.33333333333333,7,-1,-1,-1
-1,-1,19.25,14,-1,-1,-1
-1,-1,19.6,14,-1,-1,-1
-1,-1,25.6666666666667,21,-1,-1,-1
-1,-1,9.8,7,-1,-1,-1
-1,-1,7,7,-1,-1,-1
-1,-1,87.5,28,-1,-1,-1
-1,-1,28,14,-1,-1,-1
-1,-1,151.666666666667,133,-1,-1,-1
-1,-1,74.2,28,-1,-1,-1
-1,-1,203,168,-1,-1,-1
-1,-1,322,364,-1,-1,-1
-1,-1,462,14,-1,-1,-1
-1,-1,33.6,0,-1,-1,-1
-1,-1,137.2,112,-1,-1,-1
-1,-1,36.1666666666667,14,-1,-1,-1
-1,-1,121.8,70,-1,-1,-1
-1,-1,70,70,-1,-1,-1
-1,-1,72.8,70,-1,-1,-1
-1,-1,16.3333333333333,7,-1,-1,-1
-1,-1,166.833333333333,77,-1,-1,-1
-1,-1,18,14,-1,-1,-1
-1,-1,112,70,-1,-1,-1
-1,-1,0,0,-1,-1,-1
-1,-1,231,182,-1,-1,-1
-1,-1,0,0,-1,-1,-1
-1,-1,0,0,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
