CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,43.75,35,-1,-1,-1
-1,-1,30.3333333333333,28,-1,-1,-1
-1,-1,30.3333333333333,28,-1,-1,-1
-1,-1,25.6666666666667,28,-1,-1,-1
-1,-1,23.3333333333333,28,-1,-1,-1
-1,-1,28,28,-1,-1,-1
-1,-1,28,28,-1,-1,-1
-1,-1,28,28,-1,-1,-1
-1,-1,84,84,-1,-1,-1
-1,-1,186.666666666667,14,-1,-1,-1
-1,-1,219.333333333333,199.5,-1,-1,-1
-1,-1,1228.5,1078,-1,-1,-1
-1,-1,519.166666666667,455,-1,-1,-1
-1,-1,722.166666666667,637,-1,-1,-1
-1,-1,938,826,-1,-1,-1
-1,-1,784,658,-1,-1,-1
-1,-1,1506.16666666667,1323,-1,-1,-1
-1,-1,1555.4,1176,-1,-1,-1
-1,-1,252,259,-1,-1,-1
-1,-1,21,21,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,9.33333333333333,14,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
