CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,59.3157894736842,14,-1,-1,-1
-1,-1,100.947368421053,14,-1,-1,-1
-1,-1,28.35,14,-1,-1,-1
-1,-1,250.782608695652,168,-1,-1,-1
-1,-1,602.28,266,-1,-1,-1
-1,-1,247,70,-1,-1,-1
-1,-1,185.5,94.5,-1,-1,-1
-1,-1,241,154,-1,-1,-1
-1,-1,437.652173913043,266,-1,-1,-1
-1,-1,141.590909090909,66.5,-1,-1,-1
-1,-1,150.5,35,-1,-1,-1
-1,-1,109.666666666667,56,-1,-1,-1
-1,-1,115.5,42,-1,-1,-1
-1,-1,180.526315789474,70,-1,-1,-1
-1,-1,109.2,42,-1,-1,-1
-1,-1,98,0,-1,-1,-1
-1,-1,0,0,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
