CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,11.6666666666667,14,-1,-1,-1
-1,-1,10.8181818181818,14,-1,-1,-1
-1,-1,11.2,14,-1,-1,-1
-1,-1,20.0869565217391,14,-1,-1,-1
-1,-1,23.9166666666667,14,-1,-1,-1
-1,-1,110.95,42,-1,-1,-1
-1,-1,92.6666666666667,42,-1,-1,-1
-1,-1,26.1739130434783,14,-1,-1,-1
-1,-1,66.5,35,-1,-1,-1
-1,-1,69.6666666666667,42,-1,-1,-1
-1,-1,60.9,28,-1,-1,-1
-1,-1,157.0625,77,-1,-1,-1
-1,-1,32.8461538461538,14,-1,-1,-1
-1,-1,38.5,17.5,-1,-1,-1
-1,-1,46,14,-1,-1,-1
-1,-1,63,42,-1,-1,-1
-1,-1,51.8,49,-1,-1,-1
-1,-1,37.3333333333333,28,-1,-1,-1
-1,-1,26.25,24.5,-1,-1,-1
-1,-1,10.5,14,-1,-1,-1
-1,-1,0,0,-1,-1,-1
