CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,136.5,136.5,-1,-1,-1
-1,-1,136.5,136.5,-1,-1,-1
-1,-1,136.5,136.5,-1,-1,-1
-1,-1,143.5,143.5,-1,-1,-1
-1,-1,189,189,-1,-1,-1
-1,-1,91,98,-1,-1,-1
-1,-1,85.4,77,-1,-1,-1
-1,-1,43.4,42,-1,-1,-1
-1,-1,28,28,-1,-1,-1
-1,-1,66.5,21,-1,-1,-1
-1,-1,28,21,-1,-1,-1
-1,-1,35,28,-1,-1,-1
-1,-1,161,161,-1,-1,-1
-1,-1,56,56,-1,-1,-1
-1,-1,101.5,56,-1,-1,-1
-1,-1,147,133,-1,-1,-1
-1,-1,0,0,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
