CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,184.041666666667,42,-1,-1,-1
-1,-1,175,38.5,-1,-1,-1
-1,-1,175,38.5,-1,-1,-1
-1,-1,164.230769230769,35,-1,-1,-1
-1,-1,162.076923076923,35,-1,-1,-1
-1,-1,162.076923076923,35,-1,-1,-1
-1,-1,162.076923076923,35,-1,-1,-1
-1,-1,151,31.5,-1,-1,-1
-1,-1,151,31.5,-1,-1,-1
-1,-1,148.5,28,-1,-1,-1
-1,-1,148.5,28,-1,-1,-1
-1,-1,136.266666666667,21,-1,-1,-1
-1,-1,136.266666666667,21,-1,-1,-1
-1,-1,134.866666666667,14,-1,-1,-1
-1,-1,133.933333333333,14,-1,-1,-1
-1,-1,124.6875,14,-1,-1,-1
-1,-1,144.117647058824,21,-1,-1,-1
-1,-1,138.6,28,-1,-1,-1
-1,-1,116.529411764706,14,-1,-1,-1
-1,-1,144.666666666667,28,-1,-1,-1
-1,-1,113.555555555556,10.5,-1,-1,-1
-1,-1,247.692307692308,17.5,-1,-1,-1
-1,-1,113.166666666667,7,-1,-1,-1
-1,-1,356.805555555556,17.5,-1,-1,-1
-1,-1,240.666666666667,0,-1,-1,-1
-1,-1,661.5,238,-1,-1,-1
-1,-1,178.666666666667,7,-1,-1,-1
-1,-1,475.815789473684,42,-1,-1,-1
-1,-1,395.666666666667,0,-1,-1,-1
-1,-1,592.052631578947,28,-1,-1,-1
-1,-1,429.333333333333,14,-1,-1,-1
-1,-1,487.236842105263,14,-1,-1,-1
-1,-1,424.666666666667,7,-1,-1,-1
-1,-1,583.527777777778,84,-1,-1,-1
-1,-1,273,3.5,-1,-1,-1
-1,-1,450.1875,3.5,-1,-1,-1
-1,-1,74.9411764705882,0,-1,-1,-1
-1,-1,260.75,0,-1,-1,-1
-1,-1,2.8,0,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
