CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,23.3333333333333,28,-1,-1,-1
-1,-1,23.3333333333333,28,-1,-1,-1
-1,-1,21,21,-1,-1,-1
-1,-1,56,49,-1,-1,-1
-1,-1,49,35,-1,-1,-1
-1,-1,21,21,-1,-1,-1
-1,-1,32.6666666666667,42,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,56,56,-1,-1,-1
-1,-1,56,56,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
