CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,90,84,-1,-1,-1
-1,-1,90,84,-1,-1,-1
-1,-1,75.25,52.5,-1,-1,-1
-1,-1,77.875,42,-1,-1,-1
-1,-1,85.4,84,-1,-1,-1
-1,-1,85.4,84,-1,-1,-1
-1,-1,85.4,84,-1,-1,-1
-1,-1,54.8333333333333,49,-1,-1,-1
-1,-1,52.8888888888889,42,-1,-1,-1
-1,-1,49.7,42,-1,-1,-1
-1,-1,53.6666666666667,14,-1,-1,-1
-1,-1,38.5,21,-1,-1,-1
-1,-1,45.5,28,-1,-1,-1
-1,-1,51.3333333333333,42,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,0,0,-1,-1,-1
-1,-1,0,0,-1,-1,-1
-1,-1,56,56,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
