CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,137.9,171.5,-1,-1,-1
-1,-1,130.9,147,-1,-1,-1
-1,-1,130.9,147,-1,-1,-1
-1,-1,133.777777777778,168,-1,-1,-1
-1,-1,133.777777777778,168,-1,-1,-1
-1,-1,134.555555555556,168,-1,-1,-1
-1,-1,132.222222222222,154,-1,-1,-1
-1,-1,165.2,105,-1,-1,-1
-1,-1,173.6,147,-1,-1,-1
-1,-1,442.166666666667,217,-1,-1,-1
-1,-1,1471.61538461538,770,-1,-1,-1
-1,-1,1358,1361.5,-1,-1,-1
-1,-1,835.916666666667,581,-1,-1,-1
-1,-1,1088.23076923077,784,-1,-1,-1
-1,-1,1044.75,770,-1,-1,-1
-1,-1,977.846153846154,770,-1,-1,-1
-1,-1,560,287,-1,-1,-1
-1,-1,588,532,-1,-1,-1
-1,-1,231.538461538462,28,-1,-1,-1
-1,-1,26.9230769230769,28,-1,-1,-1
-1,-1,19.5,14,-1,-1,-1
-1,-1,15.9090909090909,7,-1,-1,-1
-1,-1,7,0,-1,-1,-1
-1,-1,7,7,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
