CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,23.3333333333333,21,-1,-1,-1
-1,-1,24.1818181818182,14,-1,-1,-1
-1,-1,17.1111111111111,14,-1,-1,-1
-1,-1,20.3636363636364,14,-1,-1,-1
-1,-1,23.5454545454545,14,-1,-1,-1
-1,-1,21.5833333333333,14,-1,-1,-1
-1,-1,14.7,14,-1,-1,-1
-1,-1,8,14,-1,-1,-1
-1,-1,7,7,-1,-1,-1
-1,-1,8.75,7,-1,-1,-1
-1,-1,4.66666666666667,0,-1,-1,-1
-1,-1,8.75,7,-1,-1,-1
-1,-1,3.5,0,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,0,0,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
