CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,210,42,-1,-1,-1
-1,-1,183.2,14,-1,-1,-1
-1,-1,183.2,14,-1,-1,-1
-1,-1,183.2,14,-1,-1,-1
-1,-1,182.4,14,-1,-1,-1
-1,-1,182.823529411765,14,-1,-1,-1
-1,-1,187.30303030303,14,-1,-1,-1
-1,-1,179,14,-1,-1,-1
-1,-1,180.2,14,-1,-1,-1
-1,-1,27.5625,14,-1,-1,-1
-1,-1,33.8709677419355,14,-1,-1,-1
-1,-1,32.1176470588235,7,-1,-1,-1
-1,-1,47.1935483870968,14,-1,-1,-1
-1,-1,32.5862068965517,7,-1,-1,-1
-1,-1,27.25,0,-1,-1,-1
-1,-1,16.8518518518519,0,-1,-1,-1
-1,-1,6.69565217391304,0,-1,-1,-1
-1,-1,5.6,0,-1,-1,-1
-1,-1,7.875,3.5,-1,-1,-1
-1,-1,14,7,-1,-1,-1
-1,-1,30.3333333333333,21,-1,-1,-1
-1,-1,49,49,-1,-1,-1
-1,-1,9.33333333333333,14,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
