CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,216.5625,28,-1,-1,-1
-1,-1,39.7659574468085,0,-1,-1,-1
-1,-1,44.4285714285714,0,-1,-1,-1
-1,-1,44.4285714285714,0,-1,-1,-1
-1,-1,44.1428571428571,0,-1,-1,-1
-1,-1,39.375,0,-1,-1,-1
-1,-1,30.0416666666667,0,-1,-1,-1
-1,-1,16.6808510638298,0,-1,-1,-1
-1,-1,10.5744680851064,0,-1,-1,-1
-1,-1,10.3478260869565,0,-1,-1,-1
-1,-1,399,0,-1,-1,-1
-1,-1,252.170731707317,0,-1,-1,-1
-1,-1,10.3703703703704,0,-1,-1,-1
-1,-1,11.7894736842105,0,-1,-1,-1
-1,-1,32.2,3.5,-1,-1,-1
-1,-1,56,56,-1,-1,-1
-1,-1,42,42,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
