CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,35,35,-1,-1,-1
-1,-1,42,42,-1,-1,-1
-1,-1,70,70,-1,-1,-1
-1,-1,56,56,-1,-1,-1
-1,-1,56,56,-1,-1,-1
-1,-1,42,42,-1,-1,-1
-1,-1,42,42,-1,-1,-1
-1,-1,49,49,-1,-1,-1
-1,-1,49,49,-1,-1,-1
-1,-1,49,49,-1,-1,-1
-1,-1,49,49,-1,-1,-1
-1,-1,49,49,-1,-1,-1
-1,-1,49,49,-1,-1,-1
-1,-1,49,49,-1,-1,-1
-1,-1,49,49,-1,-1,-1
-1,-1,70,70,-1,-1,-1
-1,-1,49,49,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,49,49,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
