CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,11.55,7,-1,-1,-1
-1,-1,9.1,0,-1,-1,-1
-1,-1,9.1,0,-1,-1,-1
-1,-1,8.3125,0,-1,-1,-1
-1,-1,92.1052631578947,0,-1,-1,-1
-1,-1,422.947368421053,84,-1,-1,-1
-1,-1,372.05,126,-1,-1,-1
-1,-1,376.666666666667,98,-1,-1,-1
-1,-1,289.578947368421,42,-1,-1,-1
-1,-1,114.947368421053,14,-1,-1,-1
-1,-1,211.333333333333,70,-1,-1,-1
-1,-1,204.4,84,-1,-1,-1
-1,-1,170.882352941176,28,-1,-1,-1
-1,-1,271.352941176471,42,-1,-1,-1
-1,-1,75.4444444444444,28,-1,-1,-1
-1,-1,57.5555555555556,21,-1,-1,-1
-1,-1,71.6470588235294,28,-1,-1,-1
-1,-1,63.8235294117647,21,-1,-1,-1
-1,-1,60.9411764705882,28,-1,-1,-1
-1,-1,80.7333333333333,21,-1,-1,-1
-1,-1,129.5,28,-1,-1,-1
-1,-1,132.416666666667,42,-1,-1,-1
-1,-1,79.3333333333333,0,-1,-1,-1
-1,-1,26,28,-1,-1,-1
-1,-1,9.1,3.5,-1,-1,-1
-1,-1,5.25,3.5,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,10.5,10.5,-1,-1,-1
-1,-1,10.5,10.5,-1,-1,-1
-1,-1,10.5,10.5,-1,-1,-1
-1,-1,10.5,10.5,-1,-1,-1
-1,-1,10.5,10.5,-1,-1,-1
-1,-1,10.5,10.5,-1,-1,-1
-1,-1,10.5,10.5,-1,-1,-1
-1,-1,0,0,-1,-1,-1
