CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,77,77,-1,-1,-1
-1,-1,77,77,-1,-1,-1
-1,-1,77,77,-1,-1,-1
-1,-1,77,77,-1,-1,-1
-1,-1,77,77,-1,-1,-1
-1,-1,77,77,-1,-1,-1
-1,-1,77,77,-1,-1,-1
-1,-1,84,84,-1,-1,-1
-1,-1,84,84,-1,-1,-1
-1,-1,161,161,-1,-1,-1
-1,-1,217,217,-1,-1,-1
-1,-1,129.5,129.5,-1,-1,-1
-1,-1,129.5,129.5,-1,-1,-1
-1,-1,129.5,129.5,-1,-1,-1
-1,-1,129.5,129.5,-1,-1,-1
-1,-1,144.666666666667,133,-1,-1,-1
-1,-1,129.5,129.5,-1,-1,-1
-1,-1,129.5,129.5,-1,-1,-1
-1,-1,108.5,108.5,-1,-1,-1
-1,-1,84,70,-1,-1,-1
-1,-1,168,168,-1,-1,-1
-1,-1,21,21,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
