CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,9.8,7,-1,-1,-1
-1,-1,9.8,7,-1,-1,-1
-1,-1,9.8,7,-1,-1,-1
-1,-1,35.4666666666667,28,-1,-1,-1
-1,-1,54.6875,28,-1,-1,-1
-1,-1,43.8666666666667,28,-1,-1,-1
-1,-1,50.6153846153846,35,-1,-1,-1
-1,-1,171,42,-1,-1,-1
-1,-1,331.8,217,-1,-1,-1
-1,-1,143,49,-1,-1,-1
-1,-1,144,49,-1,-1,-1
-1,-1,140,84,-1,-1,-1
-1,-1,94,66.5,-1,-1,-1
-1,-1,162,112,-1,-1,-1
-1,-1,91.5833333333333,66.5,-1,-1,-1
-1,-1,11.6666666666667,10.5,-1,-1,-1
-1,-1,0,0,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
