CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,198.210526315789,210,-1,-1,-1
-1,-1,126.35,63,-1,-1,-1
-1,-1,126.35,63,-1,-1,-1
-1,-1,124.95,52.5,-1,-1,-1
-1,-1,105.368421052632,42,-1,-1,-1
-1,-1,17.6842105263158,0,-1,-1,-1
-1,-1,19.6875,0,-1,-1,-1
-1,-1,67.6666666666667,21,-1,-1,-1
-1,-1,43,28,-1,-1,-1
-1,-1,65.3333333333333,28,-1,-1,-1
-1,-1,25,21,-1,-1,-1
-1,-1,29.75,28,-1,-1,-1
-1,-1,134.4,21,-1,-1,-1
-1,-1,371,371,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
