CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,401.1875,80.5,-1,-1,-1
-1,-1,250.764705882353,70,-1,-1,-1
-1,-1,424.666666666667,84,-1,-1,-1
-1,-1,354.565217391304,70,-1,-1,-1
-1,-1,330.909090909091,42,-1,-1,-1
-1,-1,152.95,28,-1,-1,-1
-1,-1,166.055555555556,24.5,-1,-1,-1
-1,-1,203.35,28,-1,-1,-1
-1,-1,328.333333333333,70,-1,-1,-1
-1,-1,301.466666666667,49,-1,-1,-1
-1,-1,336.875,66.5,-1,-1,-1
-1,-1,414.75,77,-1,-1,-1
-1,-1,379.866666666667,56,-1,-1,-1
-1,-1,457,157.5,-1,-1,-1
-1,-1,333.9,77,-1,-1,-1
-1,-1,928,154,-1,-1,-1
-1,-1,655,756,-1,-1,-1
-1,-1,994,1330,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
