CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,127.944444444444,35,-1,-1,-1
-1,-1,85.4736842105263,14,-1,-1,-1
-1,-1,123.083333333333,28,-1,-1,-1
-1,-1,116.869565217391,14,-1,-1,-1
-1,-1,124.25,14,-1,-1,-1
-1,-1,83.0454545454545,0,-1,-1,-1
-1,-1,128.863636363636,7,-1,-1,-1
-1,-1,90.6818181818182,0,-1,-1,-1
-1,-1,146.333333333333,42,-1,-1,-1
-1,-1,125.611111111111,49,-1,-1,-1
-1,-1,178.705882352941,42,-1,-1,-1
-1,-1,137.529411764706,28,-1,-1,-1
-1,-1,144.941176470588,14,-1,-1,-1
-1,-1,103.6875,14,-1,-1,-1
-1,-1,680.866666666667,7,-1,-1,-1
-1,-1,102.666666666667,7,-1,-1,-1
-1,-1,80.5,14,-1,-1,-1
-1,-1,101.818181818182,14,-1,-1,-1
-1,-1,107.8,14,-1,-1,-1
-1,-1,7,7,-1,-1,-1
