CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,534.058823529412,224,-1,-1,-1
-1,-1,427.411764705882,224,-1,-1,-1
-1,-1,427.411764705882,224,-1,-1,-1
-1,-1,427.411764705882,224,-1,-1,-1
-1,-1,418.444444444444,245,-1,-1,-1
-1,-1,646.578947368421,224,-1,-1,-1
-1,-1,864.705882352941,14,-1,-1,-1
-1,-1,897.4,266,-1,-1,-1
-1,-1,232.75,245,-1,-1,-1
-1,-1,223.416666666667,42,-1,-1,-1
-1,-1,132.363636363636,98,-1,-1,-1
-1,-1,90.2222222222222,14,-1,-1,-1
-1,-1,131.6,77,-1,-1,-1
-1,-1,0,0,-1,-1,-1
