CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,51.1,21,-1,-1,-1
-1,-1,51.1,21,-1,-1,-1
-1,-1,52.8181818181818,28,-1,-1,-1
-1,-1,51.9166666666667,21,-1,-1,-1
-1,-1,88.6666666666667,17.5,-1,-1,-1
-1,-1,79.8823529411765,14,-1,-1,-1
-1,-1,58.8823529411765,14,-1,-1,-1
-1,-1,71,24.5,-1,-1,-1
-1,-1,91.4117647058823,56,-1,-1,-1
-1,-1,73.5,14,-1,-1,-1
-1,-1,71.8421052631579,14,-1,-1,-1
-1,-1,64.4,42,-1,-1,-1
-1,-1,37.8,14,-1,-1,-1
-1,-1,70,14,-1,-1,-1
-1,-1,35,7,-1,-1,-1
-1,-1,52.5,49,-1,-1,-1
-1,-1,112,112,-1,-1,-1
-1,-1,42,42,-1,-1,-1
-1,-1,42,42,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
