CF1,f11,MAE1,MAE2,pred,date,countries
"[[50  1]
 [34  2]]",0.4216524362564087,109.86111450195312,119.0,"[7.129505634307861, 8.331888198852539, 7.129505634307861, 3.8306703567504883, 7.559241771697998, 7.668944835662842, 8.886595726013184, 6.832377910614014, 7.668944835662842, 9.538774490356445, 9.329233169555664, 10.011130332946777, 5.41315221786499, 7.853993892669678, 7.129505634307861, 8.184611320495605, 7.129505634307861, 6.543036460876465, 9.54405403137207, 6.340839862823486, 8.98360538482666, 7.129505634307861, 8.549845695495605, 7.668944835662842, 7.668944835662842, 6.832377910614014, 7.2678656578063965, 7.668944835662842, 7.349730968475342, 7.74115514755249, 6.793748378753662, 7.094938278198242, 8.123713493347168, 7.668944835662842, 7.349730968475342, 5.9669952392578125]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[47  4]
 [26 10]]",0.5790322422981262,63.38888931274414,63.0,"[6.317166805267334, 36.639591217041016, 6.317166805267334, 6.281193733215332, 32.79847717285156, 33.34384536743164, 39.39723587036133, 29.184968948364258, 8.627010345458984, 42.63945388793945, 41.59775161743164, 44.987701416015625, 8.32850456237793, 6.7597270011901855, 30.66209602355957, 35.907413482666016, 30.66209602355957, 27.746545791625977, 42.66569900512695, 26.74135398864746, 39.8795051574707, 30.66209602355957, 12.521211624145508, 33.343849182128906, 8.627010345458984, 6.104926586151123, 31.34993553161621, 8.627010345458984, 31.75691795349121, 33.70283126831055, 28.9929256439209, 22.774612426757812, 35.604671478271484, 33.343849182128906, 31.75691795349121, 24.05360984802246]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,76.19999694824219,84.0,"[9.537571907043457, 10.687454223632812, 10.500530242919922, 9.023908615112305, 11.505637168884277, 9.789063453674316, 14.19131088256836, 8.558089256286621, 11.96777629852295, 13.837701797485352, 13.516485214233398, 13.543665885925293, 11.5331449508667, 10.522648811340332, 10.881406784057617, 10.921453475952148, 37.09436798095703, 10.307060241699219, 13.5035400390625, 9.654930114746094, 12.924790382385254, 9.104193687438965, 11.645648002624512, 40.29703140258789, 11.96777629852295, 9.251176834106445, 9.12596321105957, 11.96777629852295, 10.067397117614746, 9.794198989868164, 10.138412475585938, 9.34861946105957, 8.715584754943848, 11.518484115600586, 8.872335433959961]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[37 14]
 [ 2 34]]",0.8158730268478394,60.52941131591797,63.0,"[11.761993408203125, 14.2746000289917, 14.588241577148438, 11.433087348937988, 16.732067108154297, 11.490447998046875, 22.181438446044922, 12.009820938110352, 17.845685958862305, 11.956076622009277, 19.958080291748047, 18.686195373535156, 13.496358871459961, 15.647446632385254, 16.190540313720703, 36.981773376464844, 14.949593544006348, 19.031591415405273, 13.439775466918945, 11.677578926086426, 10.351415634155273, 15.381525039672852, 40.082923889160156, 17.845685958862305, 11.51158332824707, 13.049897193908691, 17.845685958862305, 12.764440536499023, 11.33536434173584, 14.967046737670898, 11.217938423156738, 8.983382225036621, 17.088632583618164, 10.04067611694336]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[35 16]
 [ 2 34]]",0.7930760979652405,56.82352828979492,56.0,"[13.17230224609375, 15.869486808776855, 16.062549591064453, 12.7600736618042, 18.296981811523438, 12.952828407287598, 24.007389068603516, 13.39367389678955, 19.451976776123047, 10.60231876373291, 21.787982940673828, 20.496959686279297, 15.02413558959961, 17.14573860168457, 17.811063766479492, 26.881855010986328, 16.36396026611328, 20.86711311340332, 14.802957534790039, 11.028782844543457, 11.72978401184082, 17.027090072631836, 28.933387756347656, 19.451976776123047, 12.884153366088867, 14.504303932189941, 19.451976776123047, 14.215643882751465, 12.802026748657227, 16.409378051757812, 12.612196922302246, 10.438075065612793, 18.637752532958984, 11.388239860534668]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[37 14]
 [ 2 34]]",0.8158730268478394,49.20588302612305,49.0,"[13.927993774414062, 16.711395263671875, 16.956707000732422, 13.521158218383789, 19.282821655273438, 13.678712844848633, 25.219331741333008, 14.170598983764648, 20.489227294921875, 9.390869140625, 22.877769470214844, 21.499330520629883, 15.842636108398438, 18.091794967651367, 18.751258850097656, 28.750993728637695, 17.293535232543945, 21.90509796142578, 15.664979934692383, 10.305246353149414, 12.416366577148438, 17.916662216186523, 30.829383850097656, 20.489227294921875, 13.63666820526123, 15.31886100769043, 20.489227294921875, 15.013443946838379, 13.518104553222656, 17.332162857055664, 13.342290878295898, 11.027215957641602, 19.647411346435547, 12.066336631774902]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,43.69696807861328,42.0,"[16.270328521728516, 19.305070877075195, 19.161865234375, 15.71529769897461, 21.476768493652344, 16.16019058227539, 27.419038772583008, 16.431522369384766, 22.64674949645996, 10.12030029296875, 25.30217742919922, 24.232479095458984, 18.26996421813965, 20.245540618896484, 21.11952018737793, 25.609210968017578, 19.344436645507812, 24.43011474609375, 17.74172019958496, 11.470134735107422, 14.827165603637695, 20.413753509521484, 27.33161735534668, 22.64674949645996, 15.921772003173828, 17.63099479675293, 22.64674949645996, 17.35881233215332, 16.023971557617188, 19.440736770629883, 15.732002258300781, 21.773344039916992, 14.481424331665039]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,36.48484802246094,35.0,"[15.446571350097656, 16.62691307067871, 17.546232223510742, 15.041679382324219, 19.233909606933594, 15.368026733398438, 23.581363677978516, 13.558557510375977, 20.08942413330078, 5.750054836273193, 21.75721549987793, 21.023344039916992, 16.90050506591797, 18.333131790161133, 17.282094955444336, 28.528512954711914, 17.677249908447266, 21.39866065979004, 16.512916564941406, 7.420961856842041, 14.39863395690918, 18.459930419921875, 30.833267211914062, 20.08942413330078, 15.192684173583984, 14.361974716186523, 20.08942413330078, 16.237545013427734, 15.269304275512695, 17.094289779663086, 15.036190032958984, 19.450050354003906, 14.119186401367188]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,31.266666412353516,28.0,"[19.53681755065918, 21.069509506225586, 22.797452926635742, 19.044103622436523, 25.360952377319336, 19.310440063476562, 16.60000991821289, 26.64246368408203, 6.910046577453613, 28.931514739990234, 27.59274673461914, 21.654468536376953, 24.01945686340332, 28.730205535888672, 23.143278121948242, 28.312721252441406, 21.345417022705078, 8.426939964294434, 17.90943717956543, 23.941478729248047, 30.97774887084961, 26.64246368408203, 19.20005226135254, 17.7717342376709, 26.64246368408203, 20.75585174560547, 19.14315414428711, 22.186412811279297, 18.90357208251953, 17.515459060668945]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,26.366666793823242,21.0,"[17.357297897338867, 18.522775650024414, 20.405487060546875, 17.053421020507812, 22.682025909423828, 17.025402069091797, 14.672356605529785, 23.879714965820312, 5.703616142272949, 25.630386352539062, 24.224117279052734, 19.17544937133789, 21.547874450683594, 33.2681884765625, 20.83255386352539, 25.023094177246094, 19.223892211914062, 6.6062517166137695, 15.83594799041748, 21.15831756591797, 35.610687255859375, 23.879714965820312, 17.108718872070312, 15.671414375305176, 23.879714965820312, 18.416656494140625, 16.852916717529297, 19.88498306274414, 16.772367477416992, 15.51608657836914]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
