CF1,f11,MAE1,MAE2,pred,date,countries
"[[70  4]
 [11  2]]",0.5568760633468628,134.61538696289062,154.0,"[2.3472161293029785, 5.102635383605957, 2.150847911834717, 2.5100979804992676, 7.779607772827148, 2.150847911834717, 2.4378085136413574, 2.2389469146728516, 2.102322578430176, 2.2389469146728516, 2.186814308166504, 2.250739812850952, 2.2389469146728516]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[59 15]
 [ 0 13]]",0.7606821656227112,128.3333282470703,140.0,"[8.042341232299805, 9.473898887634277, 8.659807205200195, 10.013821601867676, 9.444267272949219, 12.666269302368164, 14.628046989440918, 7.196535110473633, 14.628046989440918, 8.72044849395752, 7.646108627319336, 14.628046989440918]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 2 11]]",0.8388888835906982,114.33333587646484,126.0,"[8.433366775512695, 10.589583396911621, 9.751710891723633, 10.905350685119629, 10.584324836730957, 12.728462219238281, 15.799467086791992, 7.97860860824585, 15.799467086791992, 9.7950439453125, 8.39180850982666, 15.799467086791992]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,103.83333587646484,112.0,"[6.3091936111450195, 7.920639991760254, 7.279624938964844, 7.861746788024902, 7.848241806030273, 10.373835563659668, 11.339713096618652, 6.098635673522949, 11.339713096618652, 7.28704833984375, 6.289333343505859, 11.339713096618652]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 3 10]]",0.8297455906867981,89.83333587646484,98.0,"[6.016109466552734, 7.59189510345459, 6.982124328613281, 7.443667411804199, 7.505123615264893, 10.320592880249023, 10.700698852539062, 5.904409885406494, 10.700698852539062, 6.982629776000977, 6.0537190437316895, 10.700698852539062]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 5  8]]",0.7897986769676208,80.18181610107422,84.0,"[7.823999404907227, 8.22815227508545, 9.103618621826172, 9.84309196472168, 9.890427589416504, 10.31174373626709, 14.682275772094727, 14.682275772094727, 9.099710464477539, 7.726949691772461, 14.682275772094727]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,66.18181610107422,70.0,"[8.533297538757324, 8.956037521362305, 9.685596466064453, 10.264997482299805, 10.31753921508789, 9.901056289672852, 14.18409538269043, 14.18409538269043, 9.688380241394043, 8.56983757019043, 14.18409538269043]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,56.0,56.0,"[8.700104713439941, 9.115029335021973, 9.60027027130127, 9.892281532287598, 10.055220603942871, 9.32068157196045, 12.791687965393066, 12.791687965393066, 9.589749336242676, 8.762221336364746, 12.791687965393066]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,47.599998474121094,42.0,"[8.72624397277832, 9.022016525268555, 9.401432991027832, 9.648895263671875, 9.704587936401367, 8.892379760742188, 11.513984680175781, 9.395899772644043, 8.767030715942383, 11.513984680175781]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,33.599998474121094,28.0,"[8.616350173950195, 8.923273086547852, 9.278593063354492, 9.490225791931152, 9.612544059753418, 8.502209663391113, 11.632649421691895, 9.270597457885742, 8.662675857543945, 11.632649421691895]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,19.600000381469727,14.0,"[9.3223295211792, 9.582274436950684, 9.889998435974121, 10.07744026184082, 10.177674293518066, 8.900383949279785, 11.919113159179688, 9.883625030517578, 9.360857009887695, 11.919113159179688]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,10.5,14.0,"[8.710955619812012, 9.268838882446289, 9.433506965637207, 9.54697036743164, 11.226569175720215, 9.26102066040039, 8.75265121459961, 11.226569175720215]",2023-06-05T00:00:00.000000000,"['Austria', 'Costa Rica', 'France', 'Ireland', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 3 10]]",0.8297455906867981,2.799999952316284,0.0,"[10.202972412109375, 10.313128471374512, 10.025229454040527, 9.513394355773926, 11.820661544799805]",2023-06-19T00:00:00.000000000,"['France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 4  9]]",0.8027210831642151,0.0,0.0,[13.183961868286133],2023-07-03T00:00:00.000000000,['USA']
"[[70  4]
 [ 4  9]]",0.8191268444061279,-1,-1,"[[0.18783582746982574], [0.1933581680059433], [0.18662163615226746], [0.18882687389850616], [0.18662163615226746], [0.659832239151001], [0.1768154352903366], [0.1933581680059433], [0.19612891972064972], [0.1752009391784668], [0.19906578958034515], [0.1933581382036209], [0.9559277296066284], [0.18783582746982574], [0.16362132132053375], [0.26611676812171936], [0.7520065903663635], [0.16684876382350922], [0.1770286113023758], [0.40666019916534424], [0.1933581680059433], [0.18239416182041168], [0.22410275042057037], [0.1933581680059433], [0.2763279378414154], [0.6669625043869019], [0.19536229968070984], [0.2625765800476074], [0.1933581680059433], [0.18679919838905334], [0.1933581680059433], [0.3777226507663727], [0.1933581680059433], [0.1933581680059433], [0.34506404399871826], [0.2597866356372833], [0.8273170590400696], [0.1933581680059433], [0.20954939723014832], [0.1933581680059433], [0.4178256094455719], [0.18662163615226746], [0.19258850812911987], [0.1933581680059433], [0.19568109512329102], [0.3648814260959625], [0.3174107074737549], [0.1933581680059433], [0.1933581680059433], [0.5531713366508484], [0.18514427542686462], [0.1367497593164444], [0.1933581680059433], [0.1933581680059433], [0.2601979076862335], [0.18514427542686462], [0.36745962500572205], [0.23020611703395844], [0.1979219764471054], [0.1752009391784668], [0.19813799858093262], [0.7595508694648743], [0.19688744843006134], [0.1845865100622177], [0.1933581680059433], [0.18662163615226746], [0.1933581680059433], [0.5346506237983704], [0.18880431354045868], [0.1823882907629013], [0.1933581680059433], [0.9527301788330078], [0.7450281977653503], [0.19059698283672333], [0.1800074577331543], [0.5312937498092651], [0.15420067310333252], [0.17220410704612732], [0.19438785314559937], [0.1933581680059433], [0.19906578958034515], [0.9527301788330078], [0.19688744843006134], [0.18997742235660553], [0.18662165105342865], [0.8079373240470886], [0.18390697240829468]]",2023-07-17T00:00:00.000000000,[]
