CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  4]
 [ 0  6]]",0.8623417615890503,98.0,84.0,"[7.117648124694824, 14.307284355163574, 7.117648124694824, 8.231378555297852, 7.74642276763916]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,86.80000305175781,84.0,"[5.193991661071777, 10.049410820007324, 5.193991661071777, 5.249148368835449, 5.146335601806641]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,70.0,56.0,"[7.747405052185059, 17.202688217163086, 7.747405052185059, 8.032368659973145, 7.753688812255859]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,56.0,42.0,"[7.881852626800537, 22.057174682617188, 7.881852626800537, 8.504741668701172, 8.37841796875]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,42.0,28.0,"[9.165884971618652, 17.51704978942871, 9.165885925292969, 9.795595169067383, 9.497638702392578]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,28.0,14.0,"[13.855475425720215, 18.111194610595703, 13.855474472045898, 13.475151062011719, 12.991866111755371]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,"[16.206567764282227, 17.392898559570312, 16.206567764282227, 16.304471969604492, 15.747513771057129]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,18.66666603088379,14.0,"[14.40458869934082, 17.67060661315918, 17.1987361907959]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,[17.2216854095459],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,0.0,0.0,[20.331188201904297],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,[17.192270278930664],2021-04-26T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,-1,-1,"[[0.9319207072257996], [0.05329384282231331], [0.053342271596193314], [0.05323440209031105], [0.053342271596193314], [0.05340542644262314], [0.05330369621515274], [0.05329384282231331], [0.9370294213294983], [0.05340542644262314], [0.053253065794706345], [0.05329384282231331], [0.3954232335090637], [0.9319207072257996], [0.05285312235355377], [0.9136897921562195], [0.8550703525543213], [0.0533689521253109], [0.05335744470357895], [0.05339702591300011], [0.05329384282231331], [0.8408716320991516], [0.05317603424191475], [0.05329384282231331], [0.05312636122107506], [0.05314508453011513], [0.05318879336118698], [0.05308408662676811], [0.05329384282231331], [0.05334099382162094], [0.05329384282231331], [0.053342271596193314], [0.05329384282231331], [0.05329384282231331], [0.05310440436005592], [0.053277257829904556], [0.053342271596193314], [0.05329384282231331], [0.0532476007938385], [0.05329384282231331], [0.05318472534418106], [0.053342271596193314], [0.05316213518381119], [0.05329384282231331], [0.05319426953792572], [0.05339496582746506], [0.053072988986968994], [0.05329384282231331], [0.05329384282231331], [0.05312586575746536], [0.05341363698244095], [0.05341313034296036], [0.05329384282231331], [0.05329384282231331], [0.05317603424191475], [0.05341363698244095], [0.8941329717636108], [0.0532778836786747], [0.9179885983467102], [0.05340542644262314], [0.05311667174100876], [0.053342271596193314], [0.05321488901972771], [0.0533570796251297], [0.05329384282231331], [0.053342271596193314], [0.05329384282231331], [0.0533689521253109], [0.053326524794101715], [0.05332985520362854], [0.05329384282231331], [0.05329384282231331], [0.053322505205869675], [0.05340542644262314], [0.7894304990768433], [0.053287383168935776], [0.05337243527173996], [0.0534258708357811], [0.05334536358714104], [0.05329384282231331], [0.05325307697057724], [0.05329384282231331], [0.05321488901972771], [0.0531492717564106], [0.053342271596193314], [0.053322505205869675], [0.05336204171180725]]",2021-05-10T00:00:00.000000000,[]
