CF1,f11,MAE1,MAE2,pred,date,countries
"[[48  3]
 [34  2]]",0.4096827507019043,109.86111450195312,119.0,"[0.919844388961792, 0.981211245059967, 0.919844388961792, 1.356314778327942, 0.9417771697044373, 0.9473760724067688, 1.0095221996307373, 0.9046796560287476, 0.9473761320114136, 1.0428078174591064, 1.0321133136749268, 1.06691575050354, 1.889326810836792, 0.9568206071853638, 0.919844388961792, 0.9736945629119873, 0.919844388961792, 0.8899123668670654, 1.0430772304534912, 0.8795927166938782, 1.01447331905365, 0.919844388961792, 0.9923352599143982, 0.9473761320114136, 0.9473761320114136, 0.9046796560287476, 0.9269059896469116, 0.9473761320114136, 0.931084156036377, 0.9510615468025208, 0.902708113193512, 0.9180801510810852, 0.9705864191055298, 0.9473761320114136, 0.931084156036377, 0.9190341234207153]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[47  4]
 [26 10]]",0.5790322422981262,81.27777862548828,91.0,"[5.810681343078613, 11.623163223266602, 5.810681343078613, 5.974742889404297, 10.574516296386719, 10.723405838012695, 12.376020431518555, 9.588005065917969, 8.20212459564209, 13.261168479919434, 12.976776123046875, 13.902255058288574, 7.878990173339844, 6.225447654724121, 9.991270065307617, 11.423274993896484, 9.991270065307617, 9.195304870605469, 13.268331527709961, 8.920880317687988, 12.507683753967285, 9.991270065307617, 7.8768510818481445, 10.723405838012695, 8.20212459564209, 5.632722854614258, 10.179054260253906, 8.20212459564209, 10.29016399383545, 10.821410179138184, 9.535575866699219, 8.984594345092773, 11.340625762939453, 10.723405838012695, 10.290164947509766, 8.96639347076416]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[36 15]
 [ 2 34]]",0.8044943809509277,75.0,84.0,"[10.101391792297363, 11.412359237670898, 11.50670051574707, 9.695883750915527, 12.79741096496582, 10.244691848754883, 16.147974014282227, 8.98293685913086, 13.439081192016602, 17.850622177124023, 14.895818710327148, 14.847671508789062, 12.10112190246582, 11.161231994628906, 12.085136413574219, 11.757550239562988, 19.635433197021484, 11.534601211547852, 14.827387809753418, 10.655137062072754, 16.00913429260254, 9.520936012268066, 12.551210403442383, 21.203649520874023, 13.439081192016602, 9.793588638305664, 9.576443672180176, 13.439081192016602, 10.838191986083984, 10.234611511230469, 11.145492553710938, 9.888450622558594, 9.648970603942871, 12.931852340698242, 9.327079772949219]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[34 17]
 [ 2 34]]",0.7816091775894165,67.11764526367188,77.0,"[8.893045425415039, 10.538036346435547, 10.661773681640625, 8.649206161499023, 12.024017333984375, 8.752265930175781, 15.502670288085938, 9.032079696655273, 12.72951889038086, 13.745628356933594, 14.139163970947266, 13.37812614440918, 10.017614364624023, 11.324651718139648, 11.719154357910156, 19.886911392211914, 10.853261947631836, 13.57304573059082, 9.900407791137695, 12.286483764648438, 8.010272979736328, 11.235008239746094, 21.43336296081543, 12.72951889038086, 8.720270156860352, 9.706523895263672, 12.72951889038086, 9.528892517089844, 8.659114837646484, 10.878049850463867, 8.55069351196289, 7.207869529724121, 12.235071182250977, 7.803901195526123]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[34 17]
 [ 2 34]]",0.7816091775894165,63.82352828979492,70.0,"[9.596108436584473, 11.349508285522461, 11.408519744873047, 9.301326751708984, 12.830435752868652, 9.486321449279785, 16.478290557861328, 9.719592094421387, 13.561796188354492, 12.004498481750488, 15.111211776733398, 14.39145278930664, 10.794742584228516, 12.087764739990234, 12.558126449584961, 20.221874237060547, 11.565666198730469, 14.545969009399414, 10.57795524597168, 11.251274108886719, 8.691536903381348, 12.086664199829102, 21.7169132232666, 13.561796188354492, 9.400081634521484, 10.438518524169922, 13.561796188354492, 10.259889602661133, 9.39548397064209, 11.607254028320312, 9.243094444274902, 7.932844161987305, 13.03289794921875, 8.465995788574219]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[33 18]
 [ 2 34]]",0.77008455991745,50.44117736816406,49.0,"[13.300065994262695, 15.912408828735352, 16.06035804748535, 12.885068893432617, 18.207347869873047, 13.106803894042969, 23.70121955871582, 13.502481460571289, 19.313735961914062, 12.626928329467773, 21.595016479492188, 20.384798049926758, 15.090587615966797, 17.094846725463867, 17.762226104736328, 21.369956970214844, 16.330448150634766, 20.72205924987793, 14.833505630493164, 12.582389831542969, 11.922405242919922, 17.02457046508789, 22.856334686279297, 19.313735961914062, 13.015869140625, 14.57636833190918, 19.313735961914062, 14.303167343139648, 12.964971542358398, 16.381420135498047, 12.764095306396484, 10.71889877319336, 18.52644920349121, 11.589544296264648]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[35 16]
 [ 2 34]]",0.7930760979652405,44.54545593261719,42.0,"[16.06825828552246, 19.22862434387207, 19.63246726989746, 15.65682315826416, 22.328693389892578, 15.72323989868164, 29.18768310546875, 16.382213592529297, 23.73788833618164, 11.33022689819336, 26.389728546142578, 24.706356048583984, 18.252031326293945, 20.968242645263672, 21.643253326416016, 23.803829193115234, 20.08501434326172, 25.224506378173828, 18.187885284423828, 12.24757194519043, 14.28936767578125, 20.626115798950195, 25.19123077392578, 23.73788833618164, 15.753880500793457, 17.691789627075195, 23.73788833618164, 17.32453155517578, 15.527318954467773, 20.106460571289062, 15.38231086730957, 22.77781105041504, 13.898541450500488]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[34 17]
 [ 2 34]]",0.7816091775894165,36.90909194946289,35.0,"[16.63359260559082, 18.015657424926758, 20.459362030029297, 16.312997817993164, 23.279468536376953, 16.170381546020508, 30.413291931152344, 13.29661750793457, 24.773195266723633, 10.041945457458496, 26.82686996459961, 25.060001373291016, 18.852893829345703, 21.893165588378906, 19.300270080566406, 29.791608810424805, 21.046092987060547, 26.04608154296875, 19.044551849365234, 11.54055404663086, 14.72415542602539, 21.28139877319336, 31.827611923217773, 24.773195266723633, 16.34729766845703, 14.5119047164917, 24.773195266723633, 17.944141387939453, 15.947650909423828, 19.83511734008789, 15.903257369995117, 23.7976131439209, 14.342562675476074]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[36 15]
 [ 2 34]]",0.8044943809509277,30.33333396911621,28.0,"[18.91114044189453, 20.389665603637695, 23.27543830871582, 18.592021942138672, 26.46402359008789, 18.34696388244629, 15.12413501739502, 28.160741806030273, 10.376908302307129, 30.3934326171875, 28.287992477416992, 21.394807815551758, 24.911069869995117, 30.104124069213867, 23.9836368560791, 29.48849868774414, 21.71375846862793, 12.180695533752441, 16.73292350769043, 24.119029998779297, 32.03986740112305, 28.160741806030273, 18.6042423248291, 16.48162269592285, 28.160741806030273, 20.391569137573242, 18.088092803955078, 22.585580825805664, 18.080291748046875, 16.31221580505371]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[36 15]
 [ 2 34]]",0.8044943809509277,25.433332443237305,21.0,"[21.466848373413086, 22.866018295288086, 25.727397918701172, 21.181161880493164, 28.824382781982422, 20.896249771118164, 17.78079605102539, 30.476726531982422, 6.492892265319824, 32.595298767089844, 30.515613555908203, 23.864835739135742, 27.32414436340332, 37.27264404296875, 26.440326690673828, 31.7039737701416, 24.23183822631836, 9.17699909210205, 19.34041404724121, 26.498708724975586, 39.875118255615234, 30.476726531982422, 21.178171157836914, 19.089998245239258, 30.476726531982422, 22.903987884521484, 20.640878677368164, 25.066286087036133, 20.65702247619629, 18.93780517578125]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
