CF1,f11,MAE1,MAE2,pred,date,countries
"[[25 25]
 [ 0 37]]",0.7070707082748413,133.38888549804688,140.0,"[4.112849235534668, 3.4878194332122803, 4.431419372558594, 6.965415000915527, 5.431225776672363, 4.742804527282715, 8.447606086730957, 6.629302978515625, 6.287703514099121, 6.965415954589844, 6.890718460083008, 6.965415954589844, 5.508197784423828, 5.965736389160156, 3.9357826709747314, 3.4053783416748047, 8.523755073547363, 8.007911682128906, 4.483431816101074, 5.173664093017578, 9.422516822814941, 4.038759231567383, 4.269794464111328, 5.965736389160156, 5.714448928833008, 5.438506126403809, 6.965415954589844, 4.753955841064453, 6.965415000915527, 6.060235977172852, 6.125292778015137, 5.406373023986816, 6.965415954589844, 7.508206367492676, 5.459846496582031, 6.060235977172852]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,119.38888549804688,126.0,"[6.415923595428467, 5.76287841796875, 6.755500793457031, 10.03660774230957, 8.147424697875977, 7.154428482055664, 12.043025970458984, 9.751688003540039, 9.383158683776855, 10.036608695983887, 9.894304275512695, 10.036608695983887, 8.217986106872559, 8.73853588104248, 6.242177486419678, 5.53881311416626, 12.108180046081543, 11.43221664428711, 6.83075475692749, 8.019107818603516, 13.263280868530273, 6.2602338790893555, 6.546843528747559, 8.73853588104248, 8.543185234069824, 8.063082695007324, 10.036608695983887, 7.191807270050049, 10.03660774230957, 8.87418270111084, 8.985901832580566, 8.116179466247559, 10.036608695983887, 10.849966049194336, 8.10251522064209, 8.87418270111084]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,105.38888549804688,112.0,"[7.312045097351074, 8.62228012084961, 6.599430084228516, 7.9638237953186035, 8.127197265625, 6.678891181945801, 9.406346321105957, 9.213085174560547, 9.765538215637207, 7.963824272155762, 7.659065246582031, 7.963824272155762, 7.819158554077148, 7.371244430541992, 7.865428924560547, 7.442974090576172, 9.18740177154541, 8.859395980834961, 6.749743461608887, 10.05700969696045, 9.650025367736816, 6.618358612060547, 6.690064907073975, 7.371244430541992, 8.535796165466309, 7.124550819396973, 7.963824272155762, 6.988922595977783, 7.9638237953186035, 7.520384788513184, 7.759195327758789, 8.119844436645508, 7.963824272155762, 9.244949340820312, 7.254748344421387, 7.520384311676025]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,80.11111450195312,84.0,"[13.991312980651855, 13.078642845153809, 14.452193260192871, 21.132896423339844, 17.626779556274414, 15.246569633483887, 25.554000854492188, 21.05592155456543, 20.54234504699707, 21.13290023803711, 20.710132598876953, 21.13290023803711, 17.695064544677734, 18.475177764892578, 13.798872947692871, 12.262667655944824, 25.558338165283203, 24.150827407836914, 14.630208015441895, 17.95621109008789, 27.911964416503906, 13.462303161621094, 14.02070140838623, 18.475177764892578, 18.4867000579834, 17.127235412597656, 21.13290023803711, 15.413806915283203, 21.132896423339844, 18.80242156982422, 19.135417938232422, 17.566728591918945, 21.13290023803711, 23.156822204589844, 17.252840042114258, 18.802419662475586]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[30 20]
 [ 0 37]]",0.7686170339584351,68.0,70.0,"[14.219740867614746, 13.269862174987793, 11.829819679260254, 21.622560501098633, 17.907983779907227, 15.599411964416504, 26.034198760986328, 21.394855499267578, 20.804658889770508, 21.622562408447266, 21.240896224975586, 21.622562408447266, 18.00940704345703, 18.905372619628906, 13.958516120910645, 12.440114974975586, 26.083314895629883, 24.65245246887207, 14.952750205993652, 18.190919876098633, 28.497676849365234, 13.754825592041016, 12.157376289367676, 18.905372619628906, 18.78590965270996, 17.515146255493164, 21.622562408447266, 15.739359855651855, 21.622560501098633, 19.222793579101562, 19.527149200439453, 21.622562408447266, 23.58798599243164, 17.62803077697754, 19.222793579101562]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[30 20]
 [ 0 37]]",0.7686170339584351,53.20000076293945,56.0,"[14.493648529052734, 12.818016052246094, 12.010379791259766, 22.605836868286133, 18.349218368530273, 16.18766212463379, 27.043025970458984, 21.87706756591797, 20.99821662902832, 22.605838775634766, 22.318845748901367, 22.605838775634766, 18.531442642211914, 19.715862274169922, 14.064128875732422, 12.480347633361816, 27.20037269592285, 25.697677612304688, 15.461042404174805, 17.82183074951172, 29.787263870239258, 14.177803993225098, 12.313648223876953, 19.715862274169922, 19.188491821289062, 18.208723068237305, 22.605838775634766, 16.26350975036621, 22.605836868286133, 20.013141632080078, 20.251937866210938, 22.605838775634766, 24.34868621826172, 18.29224395751953, 20.013141632080078]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,42.79999923706055,42.0,"[11.566104888916016, 10.50510025024414, 12.067276000976562, 17.097694396972656, 11.829315185546875, 12.676015853881836, 20.221948623657227, 16.707740783691406, 16.15481948852539, 17.097694396972656, 16.869417190551758, 17.097694396972656, 14.347970962524414, 15.105318069458008, 11.308786392211914, 10.20164680480957, 20.30354118347168, 19.262670516967773, 12.18501091003418, 14.009902954101562, 22.082111358642578, 11.30267333984375, 11.744518280029297, 15.105318069458008, 14.836835861206055, 13.238018035888672, 17.097694396972656, 12.746978759765625, 17.097694396972656, 15.320579528808594, 15.506925582885742, 17.097694396972656, 18.379886627197266, 14.140501022338867, 15.320579528808594]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,26.303030014038086,28.0,"[14.713008880615234, 17.393169403076172, 25.45706558227539, 16.876863479614258, 18.37336540222168, 30.38099479675293, 24.697065353393555, 23.747865676879883, 25.457067489624023, 25.128231048583984, 25.457067489624023, 20.98282241821289, 22.266870498657227, 16.067493438720703, 14.313146591186523, 30.5440616607666, 28.883319854736328, 17.5751895904541, 20.25926399230957, 33.397762298583984, 16.15956687927246, 16.87666130065918, 22.266870498657227, 21.722318649291992, 19.25078010559082, 25.457067489624023, 25.45706558227539, 22.599111557006836, 22.871305465698242, 25.457067489624023, 27.412866592407227, 20.701940536499023, 22.599111557006836]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,14.875,14.0,"[15.025503158569336, 17.445758819580078, 24.960758209228516, 17.02198600769043, 18.356571197509766, 29.568347930908203, 24.294570922851562, 23.432003021240234, 24.960758209228516, 24.64654541015625, 24.960758209228516, 20.809349060058594, 21.986120223999023, 16.256662368774414, 14.61832046508789, 29.713600158691406, 28.16385269165039, 17.619144439697266, 20.209074020385742, 32.373268127441406, 16.30349349975586, 16.97014808654785, 21.986120223999023, 21.51724624633789, 19.185686111450195, 24.960758209228516, 22.29848861694336, 22.55780792236328, 24.960758209228516, 26.812335968017578, 20.532073974609375, 22.298486709594727]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[30 20]
 [ 0 37]]",0.7686170339584351,7.4666666984558105,14.0,"[15.82056999206543, 18.678003311157227, 26.68879508972168, 18.041196823120117, 19.653888702392578, 31.538841247558594, 25.88261604309082, 24.89071273803711, 26.688796997070312, 26.380361557006836, 26.688796997070312, 23.52139663696289, 17.325334548950195, 15.601936340332031, 31.716691970825195, 30.070730209350586, 18.85552215576172, 21.32772445678711, 34.552886962890625, 17.453153610229492, 18.165332794189453, 23.52139663696289, 22.94278907775879, 20.51596450805664, 26.68879508972168, 23.845142364501953, 24.10250473022461, 26.688796997070312, 28.594120025634766, 21.95777702331543]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
