CF1,f11,MAE1,MAE2,pred,date,countries
"[[75  2]
 [ 9  1]]",0.5427615642547607,88.19999694824219,98.0,"[2.34063720703125, 2.172940731048584, 2.748908519744873, 7.500107765197754, 3.0577120780944824, 2.469315528869629, 2.679446220397949, 2.2697606086730957, 2.3323917388916016, 2.5848374366760254]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,79.33333587646484,84.0,"[9.575640678405762, 11.57437801361084, 16.14125633239746, 15.086792945861816, 15.794747352600098, 10.66053295135498, 10.543497085571289, 11.527722358703613, 9.347797393798828]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,68.44444274902344,70.0,"[8.075788497924805, 10.682622909545898, 7.999824047088623, 13.205181121826172, 14.637170791625977, 8.615022659301758, 9.511314392089844, 10.441417694091797, 7.904542922973633]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,56.0,56.0,"[6.154976844787598, 7.926197052001953, 6.01860237121582, 9.494415283203125, 10.538504600524902, 6.470758438110352, 7.127439498901367, 7.742809295654297, 6.047232627868652]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,38.88888931274414,42.0,"[9.24479866027832, 12.19977855682373, 7.746369361877441, 14.79155158996582, 16.545063018798828, 9.762872695922852, 10.866683959960938, 11.890454292297363, 9.066535949707031]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,38.0,42.0,"[8.874476432800293, 11.293030738830566, 7.341104984283447, 13.495707511901855, 14.892334938049316, 11.051051139831543, 8.7236328125]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,24.0,14.0,"[9.918622970581055, 12.293551445007324, 7.145168304443359, 14.474139213562012, 15.837214469909668, 12.05836296081543, 9.769427299499512]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,16.33333396911621,14.0,"[10.305405616760254, 12.558673858642578, 7.088118553161621, 14.490156173706055, 15.848504066467285, 12.316638946533203]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,10.5,0.0,"[8.680795669555664, 9.964402198791504, 6.805167198181152, 11.035408020019531]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,7.0,0.0,"[9.37264347076416, 7.233733177185059]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[73  4]
 [ 3  7]]",0.8104575276374817,0.0,0.0,[7.725642204284668],2022-11-07T00:00:00.000000000,['Georgia']
"[[73  4]
 [ 4  6]]",0.7740259766578674,-1,-1,"[[0.13481353223323822], [0.13837593793869019], [0.7604483366012573], [0.13382156193256378], [0.1339053511619568], [0.12709134817123413], [0.13753338158130646], [0.13837593793869019], [0.13070975244045258], [0.542661726474762], [0.18171989917755127], [0.852003812789917], [0.12908576428890228], [0.13481353223323822], [0.1688876748085022], [0.1336362063884735], [0.1339053511619568], [0.13117511570453644], [0.13234549760818481], [0.12835605442523956], [0.13837593793869019], [0.13074839115142822], [0.12827236950397491], [0.13837593793869019], [0.12370111793279648], [0.1254098117351532], [0.2875480651855469], [0.11992261558771133], [0.13837593793869019], [0.17466989159584045], [0.13837593793869019], [0.1339053511619568], [0.13837593793869019], [0.13837593793869019], [0.14440587162971497], [0.621096134185791], [0.1339053511619568], [0.13837593793869019], [0.13510338962078094], [0.13837593793869019], [0.12908576428890228], [0.1339053511619568], [0.12698033452033997], [0.13837593793869019], [0.1299842894077301], [0.12856201827526093], [0.7941672801971436], [0.13837593793869019], [0.9505069851875305], [0.12365832924842834], [0.13523483276367188], [0.12587644159793854], [0.13837593793869019], [0.13837593793869019], [0.12827233970165253], [0.13523483276367188], [0.1383659690618515], [0.7336580753326416], [0.1336362063884735], [0.542661726474762], [0.12282752245664597], [0.1339053511619568], [0.1319434940814972], [0.13238459825515747], [0.13837593793869019], [0.1339053511619568], [0.13837593793869019], [0.4931577742099762], [0.13553841412067413], [0.13519300520420074], [0.13837593793869019], [0.13837593793869019], [0.13593629002571106], [0.12709134817123413], [0.12896952033042908], [0.13893289864063263], [0.13082365691661835], [0.1358921229839325], [0.8435115218162537], [0.13837593793869019], [0.2524266839027405], [0.13837593793869019], [0.1319434940814972], [0.1257937252521515], [0.1339053511619568], [0.13593630492687225], [0.7096903920173645]]",2022-11-21T00:00:00.000000000,[]
