CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  4]
 [ 0  6]]",0.8623417615890503,100.80000305175781,98.0,"[3.125941038131714, 1.4564404487609863, 3.125941038131714, 2.8250019550323486, 2.4878525733947754]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,86.80000305175781,84.0,"[5.283851623535156, 4.354086399078369, 5.283851623535156, 5.015529632568359, 4.5201191902160645]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,70.0,56.0,"[5.5089006423950195, 16.712392807006836, 5.5089006423950195, 5.781254768371582, 5.451053619384766]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,58.79999923706055,56.0,"[8.007976531982422, 9.64876937866211, 8.007976531982422, 7.450730800628662, 6.780019283294678]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,44.79999923706055,42.0,"[8.76219654083252, 10.993345260620117, 8.762195587158203, 8.486873626708984, 7.753116607666016]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,22.399999618530273,14.0,"[15.47984504699707, 10.558349609375, 15.479846000671387, 14.286186218261719, 12.869603157043457]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,16.799999237060547,14.0,"[18.12567710876465, 11.92190170288086, 18.125675201416016, 16.93282127380371, 15.214091300964355]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,"[9.707489967346191, 18.554065704345703, 16.69133949279785]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,28.0,28.0,[13.738541603088379],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,0.0,0.0,[16.835575103759766],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,[16.560441970825195],2021-04-26T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,-1,-1,"[[0.9377968907356262], [0.05632947385311127], [0.05660661309957504], [0.05599063262343407], [0.05660661309957504], [0.05696971341967583], [0.056385718286037445], [0.05632947385311127], [0.9407494068145752], [0.05696971341967583], [0.05609682574868202], [0.05632947385311127], [0.423724502325058], [0.9377968907356262], [0.053854335099458694], [0.9244875907897949], [0.8606728911399841], [0.05675981938838959], [0.056693777441978455], [0.05692128837108612], [0.05632947385311127], [0.8487975001335144], [0.055659398436546326], [0.05632947385311127], [0.05537869408726692], [0.055484481155872345], [0.055731695145368576], [0.0551409013569355], [0.05632947385311127], [0.05659925192594528], [0.05632947385311127], [0.05660661309957504], [0.05632947385311127], [0.05632947385311127], [0.05525507032871246], [0.056234702467918396], [0.05660661309957504], [0.05632947385311127], [0.05606573820114136], [0.05632947385311127], [0.055708568543195724], [0.05660661309957504], [0.055580802261829376], [0.05632947385311127], [0.05576266720890999], [0.056909359991550446], [0.055078402161598206], [0.05632947385311127], [0.05632947385311127], [0.05537602677941322], [0.057016998529434204], [0.0570140965282917], [0.05632947385311127], [0.05632947385311127], [0.055659398436546326], [0.057016998529434204], [0.9063382148742676], [0.05623837187886238], [0.9274399280548096], [0.05696971341967583], [0.05532420799136162], [0.05660661309957504], [0.05587965250015259], [0.05669156834483147], [0.05632947385311127], [0.05660661309957504], [0.05632947385311127], [0.05675981938838959], [0.05651641637086868], [0.05653541535139084], [0.05632947385311127], [0.05632947385311127], [0.05649331212043762], [0.05696971341967583], [0.8050282001495361], [0.05629247799515724], [0.05677974596619606], [0.05708761885762215], [0.056624412536621094], [0.05632947385311127], [0.05609682574868202], [0.05632947385311127], [0.05587965250015259], [0.05550811439752579], [0.05660662427544594], [0.05649331212043762], [0.05672011896967888]]",2021-05-10T00:00:00.000000000,[]
