CF1,f11,MAE1,MAE2,pred,date,countries
"[[23 27]
 [ 0 37]]",0.6814051270484924,133.38888549804688,140.0,"[3.7783474922180176, 3.1039607524871826, 4.111817359924316, 6.529186725616455, 5.02694845199585, 4.410687446594238, 7.908058166503906, 6.145262241363525, 5.7877960205078125, 6.5291876792907715, 6.473368167877197, 6.5291876792907715, 5.111414909362793, 5.577031135559082, 3.587021589279175, 3.084341049194336, 7.994132041931152, 7.505280017852783, 4.1586408615112305, 4.682569980621338, 8.852615356445312, 3.7326574325561523, 3.9579622745513916, 5.577031135559082, 5.281465530395508, 5.071191310882568, 6.5291876792907715, 4.41190242767334, 6.529186725616455, 5.66184139251709, 5.712865352630615, 5.002864360809326, 6.5291876792907715, 7.000257968902588, 5.086807727813721, 5.66184139251709]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,119.38888549804688,126.0,"[6.129326343536377, 5.335177898406982, 6.515721797943115, 9.79965877532959, 7.851889133453369, 6.917189121246338, 11.760558128356934, 9.41926383972168, 9.000226974487305, 9.799659729003906, 9.685237884521484, 9.799659729003906, 7.942694187164307, 8.502395629882812, 5.918150424957275, 5.2144455909729, 11.84391975402832, 11.171704292297363, 6.5863165855407715, 7.555088520050049, 13.007433891296387, 6.009185314178467, 6.305844306945801, 8.502395629882812, 8.220636367797852, 7.822413444519043, 9.799659729003906, 6.942393779754639, 9.79965877532959, 8.63095474243164, 8.727863311767578, 7.820107936859131, 9.799659729003906, 10.54379940032959, 7.855477809906006, 8.63095474243164]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,103.44444274902344,112.0,"[9.150185585021973, 9.07151985168457, 9.27685546875, 12.820244789123535, 11.113691329956055, 9.691021919250488, 15.303635597229004, 13.040364265441895, 12.899975776672363, 12.820246696472168, 12.535101890563965, 12.820246696472168, 11.105819702148438, 11.404642105102539, 9.13767147064209, 8.309389114379883, 15.252957344055176, 14.493606567382812, 9.382302284240723, 11.732966423034668, 16.497011184692383, 8.770663261413574, 9.04654598236084, 11.404642105102539, 11.631781578063965, 10.701048851013184, 12.820246696472168, 9.816900253295898, 12.820244789123535, 11.599274635314941, 11.81944751739502, 11.083317756652832, 12.820246696472168, 14.07840633392334, 10.78637409210205, 11.599275588989258]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,82.83333587646484,84.0,"[11.43806266784668, 10.780715942382812, 11.716121673583984, 16.390953063964844, 13.99990463256836, 12.268932342529297, 19.54364776611328, 16.427318572998047, 16.099271774291992, 16.390953063964844, 16.069154739379883, 16.390953063964844, 14.031774520874023, 14.528663635253906, 11.335813522338867, 10.24655532836914, 19.52410125732422, 18.533729553222656, 11.845388412475586, 14.254487991333008, 21.16922378540039, 11.02899169921875, 11.413566589355469, 14.528663635253906, 14.616632461547852, 13.590274810791016, 16.390953063964844, 12.401805877685547, 16.390953063964844, 14.766632080078125, 15.018211364746094, 13.958513259887695, 16.390953063964844, 17.87689971923828, 13.686141967773438, 14.766632080078125]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,70.0,70.0,"[11.854408264160156, 10.953672409057617, 10.146117210388184, 17.186859130859375, 14.492995262145996, 12.865989685058594, 20.32593536376953, 16.949527740478516, 16.47870445251465, 17.186861038208008, 16.92473793029785, 17.186861038208008, 14.57298469543457, 15.238138198852539, 11.652265548706055, 10.549930572509766, 20.371414184570312, 19.347089767456055, 12.398426055908203, 14.449224472045898, 22.104806900024414, 11.53840446472168, 10.329828262329102, 15.238138198852539, 15.097006797790527, 14.238311767578125, 17.186861038208008, 12.959238052368164, 17.186859130859375, 15.461853981018066, 15.67184829711914, 17.186861038208008, 18.54399299621582, 14.315706253051758, 15.461853981018066]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,54.79999923706055,56.0,"[13.720718383789062, 12.54517936706543, 11.68166732788086, 20.170997619628906, 16.87491798400879, 14.98106575012207, 23.888057708740234, 19.796499252319336, 19.186500549316406, 20.17099952697754, 19.880380630493164, 20.17099952697754, 16.986005783081055, 17.831424713134766, 13.447328567504883, 12.135934829711914, 23.96393585205078, 22.73804473876953, 14.411861419677734, 16.70111656188965, 26.04883575439453, 13.377496719360352, 11.909444808959961, 17.831424713134766, 17.58667755126953, 16.62529182434082, 20.17099952697754, 15.078239440917969, 20.170997619628906, 18.091846466064453, 18.326772689819336, 20.17099952697754, 21.736446380615234, 16.710813522338867, 18.091846466064453]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,41.20000076293945,42.0,"[14.135615348815918, 12.756109237670898, 14.795007705688477, 20.935791015625, 14.403430938720703, 15.541389465332031, 24.686443328857422, 20.358638763427734, 19.636550903320312, 20.935791015625, 20.6849365234375, 20.935791015625, 17.529369354248047, 18.506364822387695, 13.786782264709473, 12.450578689575195, 24.810232162475586, 23.54546356201172, 14.933696746826172, 16.98052215576172, 26.983341217041016, 13.855693817138672, 14.401668548583984, 18.506364822387695, 18.093032836914062, 16.2098331451416, 20.935791015625, 15.611040115356445, 20.935791015625, 18.759521484375, 18.967117309570312, 20.935791015625, 22.426342010498047, 17.314861297607422, 18.759521484375]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,26.727272033691406,28.0,"[15.564300537109375, 17.743736267089844, 24.371606826782227, 17.341150283813477, 18.546594619750977, 28.47244644165039, 23.819225311279297, 23.065738677978516, 24.37160873413086, 24.133544921875, 24.37160873413086, 20.7364501953125, 21.747207641601562, 16.724132537841797, 15.268960952758789, 28.585901260375977, 27.215930938720703, 17.897621154785156, 20.162460327148438, 30.975360870361328, 16.734865188598633, 17.318645477294922, 21.747207641601562, 21.372194290161133, 19.282730102539062, 24.37160873413086, 24.371606826782227, 22.028461456298828, 22.26909065246582, 24.37160873413086, 26.035734176635742, 20.472627639770508, 22.028461456298828]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,16.625,14.0,"[14.509904861450195, 16.32868194580078, 20.964027404785156, 15.83185863494873, 16.90528678894043, 23.778600692749023, 20.426441192626953, 19.81838035583496, 20.96402931213379, 20.8709774017334, 20.96402931213379, 18.353721618652344, 19.138999938964844, 15.401695251464844, 14.390685081481934, 23.87577247619629, 22.925498962402344, 16.418567657470703, 17.691503524780273, 25.58675765991211, 15.58176040649414, 15.989530563354492, 19.138999938964844, 18.7152042388916, 17.365541458129883, 20.964027404785156, 19.329496383666992, 19.480520248413086, 20.96402931213379, 22.03003692626953, 18.229732513427734, 19.329496383666992]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,7.933333396911621,14.0,"[14.579560279846191, 16.726322174072266, 21.083213806152344, 15.961358070373535, 17.266178131103516, 23.670818328857422, 20.633548736572266, 20.007930755615234, 21.083213806152344, 20.85805892944336, 21.083213806152344, 19.409282684326172, 15.988790512084961, 14.983758926391602, 23.698184967041016, 22.85977554321289, 16.826038360595703, 17.58700180053711, 25.11219024658203, 16.046730041503906, 16.44207763671875, 19.409282684326172, 19.060585021972656, 17.747474670410156, 21.083213806152344, 19.59124755859375, 19.739185333251953, 21.083213806152344, 22.16665267944336, 18.546571731567383]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
