CF1,f11,MAE1,MAE2,pred,date,countries
"[[71  3]
 [11  2]]",0.5662392973899841,134.61538696289062,154.0,"[2.9039130210876465, 5.088696479797363, 2.5589585304260254, 3.1900434494018555, 7.9081268310546875, 2.5589585304260254, 3.063054084777832, 2.7137198448181152, 2.47371506690979, 2.7137198448181152, 2.6221394538879395, 2.73443603515625, 2.7137198448181152]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[64 10]
 [ 1 12]]",0.8032888174057007,128.3333282470703,140.0,"[6.101022243499756, 9.367897987365723, 8.078186988830566, 8.955728530883789, 9.160995483398438, 8.641770362854004, 15.721635818481445, 5.854224681854248, 15.721635818481445, 8.066849708557129, 6.115478038787842, 15.721635818481445]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 2 11]]",0.8388888835906982,113.16666412353516,126.0,"[7.9476847648620605, 10.802398681640625, 9.55301284790039, 10.696456909179688, 10.64391803741455, 15.264734268188477, 17.326736450195312, 7.3220295906066895, 17.326736450195312, 9.561119079589844, 7.696702003479004, 17.326736450195312]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,100.33333587646484,112.0,"[6.632143974304199, 9.375506401062012, 8.264949798583984, 9.039687156677246, 9.190164566040039, 10.820908546447754, 14.867026329040527, 6.371868133544922, 14.867026329040527, 8.255870819091797, 6.594847679138184, 14.867026329040527]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,89.83333587646484,98.0,"[6.740110397338867, 9.10440731048584, 8.157033920288086, 8.859209060668945, 8.956567764282227, 10.182121276855469, 13.842284202575684, 6.516014575958252, 13.842284202575684, 8.153984069824219, 6.728309631347656, 13.842284202575684]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,84.0,84.0,"[6.492062091827393, 6.80164909362793, 7.362086296081543, 7.81840181350708, 7.843959331512451, 7.990227222442627, 10.79548454284668, 10.79548454284668, 7.365502834320068, 6.5148820877075195, 10.79548454284668]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,70.0,70.0,"[7.685047149658203, 7.931893348693848, 8.428668975830078, 8.85374641418457, 8.847640037536621, 8.110651969909668, 11.42116928100586, 11.42116928100586, 8.434613227844238, 7.700315475463867, 11.42116928100586]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 3 10]]",0.8297455906867981,56.0,56.0,"[8.909032821655273, 9.228921890258789, 9.599018096923828, 9.819310188293457, 9.946910858154297, 8.18679428100586, 12.051305770874023, 12.051305770874023, 9.590672492980957, 8.9573392868042, 12.051305770874023]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 3 10]]",0.8297455906867981,47.599998474121094,42.0,"[8.522924423217773, 9.01938533782959, 9.391737937927246, 9.48959732055664, 9.78767204284668, 7.910930156707764, 11.969197273254395, 9.366937637329102, 8.618949890136719, 11.969197273254395]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,33.599998474121094,28.0,"[9.450578689575195, 10.0070161819458, 10.302620887756348, 10.460151672363281, 10.561262130737305, 8.674535751342773, 12.124238967895508, 10.295791625976562, 9.559162139892578, 12.124238967895508]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,19.600000381469727,14.0,"[9.00389289855957, 9.460352897644043, 9.885943412780762, 10.073234558105469, 10.299489974975586, 8.579151153564453, 12.64770221710205, 9.86778450012207, 9.082252502441406, 12.64770221710205]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 3 10]]",0.8297455906867981,10.5,14.0,"[9.92644214630127, 10.631111145019531, 10.810534477233887, 10.97571849822998, 13.050724029541016, 10.6189603805542, 9.984708786010742, 13.050724029541016]",2023-06-05T00:00:00.000000000,"['Austria', 'Costa Rica', 'France', 'Ireland', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 3 10]]",0.8297455906867981,2.799999952316284,0.0,"[9.630460739135742, 9.765119552612305, 9.464632034301758, 8.930415153503418, 11.516730308532715]",2023-06-19T00:00:00.000000000,"['France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 3 10]]",0.8297455906867981,0.0,0.0,[11.229446411132812],2023-07-03T00:00:00.000000000,['USA']
