CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  4]
 [ 1  5]]",0.8176100850105286,100.80000305175781,98.0,"[-38.41808319091797, -14.249199867248535, -38.41808319091797, -33.861148834228516, -29.461679458618164]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,86.80000305175781,84.0,"[-38.4202880859375, -14.249988555908203, -38.4202880859375, -33.86309051513672, -29.463363647460938]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,72.80000305175781,70.0,"[-38.42855453491211, -14.252938270568848, -38.42855453491211, -33.870338439941406, -29.469661712646484]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,58.79999923706055,56.0,"[-38.423828125, -14.251252174377441, -38.423828125, -33.866188049316406, -29.46605682373047]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,44.79999923706055,42.0,"[-38.419288635253906, -14.2496337890625, -38.419288635253906, -33.862213134765625, -29.462602615356445]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,30.799999237060547,28.0,"[-38.42455291748047, -14.251510620117188, -38.42455291748047, -33.86682891845703, -29.466611862182617]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,16.799999237060547,14.0,"[-38.41791915893555, -14.249143600463867, -38.41791915893555, -33.86100769042969, -29.46155548095703]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,0.0,"[-14.250237464904785, -33.86370086669922, -29.46389389038086]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,28.0,28.0,[-29.465761184692383],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,[-29.469621658325195],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,0.0,0.0,[-29.465564727783203],2021-04-26T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,-1,-1,"[[0.9394331574440002], [0.04916044697165489], [0.0476473830640316], [0.051082342863082886], [0.0476473830640316], [0.04574185237288475], [0.04884909465909004], [0.04916044697165489], [0.9415867924690247], [0.04574185237288475], [0.05047129467129707], [0.04916044697165489], [0.45339828729629517], [0.9394331574440002], [0.06525813043117523], [0.9281066060066223], [0.8628352880477905], [0.04683297127485275], [0.04718221724033356], [0.04599110037088394], [0.04916044697165489], [0.8517538905143738], [0.05304081737995148], [0.04916044697165489], [0.05476486682891846], [0.05410803109407425], [0.05260642617940903], [0.05627318099141121], [0.04916044697165489], [0.047686975449323654], [0.04916044697165489], [0.0476473830640316], [0.04916044697165489], [0.04916044697165489], [0.055543385446071625], [0.0496898889541626], [0.0476473830640316], [0.04916044697165489], [0.05064932256937027], [0.04916044697165489], [0.05274486169219017], [0.0476473830640316], [0.05351748317480087], [0.04916044697165489], [0.052421581000089645], [0.04605264589190483], [0.05667707696557045], [0.04916044697165489], [0.04916044697165489], [0.05478151887655258], [0.04549998790025711], [0.04551471397280693], [0.04916044697165489], [0.04916044697165489], [0.05304081737995148], [0.04549998790025711], [0.9053149819374084], [0.049669310450553894], [0.9305381774902344], [0.04574185237288475], [0.05510662496089935], [0.0476473830640316], [0.051729582250118256], [0.04719386622309685], [0.04916044697165489], [0.0476473830640316], [0.04916044697165489], [0.04683297127485275], [0.04813411459326744], [0.04803119972348213], [0.04916044697165489], [0.04916044697165489], [0.0482596755027771], [0.04574185237288475], [0.8119741678237915], [0.04936641454696655], [0.04672808200120926], [0.045141205191612244], [0.0475519560277462], [0.04916044697165489], [0.05047129467129707], [0.04916044697165489], [0.051729582250118256], [0.05396253243088722], [0.047647394239902496], [0.0482596829533577], [0.04704248532652855]]",2021-05-10T00:00:00.000000000,[]
