CF1,f11,MAE1,MAE2,pred,date,countries
"[[50  1]
 [34  2]]",0.4216524362564087,109.86111450195312,119.0,"[1.267134428024292, 1.3833214044570923, 1.267134428024292, 2.915559768676758, 1.3086601495742798, 1.319260835647583, 1.4369231462478638, 1.2384228706359863, 1.3192609548568726, 1.499943494796753, 1.4796953201293945, 1.5455873012542725, 4.431418418884277, 1.3371422290802002, 1.267134428024292, 1.3690898418426514, 1.267134428024292, 1.2104636430740356, 1.5004535913467407, 1.1909253597259521, 1.4462971687316895, 1.267134428024292, 1.4043827056884766, 1.3192609548568726, 1.3192609548568726, 1.2384228706359863, 1.2805043458938599, 1.3192609548568726, 1.2884150743484497, 1.3262385129928589, 1.2346900701522827, 1.2637943029403687, 1.3632053136825562, 1.3192609548568726, 1.2884150743484497, 1.496913194656372]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[47  4]
 [26 10]]",0.5790322422981262,81.27777862548828,91.0,"[6.348266124725342, 3.5813825130462646, 6.348266124725342, 7.278405666351318, 3.317474603652954, 3.354944944381714, 3.7708499431610107, 3.069204330444336, 12.051019668579102, 3.99360990524292, 3.9220385551452637, 4.154948711395264, 7.8605475425720215, 5.686448097229004, 3.170692205429077, 3.5310776233673096, 3.170692205429077, 2.9703760147094727, 3.995413303375244, 2.901313066482544, 3.8039848804473877, 3.170692205429077, 6.258460521697998, 3.354944944381714, 12.051019668579102, 4.684756755828857, 3.2179510593414307, 12.051019668579102, 3.245913028717041, 3.3796093463897705, 3.0560100078582764, 3.486213207244873, 3.510277271270752, 3.354944944381714, 3.245913028717041, 3.223102331161499]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[37 14]
 [ 2 34]]",0.8158730268478394,76.5999984741211,84.0,"[9.256306648254395, 10.395593643188477, 11.091780662536621, 8.816810607910156, 12.643977165222168, 9.252671241760254, 16.613054275512695, 7.530027389526367, 13.3797607421875, 10.324437141418457, 15.059526443481445, 14.480527877807617, 10.747864723205566, 10.615718841552734, 11.779294967651367, 10.983592987060547, 6.332708358764648, 11.162566184997559, 14.751375198364258, 10.092490196228027, 9.922253608703613, 8.33906364440918, 12.062178611755371, 6.781792640686035, 13.3797607421875, 8.99853515625, 8.290614128112793, 13.3797607421875, 10.00555419921875, 9.174976348876953, 10.680753707885742, 8.890185356140137, 7.760445594787598, 12.81449031829834, 8.064723014831543]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,60.52941131591797,63.0,"[13.342817306518555, 16.463693618774414, 16.186559677124023, 12.724939346313477, 18.514806747436523, 13.289765357971191, 24.534141540527344, 13.470907211303711, 19.684343338012695, 16.565839767456055, 22.484106063842773, 21.605669021606445, 15.383621215820312, 17.252321243286133, 18.225543975830078, 12.049029350280762, 16.306032180786133, 21.642919540405273, 14.709089279174805, 15.61019515991211, 11.92350959777832, 17.564470291137695, 13.007413864135742, 19.684343338012695, 12.969583511352539, 14.695165634155273, 19.684343338012695, 14.435871124267578, 13.16319465637207, 16.42642593383789, 12.781285285949707, 10.980682373046875, 18.786828994750977, 11.520960807800293]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,53.52941131591797,56.0,"[14.655231475830078, 18.180662155151367, 18.00425148010254, 14.081886291503906, 20.651845932006836, 14.474337577819824, 27.449323654174805, 14.871302604675293, 22.00510597229004, 18.619272232055664, 24.937875747680664, 23.892196655273438, 16.89961051940918, 19.25937843322754, 20.17391014099121, 14.437970161437988, 18.273683547973633, 23.90007209777832, 16.4373836517334, 17.353639602661133, 12.983738899230957, 19.315204620361328, 15.5683012008667, 22.00510597229004, 14.280904769897461, 16.217493057250977, 22.00510597229004, 15.894156455993652, 14.309427261352539, 18.360435485839844, 14.001513481140137, 11.836140632629395, 21.018192291259766, 12.55800724029541]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[37 14]
 [ 2 34]]",0.8158730268478394,53.32352828979492,63.0,"[11.869888305664062, 14.23923397064209, 13.790841102600098, 11.280793190002441, 15.474067687988281, 11.972457885742188, 19.878795623779297, 11.878907203674316, 16.293590545654297, 15.439074516296387, 18.597814559936523, 18.10726547241211, 13.424115180969238, 14.513157844543457, 15.43217945098877, 12.491958618164062, 13.728154182434082, 18.09882926940918, 12.59630298614502, 14.407265663146973, 10.924232482910156, 15.09113597869873, 13.421337127685547, 16.293590545654297, 11.537759780883789, 12.815135955810547, 16.293590545654297, 12.676764488220215, 11.911651611328125, 13.871162414550781, 11.498425483703613, 10.588600158691406, 15.607111930847168, 10.612347602844238]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,44.54545593261719,42.0,"[14.546065330505371, 17.636085510253906, 17.446208953857422, 13.909148216247559, 19.824779510498047, 14.497166633605957, 25.976303100585938, 14.673828125, 21.018569946289062, 16.8448486328125, 23.889881134033203, 22.917869567871094, 16.63433837890625, 18.53310775756836, 19.535812377929688, 17.693828582763672, 17.562389373779297, 23.03408432006836, 15.931824684143066, 15.386841773986816, 13.098607063293457, 18.865154266357422, 19.087841033935547, 21.018569946289062, 14.162562370300293, 15.9265718460083, 21.018569946289062, 15.662922859191895, 14.368781089782715, 17.68758773803711, 13.973063468933105, 20.100173950195312, 12.68595027923584]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,37.75757598876953,35.0,"[14.835132598876953, 16.483028411865234, 17.719850540161133, 14.259536743164062, 19.979442596435547, 14.708810806274414, 25.84258460998535, 12.0222749710083, 21.104036331176758, 14.703088760375977, 23.5794677734375, 22.756513595581055, 16.945968627929688, 18.73481559753418, 17.4619140625, 23.96540069580078, 17.7758731842041, 23.175392150878906, 16.235136032104492, 14.31429672241211, 13.302532196044922, 19.193431854248047, 25.93060302734375, 21.104036331176758, 14.468786239624023, 13.19581413269043, 21.104036331176758, 15.992547988891602, 14.563230514526367, 17.07399559020996, 14.233480453491211, 20.21786880493164, 12.896563529968262]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[39 12]
 [ 2 34]]",0.8385471701622009,33.13333511352539,28.0,"[15.693092346191406, 17.364208221435547, 18.429494857788086, 15.057954788208008, 20.69466781616211, 15.67318344116211, 12.92027473449707, 21.82638931274414, 12.27274227142334, 24.253738403320312, 23.386465072631836, 17.698688507080078, 19.455028533935547, 28.081920623779297, 18.51059913635254, 23.819284439086914, 16.962265014648438, 12.472232818603516, 14.258865356445312, 19.837390899658203, 30.387340545654297, 21.82638931274414, 15.316794395446777, 14.141180992126465, 21.82638931274414, 16.757600784301758, 15.555559158325195, 17.789175033569336, 15.150761604309082, 13.838305473327637]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,26.83333396911621,21.0,"[16.568603515625, 18.23705291748047, 19.58526611328125, 15.970041275024414, 22.022769927978516, 16.468669891357422, 13.791220664978027, 23.252084732055664, 8.451821327209473, 25.68996810913086, 24.61415672302246, 18.67487335205078, 20.715835571289062, 31.460575103759766, 19.7622127532959, 25.178020477294922, 18.081777572631836, 10.214690208435059, 15.062990188598633, 20.932025909423828, 34.07775115966797, 23.252084732055664, 16.196718215942383, 14.963677406311035, 23.252084732055664, 17.713478088378906, 16.32855987548828, 18.93036651611328, 15.975723266601562, 14.653785705566406]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
