CF1,f11,MAE1,MAE2,pred,date,countries
"[[73  4]
 [ 9  1]]",0.5257861614227295,88.19999694824219,98.0,"[2.566746473312378, 2.4181013107299805, 2.9285476207733154, 8.286742210388184, 3.202202081680298, 2.6807785034179688, 2.8669915199279785, 2.503937244415283, 2.5594396591186523, 2.929544687271118]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,80.88888549804688,84.0,"[10.162307739257812, 12.161073684692383, 12.679725646972656, 15.72089958190918, 16.450756072998047, 11.228899002075195, 11.178543090820312, 12.140520095825195, 9.936715126037598]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,66.88888549804688,70.0,"[9.522451400756836, 12.200578689575195, 12.795108795166016, 14.71977424621582, 16.228336334228516, 10.052738189697266, 10.995872497558594, 11.943645477294922, 9.350553512573242]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,56.0,56.0,"[8.818992614746094, 10.760611534118652, 10.51572322845459, 12.511737823486328, 13.754975318908691, 9.132317543029785, 9.883121490478516, 10.546926498413086, 8.706470489501953]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,40.44444274902344,42.0,"[10.409717559814453, 12.310606956481934, 9.29932975769043, 13.876474380493164, 15.052509307861328, 10.70681095123291, 11.450969696044922, 12.09768295288086, 10.301199913024902]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,36.0,28.0,"[11.139739036560059, 13.222858428955078, 8.276577949523926, 14.817859649658203, 16.163955688476562, 12.972884178161621, 11.02816104888916]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,24.0,28.0,"[9.685820579528809, 11.212272644042969, 7.163968086242676, 12.382027626037598, 13.367944717407227, 11.029234886169434, 9.604000091552734]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,18.66666603088379,14.0,"[10.642672538757324, 12.269381523132324, 7.677407264709473, 13.500388145446777, 14.558439254760742, 12.072179794311523]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,10.5,0.0,"[10.281270980834961, 11.923545837402344, 7.38040828704834, 13.178351402282715]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,7.0,0.0,"[10.907588005065918, 7.944862365722656]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[73  4]
 [ 3  7]]",0.8104575276374817,0.0,0.0,[8.134321212768555],2022-11-07T00:00:00.000000000,['Georgia']
"[[73  4]
 [ 4  6]]",0.7740259766578674,-1,-1,"[[0.14170478284358978], [0.14088530838489532], [0.7422842979431152], [0.1342841237783432], [0.140996053814888], [0.12962639331817627], [0.14200347661972046], [0.1408853530883789], [0.13078562915325165], [0.540275514125824], [0.18545664846897125], [0.8301722407341003], [0.12896321713924408], [0.14170478284358978], [0.15475517511367798], [0.13407547771930695], [0.140996053814888], [0.1377718597650528], [0.13977621495723724], [0.13146619498729706], [0.14088530838489532], [0.1368088275194168], [0.12805135548114777], [0.14088530838489532], [0.12293816357851028], [0.12484712153673172], [0.27278202772140503], [0.11872685700654984], [0.14088530838489532], [0.16800566017627716], [0.14088530838489532], [0.140996053814888], [0.14088530838489532], [0.14088530838489532], [0.14006049931049347], [0.6069899797439575], [0.140996053814888], [0.1408853530883789], [0.1357276886701584], [0.14088530838489532], [0.12896321713924408], [0.140996053814888], [0.12660415470600128], [0.1408853530883789], [0.1299712210893631], [0.13192233443260193], [0.765839159488678], [0.14088530838489532], [0.9462276697158813], [0.12289039045572281], [0.12822432816028595], [0.1279607117176056], [0.14088530838489532], [0.14088530838489532], [0.12805135548114777], [0.12822432816028595], [0.1408984363079071], [0.713854193687439], [0.13407547771930695], [0.540275514125824], [0.1219632625579834], [0.140996053814888], [0.1321716457605362], [0.1398068368434906], [0.14088530838489532], [0.140996053814888], [0.14088530838489532], [0.4927559196949005], [0.14226973056793213], [0.14200063049793243], [0.1408853530883789], [0.14088530838489532], [0.14259780943393707], [0.12962639331817627], [0.132827028632164], [0.14015336334705353], [0.13697849214076996], [0.12586766481399536], [0.8230152726173401], [0.14088530838489532], [0.23641416430473328], [0.14088530838489532], [0.1321716457605362], [0.1252763867378235], [0.140996053814888], [0.14259779453277588], [0.6943383812904358]]",2022-11-21T00:00:00.000000000,[]
