CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  4]
 [ 0  6]]",0.8623417615890503,100.80000305175781,98.0,"[-4.987419128417969, -2.121717929840088, -4.9871087074279785, -4.381263732910156, -3.942089796066284]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,81.19999694824219,84.0,"[15.381075859069824, 6.832587718963623, 15.38109016418457, 13.470759391784668, 13.202631950378418]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,47.599998474121094,42.0,"[38.1649169921875, 20.6666202545166, 38.161346435546875, 33.784576416015625, 34.70613479614258]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,33.599998474121094,28.0,"[39.10454177856445, 23.752819061279297, 39.09716796875, 35.072837829589844, 34.52937698364258]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,16.799999237060547,14.0,"[39.72218704223633, 28.76824188232422, 39.72123336791992, 36.26487350463867, 35.432682037353516]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,28.0,28.0,"[59.260135650634766, 42.56223678588867, 59.273319244384766, 53.366703033447266, 52.84019470214844]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,36.400001525878906,28.0,"[57.00725555419922, 51.501834869384766, 57.01034164428711, 52.64789962768555, 51.30360412597656]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,23.33333396911621,14.0,"[9.434758186340332, 56.58345031738281, 64.01350402832031]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[46.27973937988281],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[31.19924545288086],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,28.0,28.0,[34.44389724731445],2021-04-26T00:00:00.000000000,['Panama']
"[[78  3]
 [ 1  5]]",0.8446428775787354,-1,-1,"[[0.8114132881164551], [0.03673505410552025], [0.03866104409098625], [0.03524177148938179], [0.03745231404900551], [0.03934313729405403], [0.037048377096652985], [0.036735061556100845], [0.8066774606704712], [0.03890424594283104], [0.036348551511764526], [0.038588494062423706], [0.05519569292664528], [0.8071094155311584], [0.027357088401913643], [0.6414898037910461], [0.8030853271484375], [0.03962012752890587], [0.03586680069565773], [0.03881613165140152], [0.03673505410552025], [0.4897051453590393], [0.030208874493837357], [0.03673505410552025], [0.029753901064395905], [0.03334282711148262], [0.032522402703762054], [0.03280521556735039], [0.03673505410552025], [0.037433087825775146], [0.03673505410552025], [0.03580470383167267], [0.03673505410552025], [0.03673505410552025], [0.03378111496567726], [0.03494495898485184], [0.03953827917575836], [0.036735061556100845], [0.03576307371258736], [0.03673505410552025], [0.03212948888540268], [0.03745231404900551], [0.030426237732172012], [0.036735061556100845], [0.0308731310069561], [0.037533607333898544], [0.03415224701166153], [0.03673505410552025], [0.03673505410552025], [0.031708940863609314], [0.035114023834466934], [0.03966952860355377], [0.03673505410552025], [0.03673505410552025], [0.03140909597277641], [0.035114023834466934], [0.8039935827255249], [0.03681781515479088], [0.7096985578536987], [0.03890424594283104], [0.029957691207528114], [0.03953827917575836], [0.03559212014079094], [0.03686610609292984], [0.03673505410552025], [0.03745231404900551], [0.03673505410552025], [0.03695613145828247], [0.03523440659046173], [0.038009122014045715], [0.036735061556100845], [0.03673505410552025], [0.03732670843601227], [0.03934313729405403], [0.7994880080223083], [0.034874338656663895], [0.03594585880637169], [0.03765192627906799], [0.03629518300294876], [0.03673505410552025], [0.03422755002975464], [0.03673505410552025], [0.03559212014079094], [0.03217384219169617], [0.03745230659842491], [0.03732672333717346], [0.03521479666233063]]",2021-05-10T00:00:00.000000000,[]
