CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,86.80000305175781,84.0,"[16.077049255371094, 27.6178035736084, 15.754450798034668, 21.817007064819336, 19.822921752929688]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
-1,-1,84.0,70.0,"[9.033822059631348, 16.351469039916992, 8.839393615722656, 12.547800064086914, 11.621228218078613]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
-1,-1,64.4000015258789,56.0,"[10.194732666015625, 21.63397216796875, 9.931339263916016, 14.81270980834961, 14.550311088562012]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
-1,-1,44.79999923706055,42.0,"[14.743925094604492, 24.88221549987793, 14.449995040893555, 19.539546966552734, 17.850229263305664]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
-1,-1,28.0,14.0,"[17.191299438476562, 29.31486701965332, 16.848968505859375, 22.88311195373535, 21.012378692626953]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
-1,-1,11.199999809265137,0.0,"[25.232315063476562, 44.706424713134766, 24.687034606933594, 34.139320373535156, 31.562374114990234]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
-1,-1,16.799999237060547,14.0,"[23.47949981689453, 40.01737594604492, 23.011478424072266, 31.238121032714844, 28.66860580444336]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
-1,-1,14.0,14.0,"[23.27591323852539, 24.30950164794922, 28.346813201904297]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
-1,-1,0.0,0.0,[28.109277725219727],2021-03-29T00:00:00.000000000,['Panama']
-1,-1,0.0,0.0,[14.437169075012207],2021-04-12T00:00:00.000000000,['Panama']
-1,-1,14.0,14.0,[19.8248348236084],2021-04-26T00:00:00.000000000,['Panama']
-1,-1,-1,-1,[],2021-05-10T00:00:00.000000000,[]
