CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,109.86111450195312,119.0,"[6.4763898849487305, 8.287192344665527, 6.835024356842041, 4.96660041809082, 7.23130989074707, 7.397021293640137, 9.679964065551758, 6.009991645812988, 7.397021770477295, 10.956612586975098, 9.545931816101074, 10.15716552734375, 8.221473693847656, 8.07772445678711, 6.222796440124512, 8.0279541015625, 6.835024356842041, 6.436676979064941, 10.246905326843262, 5.6825456619262695, 9.996166229248047, 6.222796440124512, 8.314760208129883, 7.397021770477295, 7.397021770477295, 6.796044826507568, 6.756658554077148, 7.397021770477295, 7.0133161544799805, 8.028557777404785, 7.08383846282959, 7.166879653930664, 8.48303508758545, 7.397021770477295, 7.013316631317139, 7.255934238433838]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
-1,-1,71.16666412353516,77.0,"[13.691567420959473, 17.496456146240234, 14.462142944335938, 6.855326175689697, 15.282927513122559, 15.631147384643555, 20.449399948120117, 12.71066665649414, 15.631147384643555, 23.1458797454834, 20.129802703857422, 21.394428253173828, 11.102605819702148, 17.080516815185547, 13.146688461303711, 16.949962615966797, 14.462142944335938, 13.648120880126953, 21.620601654052734, 12.042207717895508, 21.121877670288086, 13.146688461303711, 17.540122985839844, 15.631147384643555, 15.631147384643555, 14.39961051940918, 14.283884048461914, 15.631147384643555, 14.829500198364258, 16.98293113708496, 15.020733833312988, 15.17764949798584, 17.932117462158203, 15.631147384643555, 14.829501152038574, 14.887064933776855]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
-1,-1,64.5999984741211,70.0,"[20.64329719543457, 26.374141693115234, 21.7968807220459, 18.62078094482422, 23.038055419921875, 23.562522888183594, -1.9844212532043457, 19.166255950927734, 23.56252670288086, 34.8664665222168, 30.345211029052734, 32.25811767578125, 30.770404815673828, 25.737648010253906, 19.827590942382812, 25.551761627197266, 21.7968807220459, 20.561302185058594, 5.870495319366455, 18.151330947875977, 31.820392608642578, 19.827590942382812, 26.445812225341797, 23.56252670288086, 23.56252670288086, 21.694679260253906, 21.534019470214844, 23.56252670288086, 22.35320281982422, 25.588294982910156, 22.623409271240234, 22.867027282714844, 27.020328521728516, 22.353200912475586, 23.59560775756836]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
-1,-1,50.64706039428711,49.0,"[24.86134147644043, 28.740083694458008, 26.2615909576416, 15.93439769744873, 27.74492645263672, 28.3756160736084, 37.108001708984375, 16.77076530456543, 28.375619888305664, 41.995540618896484, 35.67930603027344, 38.159996032714844, 31.005823135375977, 23.871217727661133, 25.46648406982422, 26.2615909576416, 24.793502807617188, 39.223785400390625, 21.87915802001953, 38.328155517578125, 23.871217727661133, 31.827808380126953, 28.375619888305664, 28.375619888305664, 26.153593063354492, 19.44899559020996, 28.375619888305664, 26.924959182739258, 30.83063316345215, 25.310354232788086, 27.562421798706055, 32.548194885253906, 26.924959182739258, 27.45974349975586]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
-1,-1,51.47058868408203,56.0,"[22.75048828125, 28.997312545776367, 24.018985748291016, 20.558597564697266, 25.364179611206055, 25.935890197753906, -10.014887809753418, 21.13987922668457, 25.935890197753906, 38.28048324584961, 33.31842041015625, 35.390750885009766, 28.319229125976562, 21.853527069091797, 28.099733352661133, 24.018985748291016, 22.68709373474121, 2.7783188819885254, 20.04629135131836, 34.95633316040039, 21.853527069091797, 29.066173553466797, 25.935890197753906, 25.935890197753906, 23.920166015625, 23.723623275756836, 25.935890197753906, 24.62066650390625, 28.16014862060547, 24.94317054748535, 25.197309494018555, 29.717369079589844, 24.62066650390625, 26.006942749023438]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
-1,-1,45.5,49.0,"[22.505586624145508, 23.02813148498535, 23.829044342041016, 6.9152350425720215, 25.10356330871582, 25.700138092041016, 33.657264709472656, 9.616366386413574, 25.70014190673828, 38.10481643676758, 31.406986236572266, 33.77145004272461, 28.115772247314453, 21.569761276245117, 17.95936393737793, 23.829044342041016, 22.550132751464844, 35.48587417602539, 19.8507080078125, 34.7729606628418, 21.569761276245117, 28.75562858581543, 25.70014190673828, 25.70014190673828, 23.766008377075195, 11.687689781188965, 25.70014190673828, 24.392141342163086, 27.979110717773438, 21.147289276123047, 25.0357666015625, 29.532398223876953, 24.392141342163086, 23.895885467529297]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
-1,-1,39.878787994384766,42.0,"[24.098552703857422, 30.756465911865234, 25.509002685546875, 21.829744338989258, 26.901809692382812, 27.511220932006836, -62.028106689453125, 22.378868103027344, 27.51122283935547, 40.78943634033203, 35.322269439697266, 37.46318817138672, 30.116954803466797, 23.101213455200195, 29.793712615966797, 25.509002685546875, 24.168527603149414, -26.909503936767578, 21.28062629699707, 37.226253509521484, 23.101213455200195, 30.78083038330078, 27.51122283935547, 27.51122283935547, 25.470287322998047, 25.14744758605957, 27.51122283935547, 26.12527084350586, 29.96710205078125, 26.617029190063477, 26.827465057373047, 26.125272750854492, 27.772172927856445]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
-1,-1,33.09090805053711,35.0,"[24.26930809020996, 29.124467849731445, 25.5986328125, 16.81589126586914, 27.021259307861328, 27.623680114746094, 35.954620361328125, 19.004779815673828, 27.62368392944336, 40.61648178100586, 34.92885971069336, 37.23339080810547, 30.126876831054688, 23.329336166381836, 26.907649993896484, 25.5986328125, 24.18523597717285, 37.985294342041016, 21.411718368530273, 37.11622619628906, 23.329336166381836, 30.930566787719727, 27.62368392944336, 27.62368392944336, 25.48613739013672, 21.62007713317871, 27.62368392944336, 26.235790252685547, 29.956771850585938, 25.426389694213867, 26.83241844177246, 26.235790252685547, 26.889118194580078]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
-1,-1,27.53333282470703,21.0,"[27.00386619567871, 26.912065505981445, 28.66316795349121, 10.345520973205566, 26.839574813842773, 30.858726501464844, 13.724772453308105, 30.85873031616211, 45.92536926269531, 29.608196258544922, 36.6556510925293, 33.869346618652344, 6.225720405578613, 28.66316795349121, 23.531694412231445, 8.869824409484863, 23.92255973815918, 41.89809799194336, 25.8305606842041, 34.44406509399414, 30.85873031616211, 30.85873031616211, 28.705705642700195, 16.48168182373047, 30.85873031616211, 25.017751693725586, 33.72650146484375, 20.715761184692383, 30.224496841430664, 29.198768615722656]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
-1,-1,25.899999618530273,21.0,"[22.231372833251953, 24.988964080810547, 23.50379180908203, 15.24992561340332, 24.76582145690918, 25.317007064819336, 13.776849746704102, 25.31700897216797, 37.319828033447266, 31.490442276000977, 33.647544860839844, 27.670114517211914, 21.331640243530273, 23.50379180908203, 22.286949157714844, 34.80005645751953, 19.67906951904297, 34.098201751708984, 21.331640243530273, 28.27797508239746, 25.31700897216797, 25.31700897216797, 23.46504020690918, 16.132993698120117, 25.31700897216797, 24.062583923339844, 27.533472061157227, 22.409204483032227, 24.692779541015625, 24.787878036499023]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
