CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,118.61111450195312,126.0,"[17.636138916015625, 22.644882202148438, 11.672612190246582, 20.18758201599121, 21.306718826293945, 16.458393096923828, 30.067489624023438, 26.115493774414062, 27.78720474243164, 20.18758201599121, 20.070556640625, 20.18758201599121, 22.08878517150879, 16.923112869262695, 20.18758201599121, 18.644508361816406, 28.67449188232422, 27.59678077697754, 17.564800262451172, 26.576557159423828, 28.071645736694336, 15.458320617675781, 16.22439193725586, 16.923112869262695, 22.70740509033203, 18.860658645629883, 20.18758201599121, 18.555339813232422, 20.18758201599121, 19.13066864013672, 21.95829963684082, 23.20984649658203, 20.18758201599121, 27.161663055419922, 18.64451026916504, 19.13067054748535]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
-1,-1,106.55555725097656,112.0,"[15.207514762878418, 19.50315284729004, 9.773613929748535, 17.4043025970459, 18.35352897644043, 14.197060585021973, 25.892728805541992, 22.477214813232422, 23.89398765563965, 17.4043025970459, 17.30706024169922, 17.4043025970459, 19.03447151184082, 14.591118812561035, 17.4043025970459, 16.07717514038086, 24.698286056518555, 23.775041580200195, 15.153816223144531, 22.84267807006836, 24.16671371459961, 13.335551261901855, 13.70217227935791, 14.591118812561035, 19.552976608276367, 16.26639747619629, 17.4043025970459, 16.00381851196289, 17.4043025970459, 16.49249839782715, 18.920705795288086, 19.999818801879883, 17.4043025970459, 23.385602951049805, 16.07717514038086, 16.49249839782715]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
-1,-1,92.55555725097656,98.0,"[15.481201171875, 19.831514358520508, 8.427728652954102, 17.704044342041016, 18.658733367919922, 14.488703727722168, 26.3319091796875, 22.830604553222656, 24.25643539428711, 17.70404624938965, 17.650020599365234, 17.70404624938965, 19.380590438842773, 14.845969200134277, 17.704044342041016, 16.37955665588379, 25.128141403198242, 24.201417922973633, 15.472258567810059, 23.166276931762695, 24.553335189819336, 13.614425659179688, 12.869595527648926, 14.845969200134277, 19.866924285888672, 16.58747673034668, 17.70404624938965, 16.32778549194336, 17.704044342041016, 16.79216957092285, 19.27484893798828, 20.354225158691406, 17.70404624938965, 23.76698112487793, 16.37955665588379, 16.79216957092285]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
-1,-1,64.55555725097656,70.0,"[28.95069122314453, 37.127620697021484, 11.126346588134766, 33.13842010498047, 34.9083251953125, 27.128265380859375, 49.42171859741211, 42.743106842041016, 45.386112213134766, 33.13842010498047, 33.10431671142578, 33.13842010498047, 36.32547378540039, 27.734119415283203, 33.13842010498047, 30.671178817749023, 47.16773986816406, 45.43904495239258, 29.008968353271484, 43.28229522705078, 46.01477813720703, 25.4769287109375, 20.612285614013672, 27.734119415283203, 37.16740417480469, 31.0905704498291, 33.13842010498047, 30.610231399536133, 33.13842010498047, 31.43307876586914, 36.137474060058594, 38.15545654296875, 33.13842010498047, 44.54242706298828, 30.67117691040039, 31.43307876586914]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
-1,-1,51.599998474121094,56.0,"[29.228315353393555, 37.50944137573242, 17.948060989379883, 33.487464904785156, 25.807435989379883, 27.463449478149414, 50.10231399536133, 43.15589141845703, 45.76321792602539, 33.48746871948242, 33.57932662963867, 33.48746871948242, 36.78220748901367, 27.953935623168945, 33.487464904785156, 31.030561447143555, 47.8358268737793, 46.10983657836914, 29.428071975708008, 43.52998352050781, 46.5322265625, 25.776010513305664, 26.339643478393555, 27.953935623168945, 37.499568939208984, 28.26529884338379, 33.48746871948242, 31.036996841430664, 33.487464904785156, 31.776580810546875, 36.61195755004883, 33.48746871948242, 45.05177307128906, 31.030563354492188, 31.776580810546875]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
-1,-1,40.0,42.0,"[28.758312225341797, 36.79435348510742, 9.907451629638672, 32.8919792175293, 16.165781021118164, 27.048229217529297, 49.019039154052734, 42.27241134643555, 44.800384521484375, 32.8919792175293, 32.98512268066406, 32.8919792175293, 36.09132766723633, 27.520307540893555, 32.8919792175293, 30.509113311767578, 46.82014083862305, 45.14600372314453, 28.956605911254883, 42.630001068115234, 45.550819396972656, 25.410255432128906, 20.10708999633789, 27.520307540893555, 36.78318786621094, 24.44637680053711, 32.8919792175293, 30.51750946044922, 32.8919792175293, 31.23224639892578, 35.926753997802734, 32.8919792175293, 44.1145133972168, 30.50911521911621, 31.23224639892578]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
-1,-1,30.399999618530273,28.0,"[26.475305557250977, 33.92337417602539, 9.01430606842041, 30.350072860717773, 13.473065376281738, 25.085128784179688, 45.59635543823242, 38.90274429321289, 41.078487396240234, 30.350074768066406, 30.741222381591797, 30.350074768066406, 33.47709274291992, 25.225847244262695, 30.350072860717773, 28.2423038482666, 43.597450256347656, 42.105445861816406, 26.998483657836914, 38.819461822509766, 42.09314727783203, 23.530698776245117, 18.710996627807617, 25.225847244262695, 33.79204559326172, 22.45168685913086, 30.350074768066406, 28.41444969177246, 30.350072860717773, 28.850818634033203, 33.3731575012207, 30.350074768066406, 40.787635803222656, 28.24230194091797, 28.850818634033203]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
-1,-1,23.33333396911621,28.0,"[29.04777717590332, 14.769015312194824, 26.018404006958008, 23.552881240844727, 21.434768676757812, 38.2747688293457, 33.320499420166016, 35.35922622680664, 26.018407821655273, 25.922903060913086, 26.018407821655273, 22.27566146850586, 21.96119499206543, 26.018404006958008, 24.127925872802734, 36.5598030090332, 35.23772430419922, 22.825199127197266, 30.458093643188477, 35.76209259033203, 20.193172454833984, 20.790300369262695, 21.96119499206543, 29.105552673339844, 22.873884201049805, 26.018407821655273, 26.018404006958008, 24.71871566772461, 28.24028778076172, 26.018407821655273, 34.64180374145508, 24.127925872802734, 24.71871566772461]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
-1,-1,18.375,14.0,"[25.765323638916016, 2.378295421600342, 28.58340072631836, 29.98209571838379, 11.874956130981445, -14.147842407226562, 20.632558822631836, 16.09836196899414, 28.583402633666992, 28.860286712646484, 28.583402633666992, 1.081481695175171, 0.999704897403717, 28.58340072631836, 26.579517364501953, -16.27994155883789, -11.04323959350586, 13.673766136169434, 15.403861045837402, 39.57981872558594, 12.705443382263184, 6.565486907958984, 23.826393127441406, 1.0973231792449951, 16.55835723876953, 28.58340072631836, 21.811588287353516, 1.0849475860595703, 28.583402633666992, 0.9456543326377869, 1.1076035499572754, 1.2478318214416504]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
-1,-1,10.266666412353516,14.0,"[23.913471221923828, 13.729850769042969, 14.974128723144531, 23.252336502075195, 16.730741500854492, -16.122283935546875, 24.72352409362793, 26.993913650512695, 22.08087921142578, 21.89800453186035, 22.08087921142578, 10.739459037780762, 22.08087730407715, 20.476425170898438, -18.373056411743164, -11.846022605895996, 17.900115966796875, 21.860946655273438, 30.170413970947266, 16.160215377807617, 17.093608856201172, 12.308003425598145, 19.07535743713379, 18.655742645263672, 14.974128723144531, 15.224061012268066, 13.625072479248047, 22.08087921142578, 5.989015579223633, 16.388975143432617]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
