CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,71.4000015258789,70.0,"[25.132801055908203, 23.128620147705078, 36.94218444824219, 32.64763641357422, 37.740379333496094, 28.7106990814209, 32.26622772216797, 26.39080238342285, 27.830530166625977, 28.279312133789062]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
-1,-1,63.77777862548828,70.0,"[24.655214309692383, 22.7292423248291, 36.36279296875, 36.97999954223633, 28.199190139770508, 31.670066833496094, 25.97318458557129, 27.392536163330078, 26.9539737701416]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
-1,-1,49.77777862548828,56.0,"[24.588069915771484, 22.655380249023438, 36.27103042602539, 36.9177131652832, 28.12513542175293, 31.598257064819336, 25.890756607055664, 27.308530807495117, 27.142486572265625]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
-1,-1,42.0,42.0,"[17.722257614135742, 16.379358291625977, 26.2374324798584, 26.520883560180664, 20.296934127807617, 22.770065307617188, 18.74814224243164, 19.77290153503418, 19.716524124145508]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
-1,-1,24.88888931274414,28.0,"[30.83515739440918, 25.966747283935547, 45.404632568359375, 38.823116302490234, 35.24634552001953, 39.581382751464844, 22.10247230529785, 32.21971893310547, 34.175411224365234]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
-1,-1,24.0,28.0,"[24.424034118652344, 18.39850616455078, 35.984439849853516, 24.295574188232422, 27.9276123046875, 23.799705505371094, 27.0832576751709]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
-1,-1,14.0,14.0,"[24.356128692626953, 17.77724838256836, 36.219757080078125, 23.66588592529297, 0.33808109164237976, 23.316669464111328, 27.397550582885742]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
-1,-1,4.666666507720947,0.0,"[23.042543411254883, 15.89352798461914, 34.29058837890625, 22.36050796508789, 4.612244129180908, 4.834002494812012]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
-1,-1,14.0,14.0,"[32.00798797607422, 14.177931785583496, 47.12700271606445, 15.474200248718262]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
-1,-1,7.0,0.0,"[2.1903316974639893, 35.81856155395508]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
-1,-1,42.0,42.0,[46.13423538208008],2022-11-07T00:00:00.000000000,['Georgia']
-1,-1,-1,-1,[],2022-11-21T00:00:00.000000000,[]
